shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates
2,C - A1_J,single_branch_vs_A1_J,image_ap,C,A1_J,-0.04418291255249118,-0.04383336371724352,-0.09386153423614388,0.004413082365575797,0.962,1000
2,DUP_J - A1_J,weight_control,image_ap,DUP_J,A1_J,-0.011386887895000197,-0.01169056579635372,-0.02648767495278232,0.0011603330980748524,0.958,1000
2,DUP_BAL_J - A1_J,weight_control_equivalence,image_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000
2,DUP_EXPECTED_J - A1_J,weight_control_equivalence,image_ap,DUP_EXPECTED_J,A1_J,-0.011386887895000197,-0.01169056579635372,-0.02648767495278232,0.0011603330980748524,0.958,1000
2,A1_L - A1_J,relaxation,image_ap,A1_L,A1_J,0.007530109022789944,0.005460834460919125,-0.015104014125877313,0.024806226187501893,0.265,1000
2,A1_lambda_0.25 - A1_J,relaxation_ladder,image_ap,A1_lambda_0.25,A1_J,0.005327216772022414,0.003902740399950545,-0.014487977087431145,0.01969209680162876,0.294,1000
2,A1_lambda_0.50 - A1_J,relaxation_ladder,image_ap,A1_lambda_0.50,A1_J,0.00921932267846326,0.007763897650850931,-0.004030046268986401,0.02214083697422044,0.099,1000
2,A1_lambda_0.75 - A1_J,relaxation_ladder,image_ap,A1_lambda_0.75,A1_J,0.007346302635205637,0.005969845616375257,0.00010307869369390045,0.01769971651178049,0.021,1000
2,A1_lambda_0.25 - A1_L,relaxation_vs_L,image_ap,A1_lambda_0.25,A1_L,-0.0022028922507675297,-0.001558094060968581,-0.011771905156652662,0.004794881934454078,0.586,1000
2,A1_lambda_0.50 - A1_L,relaxation_vs_L,image_ap,A1_lambda_0.50,A1_L,0.0016892136556733162,0.0023030631899318053,-0.009699013475746962,0.015101549481089188,0.353,1000
2,A1_lambda_0.75 - A1_L,relaxation_vs_L,image_ap,A1_lambda_0.75,A1_L,-0.00018380638758430656,0.0005090111554561314,-0.014066469407715063,0.017882301126384843,0.488,1000
4,B - A1_J,single_branch_vs_A1_J,pixel_auroc,B,A1_J,-0.008104304858104872,-0.008106494635267011,-0.01001324323476135,-0.006308014393833445,1.0,1000
4,C - A1_J,single_branch_vs_A1_J,pixel_auroc,C,A1_J,-0.0023060669684431545,-0.002427454633592625,-0.0062651075125039,0.0018644556932489967,0.857,1000
4,DUP_J - A1_J,weight_control,pixel_auroc,DUP_J,A1_J,-0.0026264130006053987,-0.002621584326758481,-0.0034085215449485675,-0.0019008404112974804,1.0,1000
4,DUP_BAL_J - A1_J,weight_control_equivalence,pixel_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000
4,DUP_EXPECTED_J - A1_J,weight_control_equivalence,pixel_auroc,DUP_EXPECTED_J,A1_J,-0.0026264130006053987,-0.002621584326758481,-0.0034085215449485675,-0.0019008404112974804,1.0,1000
4,A1_L - A1_J,relaxation,pixel_auroc,A1_L,A1_J,0.0034136830171879184,0.003381936742260059,0.002354008273810218,0.004622456437051917,0.0,1000
4,A1_lambda_0.25 - A1_J,relaxation_ladder,pixel_auroc,A1_lambda_0.25,A1_J,0.002874872105687376,0.002851145323331359,0.002084129065737697,0.00375816682283403,0.0,1000
4,A1_lambda_0.50 - A1_J,relaxation_ladder,pixel_auroc,A1_lambda_0.50,A1_J,0.002111575435233548,0.0020958602477424157,0.0015914209573537174,0.002689758476454543,0.0,1000
4,A1_lambda_0.75 - A1_J,relaxation_ladder,pixel_auroc,A1_lambda_0.75,A1_J,0.0011442919329808232,0.001136694281479575,0.0008828892151184736,0.001431724418494845,0.0,1000
4,A1_lambda_0.25 - A1_L,relaxation_vs_L,pixel_auroc,A1_lambda_0.25,A1_L,-0.0005388109115005424,-0.0005307914189286997,-0.0008490426671820261,-0.0002591520174805545,1.0,1000
4,A1_lambda_0.50 - A1_L,relaxation_vs_L,pixel_auroc,A1_lambda_0.50,A1_L,-0.0013021075819543704,-0.0012860764945176433,-0.0019142932709091231,-0.0007568821834080976,1.0,1000
4,A1_lambda_0.75 - A1_L,relaxation_vs_L,pixel_auroc,A1_lambda_0.75,A1_L,-0.0022693910842070952,-0.002245242460780484,-0.003176141717924219,-0.001465328689051848,1.0,1000
4,B - A1_J,single_branch_vs_A1_J,pixel_ap,B,A1_J,-0.031366771195957655,-0.03000280153129653,-0.04388132820182262,-0.01765577098366339,1.0,1000
4,C - A1_J,single_branch_vs_A1_J,pixel_ap,C,A1_J,-0.11552085413492047,-0.11635660154510066,-0.1425844324544631,-0.0911640585604488,1.0,1000
4,DUP_J - A1_J,weight_control,pixel_ap,DUP_J,A1_J,-0.00970270032229359,-0.009638372341194565,-0.017225318251781543,-0.0026327299629876687,0.995,1000
4,DUP_BAL_J - A1_J,weight_control_equivalence,pixel_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000
4,DUP_EXPECTED_J - A1_J,weight_control_equivalence,pixel_ap,DUP_EXPECTED_J,A1_J,-0.00970270032229359,-0.009638372341194565,-0.017225318251781543,-0.0026327299629876687,0.995,1000
4,A1_L - A1_J,relaxation,pixel_ap,A1_L,A1_J,0.007117115691177789,0.00660742971044011,0.0007438084547245941,0.012459192746725078,0.011,1000
4,A1_lambda_0.25 - A1_J,relaxation_ladder,pixel_ap,A1_lambda_0.25,A1_J,0.005926599636790875,0.005688489809080596,0.001236067420317316,0.010082662178868095,0.006,1000
4,A1_lambda_0.50 - A1_J,relaxation_ladder,pixel_ap,A1_lambda_0.50,A1_J,0.004786674087469356,0.00458414916456406,0.0012024240513987135,0.007797187846765794,0.005,1000
4,A1_lambda_0.75 - A1_J,relaxation_ladder,pixel_ap,A1_lambda_0.75,A1_J,0.0027707458930661955,0.0026895588069938345,0.0006520442189375572,0.004644169120535516,0.01,1000
4,A1_lambda_0.25 - A1_L,relaxation_vs_L,pixel_ap,A1_lambda_0.25,A1_L,-0.0011905160543869142,-0.0009189399013595144,-0.002731484655814846,0.0006910238683537058,0.872,1000
4,A1_lambda_0.50 - A1_L,relaxation_vs_L,pixel_ap,A1_lambda_0.50,A1_L,-0.002330441603708433,-0.00202328054587605,-0.00497202372538517,0.0007755863234323947,0.926,1000
4,A1_lambda_0.75 - A1_L,relaxation_vs_L,pixel_ap,A1_lambda_0.75,A1_L,-0.004346369798111593,-0.003917870903446276,-0.008185495123001249,0.00016708382359071705,0.973,1000
4,B - A1_J,single_branch_vs_A1_J,image_auroc,B,A1_J,-0.03822653452574665,-0.038453678592438915,-0.060818672996165495,-0.015861740921943476,0.999,1000
4,C - A1_J,single_branch_vs_A1_J,image_auroc,C,A1_J,-0.040725888946626654,-0.04127218830706142,-0.0872689628953905,0.0049235229958823476,0.965,1000
4,DUP_J - A1_J,weight_control,image_auroc,DUP_J,A1_J,-0.014835658830054,-0.014939860147002078,-0.027261182470117717,-0.002255656705695509,0.989,1000
4,DUP_BAL_J - A1_J,weight_control_equivalence,image_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000
4,DUP_EXPECTED_J - A1_J,weight_control_equivalence,image_auroc,DUP_EXPECTED_J,A1_J,-0.014835658830054,-0.014939860147002078,-0.027261182470117717,-0.002255656705695509,0.989,1000
4,A1_L - A1_J,relaxation,image_auroc,A1_L,A1_J,0.001784905605782261,0.0015775563115442742,-0.0122561547135623,0.01564624153909111,0.402,1000
4,A1_lambda_0.25 - A1_J,relaxation_ladder,image_auroc,A1_lambda_0.25,A1_J,0.0017779577437371241,0.0017394390768332483,-0.009828040993075927,0.013369473636750555,0.379,1000
4,A1_lambda_0.50 - A1_J,relaxation_ladder,image_auroc,A1_lambda_0.50,A1_J,0.0015959001546965723,0.0015696833044472353,-0.006733097731180543,0.010451105269111765,0.367,1000
4,A1_lambda_0.75 - A1_J,relaxation_ladder,image_auroc,A1_lambda_0.75,A1_J,0.0015614457414330207,0.0015127985651461192,-0.00402492227419132,0.007903575766485415,0.324,1000
4,A1_lambda_0.25 - A1_L,relaxation_vs_L,image_auroc,A1_lambda_0.25,A1_L,-6.9478620451368656e-06,0.00016188276528897384,-0.005145644866537502,0.004938656608854155,0.455,1000
