dataset,reference_seed,shot,category,method,pixel_stride,pixel_auroc,pixel_ap,image_auroc,image_ap
btad,0,4,02,A1_lambda_0.50,8,0.9624908598393083,0.6002831134455244,0.8836666666666667,0.9817902991273458
btad,0,4,02,A1_lambda_0.75,8,0.9623144179652621,0.5979340754351806,0.8868333333333334,0.9822252251803336
btad,1,2,01,B,8,0.9573855295073475,0.5753865458452045,0.923226433430515,0.9732501617049487
btad,1,2,01,C,8,0.9480065372367705,0.4945418067871883,0.9552964042759962,0.9847483530374833
btad,1,2,01,A1_J,8,0.962002612670602,0.6010281723058085,0.9222546161321672,0.9734617943992344
btad,1,2,01,A1_L,8,0.9632294028144102,0.6038736801983187,0.9251700680272109,0.9740110188479704
btad,1,2,01,DUP_J,8,0.9603601429707779,0.5926570704651799,0.9164237123420796,0.9717271514110568
btad,1,2,01,DUP_L,8,0.9613886082590221,0.5947104693529855,0.9251700680272109,0.9741054934231383
btad,1,2,01,DUP_BAL_J,8,0.962002612670602,0.6010281723058085,0.9222546161321672,0.9734617943992344
btad,1,2,01,DUP_BAL_L,8,0.9632294028144102,0.6038736801983187,0.9251700680272109,0.9740110188479704
btad,1,2,01,DUP_EXPECTED_J,8,0.9603601429707779,0.5926570704651799,0.9164237123420796,0.9717271514110568
btad,1,2,01,A1_lambda_0.25,8,0.9630542050652056,0.6035865627261197,0.9203109815354713,0.9728656024512362
btad,1,2,01,A1_lambda_0.50,8,0.9627850342512351,0.6029985709477396,0.9164237123420796,0.9718356492024349
btad,1,2,01,A1_lambda_0.75,8,0.9624318121755422,0.6021511653270295,0.9212827988338192,0.9733712123353695
btad,1,2,02,B,8,0.9586191240981866,0.5382896041252422,0.8971666666666667,0.9837909063328332
btad,1,2,02,C,8,0.940100236187146,0.5038482663780439,0.811,0.9680473363547517
btad,1,2,02,A1_J,8,0.9613073048825791,0.5746049256731501,0.9011666666666667,0.9848430754883667
btad,1,2,02,A1_L,8,0.9621345687032469,0.5863703938918637,0.9023333333333333,0.984734556749161
btad,1,2,02,DUP_J,8,0.9602326267338724,0.5582517090775767,0.8933333333333333,0.9835361538652416
btad,1,2,02,DUP_L,8,0.9609099487971247,0.5678841432611589,0.9005,0.9843351105407325
btad,1,2,02,DUP_BAL_J,8,0.9613073048825791,0.5746049256731501,0.9011666666666667,0.9848430754883667
btad,1,2,02,DUP_BAL_L,8,0.9621345687032469,0.5863703938918637,0.9023333333333333,0.984734556749161
btad,1,2,02,DUP_EXPECTED_J,8,0.9602326267338724,0.5582517090775767,0.8933333333333333,0.9835361538652416
btad,1,2,02,A1_lambda_0.25,8,0.9619649912548385,0.5837030715023608,0.8998333333333334,0.984415177965752
btad,1,2,02,A1_lambda_0.50,8,0.9617702736249414,0.5808587908106344,0.8965,0.9839965794266705
btad,1,2,02,A1_lambda_0.75,8,0.9615507454427654,0.5778174849285808,0.8995,0.9845220432826536
btad,1,4,01,B,8,0.9607040614141129,0.5856421939151321,0.9378036929057337,0.9775263257586224
btad,1,4,01,C,8,0.9493488965162648,0.5019549105449054,0.967930029154519,0.9880357730340794
btad,1,4,01,A1_J,8,0.9645411449829397,0.608886816987349,0.9368318756073858,0.9774027340477967
btad,1,4,01,A1_L,8,0.9655779346426777,0.6117879659279847,0.9446064139941691,0.9798294241890847
btad,1,4,01,DUP_J,8,0.963333897536737,0.6017918411470244,0.9310009718172984,0.9756889725788049
btad,1,4,01,DUP_L,8,0.9641313344506196,0.6039421646027492,0.9407191448007775,0.9783909985171235
btad,1,4,01,DUP_BAL_J,8,0.9645411449829397,0.608886816987349,0.9368318756073858,0.9774027340477967
btad,1,4,01,DUP_BAL_L,8,0.9655779346426777,0.6117879659279847,0.9446064139941691,0.9798294241890847
btad,1,4,01,DUP_EXPECTED_J,8,0.963333897536737,0.6017918411470244,0.9310009718172984,0.9756889725788049
btad,1,4,01,A1_lambda_0.25,8,0.9654357723928243,0.6114921775159414,0.9387755102040817,0.9781050796859548
btad,1,4,01,A1_lambda_0.50,8,0.9652089884634305,0.6108973852454276,0.9387755102040817,0.9780513616978921
btad,1,4,01,A1_lambda_0.75,8,0.9649082268378967,0.6100436028064483,0.9387755102040817,0.9781106328731779
btad,1,4,02,B,8,0.9575287051281137,0.5234099576936683,0.8891666666666667,0.9825713021255967
btad,1,4,02,C,8,0.9403254727782276,0.5076306474180345,0.8038333333333333,0.9677861048834168
btad,1,4,02,A1_J,8,0.9608948000577613,0.5680662836974054,0.8881666666666667,0.9822866157268022
btad,1,4,02,A1_L,8,0.9613344856480643,0.5759441129902305,0.8948333333333334,0.9835229172120915
btad,1,4,02,DUP_J,8,0.9594891511492947,0.5473540011450371,0.891,0.9827546067144968
btad,1,4,02,DUP_L,8,0.9599493192379517,0.5547017970912873,0.8936666666666667,0.9833678450284501
btad,1,4,02,DUP_BAL_J,8,0.9608948000577613,0.5680662836974054,0.8881666666666667,0.9822866157268022
btad,1,4,02,DUP_BAL_L,8,0.9613344856480643,0.5759441129902305,0.8948333333333334,0.9835229172120915
btad,1,4,02,DUP_EXPECTED_J,8,0.9594891511492947,0.5473540011450371,0.891,0.9827546067144968
btad,1,4,02,A1_lambda_0.25,8,0.9612601216529428,0.5741851016917091,0.8925,0.9831643349374642
btad,1,4,02,A1_lambda_0.50,8,0.9611612310420963,0.5722708042067285,0.8916666666666667,0.982999469781306
btad,1,4,02,A1_lambda_0.75,8,0.9610394815974709,0.5702341214681103,0.8911666666666667,0.9828941072222126
