dataset,reference_seed,shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates,multiple_comparison_adjusted
btad,0,4,DUP_EXPECTED_J - DUP_J,equivalence_control,pixel_ap,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_J - A1_J,weight,image_auroc,DUP_J,A1_J,-0.0005281827016521135,-0.0005852915200605304,-0.009621944133762167,0.008728949428696153,0.569,1000,False
btad,0,4,A1_L - DUP_L,weight,image_auroc,A1_L,DUP_L,-0.001248785228377014,-0.0013189939648337399,-0.008547732835017152,0.0049865253218846165,0.64,1000,False
btad,0,4,A1_L - A1_J,matching,image_auroc,A1_L,A1_J,0.0020257531584062516,0.0015685407874915277,-0.014972361823625765,0.016294375232578952,0.409,1000,False
btad,0,4,DUP_L - DUP_J,matching,image_auroc,DUP_L,DUP_J,0.003802721088435379,0.003472826272385798,-0.00699779645117711,0.016655322742087,0.286,1000,False
btad,0,4,DUP_BAL_J - A1_J,equivalence_control,image_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_BAL_L - A1_L,equivalence_control,image_auroc,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_EXPECTED_J - DUP_J,equivalence_control,image_auroc,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_J - A1_J,weight,image_ap,DUP_J,A1_J,2.270619944844121e-05,8.675178280944995e-06,-0.0021936453503912405,0.0025342079732645975,0.519,1000,False
btad,0,4,A1_L - DUP_L,weight,image_ap,A1_L,DUP_L,-0.0008261941700784536,-0.0008375008185611737,-0.0031669657890184113,0.0008814855800866049,0.802,1000,False
btad,0,4,A1_L - A1_J,matching,image_ap,A1_L,A1_J,0.0017003765506460322,0.0015936822447831787,-0.0020070654263658005,0.006158371280237373,0.212,1000,False
btad,0,4,DUP_L - DUP_J,matching,image_ap,DUP_L,DUP_J,0.0025038645212760446,0.0024225078850634075,-0.0007421765762316123,0.007592940392287485,0.106,1000,False
btad,0,4,DUP_BAL_J - A1_J,equivalence_control,image_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_BAL_L - A1_L,equivalence_control,image_ap,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,0,4,DUP_EXPECTED_J - DUP_J,equivalence_control,image_ap,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_J - A1_J,weight,pixel_auroc,DUP_J,A1_J,-0.001358573924265416,-0.001359289612489091,-0.00185987683959625,-0.0008938281602678567,1.0,1000,False
btad,1,2,A1_L - DUP_L,weight,pixel_auroc,A1_L,DUP_L,0.0015327072307551592,0.0015372603446372332,0.001094310615147437,0.002013304646192887,0.0,1000,False
btad,1,2,A1_L - A1_J,matching,pixel_auroc,A1_L,A1_J,0.0010270269822378886,0.00104621875056007,0.000814684242024008,0.0013021435881708787,0.0,1000,False
btad,1,2,DUP_L - DUP_J,matching,pixel_auroc,DUP_L,DUP_J,0.0008528936757481453,0.0008682480184119279,0.0006809230940009236,0.0010830263860118676,0.0,1000,False
btad,1,2,DUP_BAL_J - A1_J,equivalence_control,pixel_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_BAL_L - A1_L,equivalence_control,pixel_auroc,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_EXPECTED_J - DUP_J,equivalence_control,pixel_auroc,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_J - A1_J,weight,pixel_ap,DUP_J,A1_J,-0.012362159218101021,-0.012506181741225851,-0.018555391161718227,-0.007386682982893364,1.0,1000,False
btad,1,2,A1_L - DUP_L,weight,pixel_ap,A1_L,DUP_L,0.013824730738018931,0.013973811013869934,0.00883410309002578,0.01972576886075367,0.0,1000,False
btad,1,2,A1_L - A1_J,matching,pixel_ap,A1_L,A1_J,0.00730548805561182,0.007357812218826154,0.005855667840366285,0.008891772433931092,0.0,1000,False
btad,1,2,DUP_L - DUP_J,matching,pixel_ap,DUP_L,DUP_J,0.0058429165356939095,0.005890182946182073,0.00468740752032642,0.007164415267791757,0.0,1000,False
btad,1,2,DUP_BAL_J - A1_J,equivalence_control,pixel_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_BAL_L - A1_L,equivalence_control,pixel_ap,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_EXPECTED_J - DUP_J,equivalence_control,pixel_ap,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,2,DUP_J - A1_J,weight,image_auroc,DUP_J,A1_J,-0.0068321185617103986,-0.006829723099543683,-0.016215098331864672,0.0017370294918776167,0.943,1000,False
