ablation,rule,dataset,seed,shot,category,construction,pixel_ap
ABL_S,L,mpdd,0,2,metal_plate,DUP,0.8061248113712656
ABL_S,L,mpdd,0,2,metal_plate,TRI,0.8508884820356637
baseline,J,mpdd,0,2,metal_plate,A1,0.8783905729250696
baseline,J,mpdd,0,2,metal_plate,BAL,0.9018831084405774
baseline,J,mpdd,0,2,metal_plate,DUP,0.8383355445259506
baseline,J,mpdd,0,2,metal_plate,TRI,0.8718479054189763
baseline,L,mpdd,0,2,metal_plate,A1,0.8668161980937015
baseline,L,mpdd,0,2,metal_plate,BAL,0.8974876516770549
baseline,L,mpdd,0,2,metal_plate,DUP,0.826486468103962
baseline,L,mpdd,0,2,metal_plate,TRI,0.8677784732640497
ABL_C,J,mpdd,0,2,tubes,A1,0.7307354855839517
ABL_C,J,mpdd,0,2,tubes,BAL,0.6960873600615199
ABL_C,J,mpdd,0,2,tubes,DUP,0.7201235992068251
ABL_C,J,mpdd,0,2,tubes,TRI,0.6857817312636745
ABL_C,L,mpdd,0,2,tubes,A1,0.7387076467009899
ABL_C,L,mpdd,0,2,tubes,BAL,0.7247118820980436
ABL_C,L,mpdd,0,2,tubes,DUP,0.723080399942511
ABL_C,L,mpdd,0,2,tubes,TRI,0.7000155351692243
ABL_N,J,mpdd,0,2,tubes,A1,0.6902416642956881
ABL_N,J,mpdd,0,2,tubes,BAL,0.6551320764801727
ABL_N,J,mpdd,0,2,tubes,DUP,0.6880692285421898
ABL_N,J,mpdd,0,2,tubes,TRI,0.6525823209489007
ABL_N,L,mpdd,0,2,tubes,A1,0.6910390074508664
ABL_N,L,mpdd,0,2,tubes,BAL,0.6662834731180887
ABL_N,L,mpdd,0,2,tubes,DUP,0.6884453681468959
ABL_N,L,mpdd,0,2,tubes,TRI,0.663006288683472
ABL_S,J,mpdd,0,2,tubes,A1,0.7113183076022518
ABL_S,J,mpdd,0,2,tubes,BAL,0.6768666680732416
ABL_S,J,mpdd,0,2,tubes,DUP,0.6997168456050575
ABL_S,J,mpdd,0,2,tubes,TRI,0.6671690081139512
ABL_S,L,mpdd,0,2,tubes,A1,0.7208383208140685
ABL_S,L,mpdd,0,2,tubes,BAL,0.7015996010799359
ABL_S,L,mpdd,0,2,tubes,DUP,0.70289013530735
ABL_S,L,mpdd,0,2,tubes,TRI,0.6837031190429929
baseline,J,mpdd,0,2,tubes,A1,0.7307354855839517
baseline,J,mpdd,0,2,tubes,BAL,0.6955089150251801
baseline,J,mpdd,0,2,tubes,DUP,0.7201235992068251
baseline,J,mpdd,0,2,tubes,TRI,0.6857817312636745
baseline,L,mpdd,0,2,tubes,A1,0.7387076467009899
baseline,L,mpdd,0,2,tubes,BAL,0.7160805077031233
baseline,L,mpdd,0,2,tubes,DUP,0.723080399942511
baseline,L,mpdd,0,2,tubes,TRI,0.7000155351692243
ABL_C,J,mpdd,0,4,bracket_black,A1,0.18559149884307619
ABL_C,J,mpdd,0,4,bracket_black,BAL,0.1722022914740821
ABL_C,J,mpdd,0,4,bracket_black,DUP,0.18031146031763343
ABL_C,J,mpdd,0,4,bracket_black,TRI,0.18591388339511616
ABL_C,L,mpdd,0,4,bracket_black,A1,0.16876474186388205
ABL_C,L,mpdd,0,4,bracket_black,BAL,0.14561858466042973
ABL_C,L,mpdd,0,4,bracket_black,DUP,0.16921873670698043
ABL_C,L,mpdd,0,4,bracket_black,TRI,0.17453804389821337
ABL_N,J,mpdd,0,4,bracket_black,A1,0.13402232488156732
ABL_N,J,mpdd,0,4,bracket_black,BAL,0.15975260378058453
ABL_N,J,mpdd,0,4,bracket_black,DUP,0.1307184653191303
ABL_N,J,mpdd,0,4,bracket_black,TRI,0.15570254917448625
ABL_N,L,mpdd,0,4,bracket_black,A1,0.12990521578205858
ABL_N,L,mpdd,0,4,bracket_black,BAL,0.1622405443379048
ABL_N,L,mpdd,0,4,bracket_black,DUP,0.1288958604543777
ABL_N,L,mpdd,0,4,bracket_black,TRI,0.16132557638249906
ABL_S,J,mpdd,0,4,bracket_black,A1,0.201407050134905
ABL_S,J,mpdd,0,4,bracket_black,BAL,0.20217551643710313
