dataset,category,seed,shot,revision,status,new_method_conditions,control_conditions,load_s,score_s,sources
btad,01,2,2,corrected,completed,5,4,4.54,0.86,B=783e71786961bc5d;C=365d8c7a7d01d653;E=f97813a1ec07e605
btad,01,2,2,study,completed,5,4,4.39,0.82,B=783e71786961bc5d;C=365d8c7a7d01d653;E=f97813a1ec07e605
btad,01,2,4,corrected,completed,5,4,4.57,1.08,B=783e71786961bc5d;C=365d8c7a7d01d653;E=f97813a1ec07e605
btad,01,2,4,study,completed,5,4,4.43,1.08,B=783e71786961bc5d;C=365d8c7a7d01d653;E=f97813a1ec07e605
btad,01,2,8,corrected,completed,5,4,4.55,1.64,B=783e71786961bc5d;C=365d8c7a7d01d653;E=f97813a1ec07e605
btad,01,2,8,study,completed,5,4,4.43,1.61,B=783e71786961bc5d;C=365d8c7a7d01d653;E=f97813a1ec07e605
btad,02,0,1,corrected,reused_verified,5,,,,
btad,02,0,1,study,reused_verified,5,,,,
btad,02,0,2,corrected,completed,5,4,13.72,2.67,B=bbde77ffae3d3a44;C=d4d379f34df9ab05;E=54901068e01ce019
btad,02,0,2,study,completed,5,4,13.44,2.68,B=bbde77ffae3d3a44;C=d4d379f34df9ab05;E=54901068e01ce019
btad,02,0,4,corrected,reused_verified,5,,,,
btad,02,0,4,study,reused_verified,5,,,,
btad,02,0,8,corrected,completed,5,4,13.76,5.28,B=bbde77ffae3d3a44;C=d4d379f34df9ab05;E=54901068e01ce019
btad,02,0,8,study,completed,5,4,13.55,5.38,B=bbde77ffae3d3a44;C=d4d379f34df9ab05;E=54901068e01ce019
btad,02,1,1,corrected,reused_verified,5,,,,
btad,02,1,1,study,reused_verified,5,,,,
btad,02,1,2,corrected,completed,5,4,13.7,2.72,B=a3395a94c19f2f6e;C=602b14a91fe5a625;E=54901068e01ce019
btad,02,1,2,study,completed,5,4,13.44,2.79,B=a3395a94c19f2f6e;C=602b14a91fe5a625;E=54901068e01ce019
btad,02,1,4,corrected,reused_verified,5,,,,
btad,02,1,4,study,reused_verified,5,,,,
btad,02,1,8,corrected,completed,5,4,13.62,5.33,B=a3395a94c19f2f6e;C=602b14a91fe5a625;E=54901068e01ce019
btad,02,1,8,study,completed,5,4,13.38,5.32,B=a3395a94c19f2f6e;C=602b14a91fe5a625;E=54901068e01ce019
btad,02,2,1,corrected,completed,5,4,13.72,2.38,B=3fdd43f7bc77711f;C=1554a72d07010c3a;E=54901068e01ce019
btad,02,2,1,study,completed,5,4,13.4,2.38,B=3fdd43f7bc77711f;C=1554a72d07010c3a;E=54901068e01ce019
btad,02,2,2,corrected,completed,5,4,13.49,2.77,B=3fdd43f7bc77711f;C=1554a72d07010c3a;E=54901068e01ce019
btad,02,2,2,study,completed,5,4,13.24,2.71,B=3fdd43f7bc77711f;C=1554a72d07010c3a;E=54901068e01ce019
btad,02,2,4,corrected,completed,5,4,13.59,3.61,B=3fdd43f7bc77711f;C=1554a72d07010c3a;E=54901068e01ce019
btad,02,2,4,study,completed,5,4,13.72,3.58,B=3fdd43f7bc77711f;C=1554a72d07010c3a;E=54901068e01ce019
btad,02,2,8,corrected,completed,5,4,13.7,5.34,B=3fdd43f7bc77711f;C=1554a72d07010c3a;E=54901068e01ce019
btad,02,2,8,study,completed,5,4,13.39,5.32,B=3fdd43f7bc77711f;C=1554a72d07010c3a;E=54901068e01ce019
btad,03,0,1,corrected,reused_verified,5,,,,
btad,03,0,1,study,reused_verified,5,,,,
btad,03,0,2,corrected,completed,5,4,30.43,7.49,B=492766401d4d84aa;C=04dec83e8affc93b;E=49a8dd708e3e8f4a
btad,03,0,2,study,completed,5,4,29.32,7.41,B=492766401d4d84aa;C=04dec83e8affc93b;E=49a8dd708e3e8f4a
btad,03,0,4,corrected,reused_verified,5,,,,
btad,03,0,4,study,reused_verified,5,,,,
btad,03,0,8,corrected,completed,5,4,30.33,16.18,B=492766401d4d84aa;C=04dec83e8affc93b;E=49a8dd708e3e8f4a
btad,03,0,8,study,completed,5,4,29.41,15.8,B=492766401d4d84aa;C=04dec83e8affc93b;E=49a8dd708e3e8f4a
btad,03,1,1,corrected,reused_verified,5,,,,
btad,03,1,1,study,reused_verified,5,,,,
btad,03,1,2,corrected,completed,5,4,30.26,7.36,B=a2ad983c657633ad;C=a15ad3c65fab1ce0;E=49a8dd708e3e8f4a
btad,03,1,2,study,completed,5,4,29.34,7.33,B=a2ad983c657633ad;C=a15ad3c65fab1ce0;E=49a8dd708e3e8f4a
btad,03,1,4,corrected,reused_verified,5,,,,
btad,03,1,4,study,reused_verified,5,,,,
btad,03,1,8,corrected,completed,5,4,30.18,16.03,B=a2ad983c657633ad;C=a15ad3c65fab1ce0;E=49a8dd708e3e8f4a
btad,03,1,8,study,completed,5,4,28.9,16.03,B=a2ad983c657633ad;C=a15ad3c65fab1ce0;E=49a8dd708e3e8f4a
btad,03,2,1,corrected,completed,5,4,30.71,6.18,B=c0bca208aa06b4b8;C=d8d859b7bb05e46c;E=49a8dd708e3e8f4a
btad,03,2,1,study,completed,5,4,29.14,6.1,B=c0bca208aa06b4b8;C=d8d859b7bb05e46c;E=49a8dd708e3e8f4a
btad,03,2,2,corrected,completed,5,4,30.3,7.3,B=c0bca208aa06b4b8;C=d8d859b7bb05e46c;E=49a8dd708e3e8f4a
btad,03,2,2,study,completed,5,4,29.31,7.36,B=c0bca208aa06b4b8;C=d8d859b7bb05e46c;E=49a8dd708e3e8f4a
btad,03,2,4,corrected,completed,5,4,29.72,10.2,B=c0bca208aa06b4b8;C=d8d859b7bb05e46c;E=49a8dd708e3e8f4a
btad,03,2,4,study,completed,5,4,28.92,10.35,B=c0bca208aa06b4b8;C=d8d859b7bb05e46c;E=49a8dd708e3e8f4a
btad,03,2,8,corrected,completed,5,4,30.06,16.15,B=c0bca208aa06b4b8;C=d8d859b7bb05e46c;E=49a8dd708e3e8f4a
btad,03,2,8,study,completed,5,4,29.07,15.94,B=c0bca208aa06b4b8;C=d8d859b7bb05e46c;E=49a8dd708e3e8f4a
