dataset,category,seed,shot,revision,method,pixel_ap,pixel_auroc,is_new_method
mpdd,connector,0,1,study,TRI_E_L,0.1372702077443416,0.9604501618145203,True
mpdd,connector,0,1,study,BAL_E_J,0.15233479946194836,0.9569637189791911,True
mpdd,connector,0,1,study,BAL_E_L,0.15348698383592313,0.9637528463483184,True
mpdd,connector,0,4,study,E,0.14835674036243846,0.968205950661261,True
mpdd,connector,0,4,study,A1_J,0.3750397398330353,0.9752973165345366,False
mpdd,connector,0,4,study,A1_L,0.3957200461004229,0.9798334933927326,False
mpdd,connector,0,4,study,DUP_J,0.3660082981327282,0.9744181106351936,False
mpdd,connector,0,4,study,DUP_L,0.3797265403543865,0.9778453229079149,False
mpdd,connector,0,4,study,TRI_E_J,0.4072601282703471,0.9782713642097263,True
mpdd,connector,0,4,study,TRI_E_L,0.4156301134242839,0.9817516784297925,True
mpdd,connector,0,4,study,BAL_E_J,0.37961146139315893,0.9785358294587131,True
mpdd,connector,0,4,study,BAL_E_L,0.39589023535220363,0.9822361585820455,True
mpdd,connector,1,1,study,E,0.11233633180720184,0.9587274724503243,True
mpdd,connector,1,1,study,A1_J,0.28629739818380545,0.9800087813279551,False
mpdd,connector,1,1,study,A1_L,0.29936971823449665,0.9823408124378553,False
mpdd,connector,1,1,study,DUP_J,0.26825865290771445,0.9796297705904304,False
mpdd,connector,1,1,study,DUP_L,0.2729221236564436,0.9808507910635346,False
mpdd,connector,1,1,study,TRI_E_J,0.31598201330609216,0.9825925578293274,True
mpdd,connector,1,1,study,TRI_E_L,0.32305516593355055,0.9839190572558608,True
mpdd,connector,1,1,study,BAL_E_J,0.31872219992359707,0.9816890282429485,True
mpdd,connector,1,1,study,BAL_E_L,0.329859060039318,0.9839493664776479,True
mpdd,connector,1,4,study,E,0.22234735060426017,0.9696817832181439,True
mpdd,connector,1,4,study,A1_J,0.4321978916712523,0.9799498607731231,False
mpdd,connector,1,4,study,A1_L,0.47217147073850646,0.9834489900805142,False
mpdd,connector,1,4,study,DUP_J,0.4291037802210679,0.9797022551777976,False
mpdd,connector,1,4,study,DUP_L,0.4502353762958391,0.9821249325613853,False
mpdd,connector,1,4,study,TRI_E_J,0.4764263897562559,0.9822820540409372,True
mpdd,connector,1,4,study,TRI_E_L,0.5064743879492047,0.9850725103418595,True
mpdd,connector,1,4,study,BAL_E_J,0.4585428141014462,0.9819724898145752,True
mpdd,connector,1,4,study,BAL_E_L,0.5133593092351421,0.9853028175032871,True
mpdd,metal_plate,0,1,study,E,0.3652527585591562,0.8918742194588762,True
mpdd,metal_plate,0,1,study,A1_J,0.8713213627596224,0.9769343336556517,False
mpdd,metal_plate,0,1,study,A1_L,0.869249366363221,0.9782306885630004,False
mpdd,metal_plate,0,1,study,DUP_J,0.8340747814800913,0.9695161063917629,False
mpdd,metal_plate,0,1,study,DUP_L,0.8305623355651635,0.970276034148301,False
mpdd,metal_plate,0,1,study,TRI_E_J,0.8705549250488523,0.9774259127325224,True
mpdd,metal_plate,0,1,study,TRI_E_L,0.8696270897096292,0.9787175333581095,True
mpdd,metal_plate,0,1,study,BAL_E_J,0.9035604760399087,0.9838274521055737,True
mpdd,metal_plate,0,1,study,BAL_E_L,0.9054227665729973,0.985524163380557,True
mpdd,metal_plate,0,4,study,E,0.41155242160244615,0.9069066310772522,True
mpdd,metal_plate,0,4,study,A1_J,0.8849814489589948,0.9796567637562046,False
mpdd,metal_plate,0,4,study,A1_L,0.8850119399591798,0.9811469359933548,False
mpdd,metal_plate,0,4,study,DUP_J,0.8579556808211953,0.9726824893570778,False
mpdd,metal_plate,0,4,study,DUP_L,0.8570608503757777,0.9732881599210625,False
mpdd,metal_plate,0,4,study,TRI_E_J,0.8848395725048946,0.9806686172765133,True
mpdd,metal_plate,0,4,study,TRI_E_L,0.8857286669286307,0.9821279218885978,True
mpdd,metal_plate,0,4,study,BAL_E_J,0.9114710271017278,0.9857691850959036,True
mpdd,metal_plate,0,4,study,BAL_E_L,0.9127782513950962,0.9876456617672538,True
mpdd,metal_plate,1,1,study,E,0.3549576398630413,0.8871240275286193,True
mpdd,metal_plate,1,1,study,A1_J,0.877204133480757,0.9750854706342466,False
mpdd,metal_plate,1,1,study,A1_L,0.875348746355948,0.976238524331323,False
mpdd,metal_plate,1,1,study,DUP_J,0.8510005266147067,0.9672798498478529,False
mpdd,metal_plate,1,1,study,DUP_L,0.8498551608392244,0.967854685959346,False
mpdd,metal_plate,1,1,study,TRI_E_J,0.8781038599135714,0.9763459993694801,True
mpdd,metal_plate,1,1,study,TRI_E_L,0.8764421926873646,0.9774171239212405,True
mpdd,metal_plate,1,1,study,BAL_E_J,0.9043644148936161,0.982475666865571,True
mpdd,metal_plate,1,1,study,BAL_E_L,0.9023428902698889,0.9837406398431761,True
mpdd,metal_plate,1,4,study,E,0.4036482181113579,0.9042202799663962,True
mpdd,metal_plate,1,4,study,A1_J,0.8824154135035116,0.9811625329692671,False
mpdd,metal_plate,1,4,study,A1_L,0.8832500185780576,0.9826000004757125,False
mpdd,metal_plate,1,4,study,DUP_J,0.8587369892940271,0.9754147041729143,False
mpdd,metal_plate,1,4,study,DUP_L,0.8586717453679582,0.976080662852963,False
mpdd,metal_plate,1,4,study,TRI_E_J,0.882899665559205,0.9821366118051175,True
mpdd,metal_plate,1,4,study,TRI_E_L,0.8840255008890345,0.9834290725430093,True
