reference_seed,shot,method,pixel_auroc,pixel_ap,image_auroc,image_ap
1,4,A1_lambda_0.25,0.9747859954607282,0.4044484897944523,0.8224538410583128,0.8376142354663414
1,4,A1_lambda_0.50,0.9740226987902744,0.4033085642451308,0.8222717834692722,0.8335642689694356
1,4,A1_lambda_0.75,0.9730554152880216,0.4012926360507276,0.8222373290560087,0.8314779260471844
1,4,TRI_lambda_0.25,0.9747604524088729,0.39945469276441936,0.8073727687565296,0.8224418861383102
1,4,TRI_lambda_0.50,0.9736823382965851,0.3960767771817459,0.8039322937896903,0.8176763017477574
1,4,TRI_lambda_0.75,0.9724121633247678,0.39087332286990434,0.7998613749681661,0.8125218695113231
1,4,BAL_lambda_0.25,0.9769427657470349,0.4052084628662597,0.8168376902497679,0.8217110307522564
1,4,BAL_lambda_0.50,0.975770889765302,0.401627651002304,0.813919962479643,0.8173374642280523
1,4,BAL_lambda_0.75,0.9743692287618164,0.3970360091202658,0.8087372800330234,0.8071871559606607
0,2,A1_J,0.963955059208344,0.3437071834989405,0.7695362648724187,0.787820091532102
0,2,A1_L,0.9662239858236413,0.34922278169749643,0.764877745829785,0.7838761297912589
0,2,DUP_J,0.9602866328690055,0.33525529380214875,0.7555379586071483,0.7623242020626647
0,2,TRI_J,0.9635981635327356,0.33420610023541847,0.759538784609015,0.7741167812538544
0,2,TRI_L,0.9671375657240012,0.3407434252145965,0.7600384931204706,0.7749783660552296
0,2,BAL_J,0.9661617929230739,0.3363861579104757,0.7687938155665819,0.7814524769725244
0,2,BAL_L,0.9697350079392045,0.34668088401206015,0.766685701457461,0.7808189437054533
0,2,DUP_L,0.9617345142702702,0.3363218812245267,0.7524191504720834,0.7619673937320023
0,4,A1_J,0.97033399367425,0.3883278672632295,0.842623082353588,0.8625157633903692
0,4,A1_L,0.9736578693372944,0.3922696120665959,0.8464848062437099,0.8706220947208442
0,4,DUP_J,0.9672965221974558,0.3801058414972622,0.8398877402843298,0.8600310448012266
0,4,TRI_J,0.9707595073543835,0.37314304190341074,0.8298594442382535,0.8479921337755041
0,4,TRI_L,0.9751396978064534,0.38439392301538206,0.8365980143193847,0.8627290996728205
0,4,BAL_J,0.9727543376663519,0.3781278165191748,0.8339182700820551,0.84868095755595
0,4,BAL_L,0.9773783952715224,0.3853023775739118,0.8443881516449808,0.8690072544961586
0,4,DUP_L,0.9695966828798667,0.3818673648324511,0.8392175315574809,0.8591147493563994
