reference_seed,shot,category,contrast,contrast_group,metric,delta
0,2,bracket_white,DUP_L - DUP_J,matching,pixel_ap,-0.0014780665430855766
0,2,connector,DUP_L - DUP_J,matching,pixel_ap,0.01315040659335559
0,2,metal_plate,DUP_L - DUP_J,matching,pixel_ap,-0.01184908894600567
0,2,tubes,DUP_L - DUP_J,matching,pixel_ap,0.002956872606504457
0,2,bracket_black,TRI_L - TRI_J,matching,pixel_ap,0.00038858630186823853
0,2,bracket_brown,TRI_L - TRI_J,matching,pixel_ap,0.00415253170724901
0,2,bracket_white,TRI_L - TRI_J,matching,pixel_ap,-0.0029474842863350947
0,2,connector,TRI_L - TRI_J,matching,pixel_ap,0.027465975419151967
0,2,metal_plate,TRI_L - TRI_J,matching,pixel_ap,-0.004069444650920184
0,2,tubes,TRI_L - TRI_J,matching,pixel_ap,0.014233785384055397
0,2,bracket_black,BAL_L - BAL_J,matching,pixel_ap,-0.000409939802075817
0,2,bracket_brown,BAL_L - BAL_J,matching,pixel_ap,0.004875415528305976
0,2,bracket_white,BAL_L - BAL_J,matching,pixel_ap,0.005903021663490549
0,2,connector,BAL_L - BAL_J,matching,pixel_ap,0.03522365909035438
0,2,metal_plate,BAL_L - BAL_J,matching,pixel_ap,-0.004395455017886851
0,2,tubes,BAL_L - BAL_J,matching,pixel_ap,0.020571655147318735
0,4,bracket_black,TRI_J - DUP_J,representation,pixel_ap,0.005602331127532306
0,4,bracket_brown,TRI_J - DUP_J,representation,pixel_ap,0.0017262746197740791
0,4,bracket_white,TRI_J - DUP_J,representation,pixel_ap,0.009276726245568884
0,4,connector,TRI_J - DUP_J,representation,pixel_ap,-0.05572070984681826
0,4,metal_plate,TRI_J - DUP_J,representation,pixel_ap,0.02843130373484104
0,4,tubes,TRI_J - DUP_J,representation,pixel_ap,-0.031092723444005932
0,4,bracket_black,TRI_L - DUP_L,representation,pixel_ap,0.005319307303076837
0,4,bracket_brown,TRI_L - DUP_L,representation,pixel_ap,0.0029976703338483526
0,4,bracket_white,TRI_L - DUP_L,representation,pixel_ap,0.03317093211456197
0,4,connector,TRI_L - DUP_L,representation,pixel_ap,-0.03990803108532437
0,4,metal_plate,TRI_L - DUP_L,representation,pixel_ap,0.033535407299346565
0,4,tubes,TRI_L - DUP_L,representation,pixel_ap,-0.019955936867924517
0,4,bracket_black,BAL_J - A1_J,representation,pixel_ap,0.0009628976018627167
0,4,bracket_brown,BAL_J - A1_J,representation,pixel_ap,0.0015578732260793787
0,4,bracket_white,BAL_J - A1_J,representation,pixel_ap,0.001747743310349631
0,4,connector,BAL_J - A1_J,representation,pixel_ap,-0.05428598805252399
0,4,metal_plate,BAL_J - A1_J,representation,pixel_ap,0.021850968395327963
0,4,tubes,BAL_J - A1_J,representation,pixel_ap,-0.033033798945423576
0,4,bracket_black,BAL_L - A1_L,representation,pixel_ap,0.0018134356514847016
0,4,bracket_brown,BAL_L - A1_L,representation,pixel_ap,0.002662412329732043
0,4,bracket_white,BAL_L - A1_L,representation,pixel_ap,-0.0005015603345238512
0,4,connector,BAL_L - A1_L,representation,pixel_ap,-0.051349573655916025
0,4,metal_plate,BAL_L - A1_L,representation,pixel_ap,0.025916425725944214
0,4,tubes,BAL_L - A1_L,representation,pixel_ap,-0.020344546672825592
0,4,bracket_black,A1_L - A1_J,matching,pixel_ap,-0.016826756115100622
0,4,bracket_brown,A1_L - A1_J,matching,pixel_ap,0.003511364939075036
0,4,bracket_white,A1_L - A1_J,matching,pixel_ap,0.010584404586308549
0,4,connector,A1_L - A1_J,matching,pixel_ap,0.020680188382446285
0,4,metal_plate,A1_L - A1_J,matching,pixel_ap,3.047230024166847e-05
0,4,tubes,A1_L - A1_J,matching,pixel_ap,0.005670794727227868
0,4,bracket_black,DUP_L - DUP_J,matching,pixel_ap,-0.011092724963749467
