seed,shot,method,cat01_point,cat02_point,cat03_point,macro_point_corrected,study_cat03_point
0,4,BAL_L,0.5748954633494258,0.6396790247558365,0.7687427461351315,0.661105744746798,0.7728472213086129
0,8,A1_J,0.603547719645174,0.5886862425653002,0.7835132939474958,0.6585824187193233,0.7898281438781889
0,8,DUP_J,0.5986297710814236,0.5735288483785748,0.7794994182482078,0.6505526792360687,0.784945766499981
0,8,TRI_J,0.5787069240847765,0.6191502582179624,0.7790547159851986,0.6589706327626459,0.7840555226673331
0,8,BAL_J,0.5849072594957181,0.6260666718231823,0.7763077822046509,0.6624272378411837,0.7823339282845795
0,8,A1_L,0.612587526100419,0.5972528850802256,0.7940612377608708,0.6679672163138384,0.7986867434555492
0,8,DUP_L,0.6056247448869669,0.5793297253664511,0.7875843517034591,0.6575129406522924,0.7915482764000669
0,8,TRI_L,0.5811188508961881,0.6247518282733806,0.7840527008146134,0.6633077933280607,0.7879158382551434
0,8,BAL_L,0.5894024236815847,0.6347006375663872,0.7821337019037989,0.668745587717257,0.7869615277362707
1,1,A1_J,0.6000953203252921,0.5729596996608389,0.7144930482244001,0.6291826894035104,0.7220694737097769
1,1,DUP_J,0.5911780411814385,0.5569163462892026,0.7086487117909491,0.6189143664205301,0.7153668778914136
1,1,TRI_J,0.5657731785955749,0.61788395251751,0.7194568498290086,0.6343713269806979,0.7256251999564324
1,1,BAL_J,0.5759549804309557,0.6242738787343778,0.7167801659733117,0.6390030083795485,0.7230773463485817
1,1,A1_L,0.6034760997274194,0.5826557242665341,0.7264956646107829,0.6375424962015788,0.7335350360908393
1,1,DUP_L,0.5939954339790636,0.5641775869043522,0.7166679701773151,0.6249469970202436,0.7232699325170582
1,1,TRI_L,0.5723854218630476,0.6282354769781383,0.7284764324889875,0.6430324437767245,0.7345111184864936
1,1,BAL_L,0.5836449516964001,0.6355739539938456,0.7271234693627316,0.6487807916843257,0.7336591133826368
1,2,A1_J,0.6010281563758717,0.5746049245691448,0.7489414481095676,0.6415248430181947,0.7582225783185437
1,2,DUP_J,0.5926570538484438,0.5582517226183663,0.7415492022462573,0.6308193262376892,0.7493615893300819
1,2,TRI_J,0.5728593131560431,0.6193275508082153,0.7462546989522535,0.6461471876388373,0.753174081525628
1,2,BAL_J,0.5801109205485729,0.6259526873348954,0.7448756865887771,0.6503130981574151,0.7531216217753629
1,2,A1_L,0.6038736658613676,0.5863704195958309,0.7605535928412731,0.6502658927661572,0.7667416644474679
1,2,DUP_L,0.5947104693529855,0.5678841629452921,0.7494178405306825,0.6373374909429868,0.7549691553525502
1,2,TRI_L,0.5811899834319508,0.6274232282842369,0.7554364427528582,0.6546832181563487,0.7605319613193181
1,2,BAL_L,0.5899508365600215,0.6350685671522451,0.7552416154371856,0.6600870063831508,0.7611579435089068
1,4,A1_J,0.6088867514883732,0.5680662824568798,0.755143575373526,0.6440322031062596,0.7631607485297269
1,4,DUP_J,0.601791848383603,0.547354021160798,0.7510123960786969,0.6333860885410326,0.7585831125875997
1,4,TRI_J,0.5834876926867426,0.624097923218882,0.7567642998289282,0.654783305244851,0.7637952458889565
1,4,BAL_J,0.5908220547391002,0.632704916368029,0.7525190318205358,0.6586820009758884,0.7602158334361321
1,4,A1_L,0.6117880152355887,0.5759441259536703,0.7657717209573777,0.651167954048879,0.7720535311601613
1,4,DUP_L,0.6039422134776948,0.5547018254463677,0.7565452799185107,0.638396439614191,0.7623815492006702
1,4,TRI_L,0.58683152101239,0.6241990491636841,0.7667330278482035,0.6592545326747592,0.7718367927354096
1,4,BAL_L,0.5945330024466544,0.6336272025185735,0.7648178098853049,0.6643260049501776,0.7706205902585408
1,8,A1_J,0.6103127131250797,0.5730903147825909,0.7734448029603945,0.6522826102893551,0.7796552573552633
1,8,DUP_J,0.6026861230384846,0.5520037601100495,0.7656647829277389,0.6401182220254243,0.7713024530300994
1,8,TRI_J,0.582198540380246,0.6256983370743885,0.7694032163211545,0.6591000312585963,0.774853772942488
1,8,BAL_J,0.5900525040647692,0.6346229178776891,0.7690018807134877,0.6645591008853153,0.7761779736537525
1,8,A1_L,0.61250087510668,0.5766679748368183,0.781000446631064,0.6567230988581875,0.7858510627871851
1,8,DUP_L,0.6047383186054913,0.5561722057934553,0.7699531686763944,0.6436212310251137,0.7743505861213189
1,8,TRI_L,0.5829601898809529,0.6225223657789831,0.7746945083823134,0.6600590213474165,0.7788210680568302
1,8,BAL_L,0.5918206186819884,0.6321626480329592,0.7757676734033502,0.6665836467060992,0.7807355660501265
