revision,c_mapping,gt,seed,shot,stride,method,pixel_ap,pixel_auroc
rev_gt_only,approx,faithful,0,4,8,DUP_J,0.7586324984915996,0.9970234301040769
rev_gt_only,approx,faithful,0,4,8,TRI_J,0.7646776128096804,0.9976110767522567
rev_gt_only,approx,faithful,0,4,8,BAL_J,0.7534749984266786,0.9975511923618783
rev_gt_only,approx,faithful,0,4,8,DUP_BAL_J,0.756180924763011,0.9972400614275254
rev_gt_only,approx,faithful,0,4,8,DUP_EXPECTED_J,0.7586324984915996,0.9970234301040769
rev_gt_only,approx,faithful,0,4,8,A1_L,0.7715252978745827,0.9977733523168203
rev_gt_only,approx,faithful,0,4,8,DUP_L,0.7665552812115669,0.9974536978422607
rev_gt_only,approx,faithful,0,4,8,TRI_L,0.7714741274721544,0.998032067072045
rev_gt_only,approx,faithful,0,4,8,BAL_L,0.7655045771736533,0.9980290231300202
rev_study,approx,study,0,8,1,A1_J,0.7856417006039509,0.9980338088089307
rev_study,approx,study,0,8,1,DUP_J,0.7807979762787928,0.997966612104709
rev_study,approx,study,0,8,1,TRI_J,0.7802073703690193,0.9982002766053328
rev_study,approx,study,0,8,1,BAL_J,0.7784273293886618,0.998134404037816
rev_study,approx,study,0,8,1,A1_L,0.7949003896176499,0.9983591614410448
rev_study,approx,study,0,8,1,DUP_L,0.7876488467035407,0.9982112993705639
rev_study,approx,study,0,8,1,TRI_L,0.7840664871601186,0.9984407088759971
rev_study,approx,study,0,8,1,BAL_L,0.7831507141411558,0.9984082343194505
rev_study,approx,study,0,8,8,B,0.7697437521986287,0.9978346579734891
rev_study,approx,study,0,8,8,S,0.7223238078505084,0.9978820862735402
rev_study,approx,study,0,8,8,C,0.42419375659009034,0.9870999407197257
rev_study,approx,study,0,8,8,A1_J,0.7898280583901081,0.9982480994011474
rev_study,approx,study,0,8,8,DUP_J,0.7849457616698127,0.9981702615399306
rev_study,approx,study,0,8,8,TRI_J,0.7840555042938354,0.9984056431240199
rev_study,approx,study,0,8,8,BAL_J,0.7823338715879282,0.9983553063478707
rev_study,approx,study,0,8,8,DUP_BAL_J,0.7898280583901081,0.9982480994011474
rev_study,approx,study,0,8,8,DUP_EXPECTED_J,0.7849457616698127,0.9981702615399306
rev_study,approx,study,0,8,8,A1_L,0.7986867112460085,0.9985392134189324
rev_study,approx,study,0,8,8,DUP_L,0.7915481911845319,0.9983918926546147
rev_study,approx,study,0,8,8,TRI_L,0.7879158242385642,0.9985885533772778
rev_study,approx,study,0,8,8,BAL_L,0.7869614667226281,0.9985653019493308
rev_gt_only,approx,faithful,0,8,8,B,0.7666575667881801,0.9973734101382221
rev_gt_only,approx,faithful,0,8,8,S,0.7197918304426869,0.9977661360204891
rev_gt_only,approx,faithful,0,8,8,C,0.41063313249952693,0.9859309507180093
rev_gt_only,approx,faithful,0,8,8,A1_J,0.7824301683869888,0.9978100848718305
rev_gt_only,approx,faithful,0,8,8,DUP_J,0.779439895546602,0.9977360769494128
rev_gt_only,approx,faithful,0,8,8,TRI_J,0.7786221044401413,0.9980875060866188
rev_gt_only,approx,faithful,0,8,8,BAL_J,0.7744906874778174,0.9980157763107169
rev_gt_only,approx,faithful,0,8,8,DUP_BAL_J,0.7824301683869888,0.9978100848718305
rev_gt_only,approx,faithful,0,8,8,DUP_EXPECTED_J,0.779439895546602,0.9977360769494128
rev_gt_only,approx,faithful,0,8,8,A1_L,0.7913439314930607,0.998230758736514
rev_gt_only,approx,faithful,0,8,8,DUP_L,0.7860751110421585,0.9980427605696017
rev_gt_only,approx,faithful,0,8,8,TRI_L,0.7826348251149621,0.998399644393483
rev_gt_only,approx,faithful,0,8,8,BAL_L,0.7794158595467903,0.9983729136289211
rev_c_regrid_only,correct,study,0,1,8,B,0.6465064825110618,0.9915221980388499
rev_c_regrid_only,correct,study,0,1,8,S,0.6663219976294499,0.9949804167789355
rev_c_regrid_only,correct,study,0,1,8,C,0.12506462465152457,0.9652071637386825
rev_c_regrid_only,correct,study,0,1,8,A1_J,0.6695974330471243,0.9934943607824441
rev_c_regrid_only,correct,study,0,1,8,DUP_J,0.6666498121766797,0.9927677371320063
rev_c_regrid_only,correct,study,0,1,8,TRI_J,0.7020280995025434,0.9947979763046793
rev_c_regrid_only,correct,study,0,1,8,BAL_J,0.6931539629490919,0.9948152376115827
rev_c_regrid_only,correct,study,0,1,8,DUP_BAL_J,0.6695974330471243,0.9934943607824441
rev_c_regrid_only,correct,study,0,1,8,DUP_EXPECTED_J,0.6666498121766797,0.9927677371320063
rev_c_regrid_only,correct,study,0,1,8,A1_L,0.6835128155822211,0.9944641010627903
rev_c_regrid_only,correct,study,0,1,8,DUP_L,0.6763927188711522,0.9936422262095893
rev_c_regrid_only,correct,study,0,1,8,TRI_L,0.7093281763746537,0.9955401186042357
rev_c_regrid_only,correct,study,0,1,8,BAL_L,0.7012996166920326,0.9955902092290587
rev_correct,correct,faithful,0,1,1,A1_J,0.659724041656293,0.9923482047846642
rev_correct,correct,faithful,0,1,1,DUP_J,0.6562331759034504,0.9914867651585395
rev_correct,correct,faithful,0,1,1,TRI_J,0.6923250062828815,0.9937888946106304
rev_correct,correct,faithful,0,1,1,BAL_J,0.6838339348979559,0.9938393780995299
rev_correct,correct,faithful,0,1,1,A1_L,0.6736676074575646,0.9935363108069494
rev_correct,correct,faithful,0,1,1,DUP_L,0.6659252468810353,0.9925554596565824
rev_correct,correct,faithful,0,1,1,TRI_L,0.6999255637479728,0.994751600600398
rev_correct,correct,faithful,0,1,1,BAL_L,0.6918952456012455,0.9948814935254459
rev_correct,correct,faithful,0,1,8,B,0.6420204801530605,0.9903313650579618
rev_correct,correct,faithful,0,1,8,S,0.6628942688100266,0.9945831423448165
rev_correct,correct,faithful,0,1,8,C,0.125478009901366,0.9653400165119354
rev_correct,correct,faithful,0,1,8,A1_J,0.6654942495122134,0.9927191662110392
rev_correct,correct,faithful,0,1,8,DUP_J,0.6622999274069256,0.9917794757503796
rev_correct,correct,faithful,0,1,8,TRI_J,0.6978460227152892,0.9941469094135481
rev_correct,correct,faithful,0,1,8,BAL_J,0.6893746690140996,0.9942501523171717
rev_correct,correct,faithful,0,1,8,DUP_BAL_J,0.6654942495122134,0.9927191662110392
rev_correct,correct,faithful,0,1,8,DUP_EXPECTED_J,0.6622999274069256,0.9917794757503796
rev_correct,correct,faithful,0,1,8,A1_L,0.6794693278507026,0.9938971937426806
rev_correct,correct,faithful,0,1,8,DUP_L,0.6720792188475321,0.9928390668002287
rev_correct,correct,faithful,0,1,8,TRI_L,0.705283248532932,0.995095374826796
rev_correct,correct,faithful,0,1,8,BAL_L,0.6974135408032136,0.9952778266298167
rev_c_regrid_only,correct,study,0,2,8,B,0.7357181836767784,0.9965319073448177
rev_c_regrid_only,correct,study,0,2,8,S,0.7127451811156509,0.9973623011107614
rev_c_regrid_only,correct,study,0,2,8,C,0.24164676867471147,0.9850333201470278
rev_c_regrid_only,correct,study,0,2,8,A1_J,0.7438612200904192,0.997418049340264
rev_c_regrid_only,correct,study,0,2,8,DUP_J,0.7488086519505537,0.997165444183699
rev_c_regrid_only,correct,study,0,2,8,TRI_J,0.7596063402491282,0.9977560510173531
rev_c_regrid_only,correct,study,0,2,8,BAL_J,0.7459498417053295,0.9977037266021528
rev_c_regrid_only,correct,study,0,2,8,DUP_BAL_J,0.7438612200904192,0.997418049340264
rev_c_regrid_only,correct,study,0,2,8,DUP_EXPECTED_J,0.7488086519505537,0.997165444183699
rev_c_regrid_only,correct,study,0,2,8,A1_L,0.761118812817032,0.9978526655591461
rev_c_regrid_only,correct,study,0,2,8,DUP_L,0.7582428049326776,0.9975511505874624
rev_c_regrid_only,correct,study,0,2,8,TRI_L,0.7693482375894614,0.9980992756219136
rev_c_regrid_only,correct,study,0,2,8,BAL_L,0.7599607970531476,0.9980659814977467
rev_correct,correct,faithful,0,2,1,A1_J,0.7341925752895866,0.9968155016522758
rev_correct,correct,faithful,0,2,1,DUP_J,0.7388976569231294,0.9964480837213695
rev_correct,correct,faithful,0,2,1,TRI_J,0.751284353913186,0.9972421332055352
rev_correct,correct,faithful,0,2,1,BAL_J,0.737187021135505,0.9972286470333857
rev_correct,correct,faithful,0,2,1,A1_L,0.7516313363089228,0.9973853740506583
rev_correct,correct,faithful,0,2,1,DUP_L,0.7482986930177198,0.9969517887758194
rev_correct,correct,faithful,0,2,1,TRI_L,0.7612080068100202,0.9977310961845847
rev_correct,correct,faithful,0,2,1,BAL_L,0.7516357000134246,0.9977521244491085
rev_correct,correct,faithful,0,2,8,B,0.7316054785473078,0.9958150615777662
rev_correct,correct,faithful,0,2,8,S,0.7101931897284417,0.9972239444724154
rev_correct,correct,faithful,0,2,8,C,0.24184800675988555,0.985298353086726
rev_correct,correct,faithful,0,2,8,A1_J,0.7403302569227456,0.9970784805135048
rev_correct,correct,faithful,0,2,8,DUP_J,0.7452591550322605,0.9966590285330963
rev_correct,correct,faithful,0,2,8,TRI_J,0.7564774972459158,0.9974638189494929
rev_correct,correct,faithful,0,2,8,BAL_J,0.7425464401018836,0.9974775594760912
rev_correct,correct,faithful,0,2,8,DUP_BAL_J,0.7403302569227456,0.9970784805135048
rev_correct,correct,faithful,0,2,8,DUP_EXPECTED_J,0.7452591550322605,0.9966590285330963
rev_correct,correct,faithful,0,2,8,A1_L,0.7577847668930059,0.9976250101097104
rev_correct,correct,faithful,0,2,8,DUP_L,0.7546379461581258,0.9971586603155419
rev_correct,correct,faithful,0,2,8,TRI_L,0.7664917961701008,0.9979222333160269
rev_correct,correct,faithful,0,2,8,BAL_L,0.7570062060202922,0.9979598146570408
rev_c_regrid_only,correct,study,0,4,8,B,0.7476190757500469,0.9970182825475113
rev_c_regrid_only,correct,study,0,4,8,S,0.7153718743652382,0.9974728972818948
rev_c_regrid_only,correct,study,0,4,8,C,0.31677957353363156,0.9856139041023495
rev_c_regrid_only,correct,study,0,4,8,A1_J,0.7599332663825095,0.9976814537098255
rev_c_regrid_only,correct,study,0,4,8,DUP_J,0.7621106720054518,0.997506694019866
rev_c_regrid_only,correct,study,0,4,8,TRI_J,0.7676655982390337,0.9979510314610435
rev_c_regrid_only,correct,study,0,4,8,BAL_J,0.7573162779562747,0.9978913854698989
rev_c_regrid_only,correct,study,0,4,8,DUP_BAL_J,0.7599332663825095,0.9976814537098255
rev_c_regrid_only,correct,study,0,4,8,DUP_EXPECTED_J,0.7621106720054518,0.997506694019866
rev_c_regrid_only,correct,study,0,4,8,A1_L,0.7772743704911746,0.9980695377481904
rev_c_regrid_only,correct,study,0,4,8,DUP_L,0.7711458282898113,0.9978377013721056
rev_c_regrid_only,correct,study,0,4,8,TRI_L,0.7753763359737472,0.9982347339545385
rev_c_regrid_only,correct,study,0,4,8,BAL_L,0.7711354182416659,0.9982031937499818
rev_correct,correct,faithful,0,4,1,A1_J,0.7511088042942017,0.9971466550512007
rev_correct,correct,faithful,0,4,1,DUP_J,0.7533281919157042,0.9968877771261194
rev_correct,correct,faithful,0,4,1,TRI_J,0.75985810583757,0.9974757842818028
rev_correct,correct,faithful,0,4,1,BAL_J,0.7490270642927763,0.997457306156241
rev_correct,correct,faithful,0,4,1,A1_L,0.7691520745740087,0.9976859676467635
rev_correct,correct,faithful,0,4,1,DUP_L,0.7629112141211444,0.9973414311836135
rev_correct,correct,faithful,0,4,1,TRI_L,0.7680080352431619,0.9979140742902093
rev_correct,correct,faithful,0,4,1,BAL_L,0.7635597066050681,0.9979305344059338
rev_correct,correct,faithful,0,4,8,B,0.7441342730846132,0.9964295824290967
rev_correct,correct,faithful,0,4,8,S,0.7132795785629714,0.9973515817715148
rev_correct,correct,faithful,0,4,8,C,0.3165495507066599,0.9858864044212547
rev_correct,correct,faithful,0,4,8,A1_J,0.756595678417082,0.9973773712113639
rev_correct,correct,faithful,0,4,8,DUP_J,0.7586734356493847,0.9970763361855723
rev_correct,correct,faithful,0,4,8,TRI_J,0.7647643070812371,0.9976836120959286
rev_correct,correct,faithful,0,4,8,BAL_J,0.7542601242845518,0.9976877311812496
rev_correct,correct,faithful,0,4,8,DUP_BAL_J,0.756595678417082,0.9973773712113639
rev_correct,correct,faithful,0,4,8,DUP_EXPECTED_J,0.7586734356493847,0.9970763361855723
rev_correct,correct,faithful,0,4,8,A1_L,0.7744247144883428,0.9979069849612602
rev_correct,correct,faithful,0,4,8,DUP_L,0.7680372182077873,0.9975337597633355
rev_correct,correct,faithful,0,4,8,TRI_L,0.7729316258096613,0.9980923570102651
rev_correct,correct,faithful,0,4,8,BAL_L,0.7687427129218374,0.998124441953983
rev_c_regrid_only,correct,study,0,8,8,B,0.7697437521986287,0.9978346579734891
rev_c_regrid_only,correct,study,0,8,8,S,0.7223238078505084,0.9978820862735402
rev_c_regrid_only,correct,study,0,8,8,C,0.4230718655287605,0.9866405239868767
rev_c_regrid_only,correct,study,0,8,8,A1_J,0.7867227785656776,0.9982240573784328
rev_c_regrid_only,correct,study,0,8,8,DUP_J,0.782878441494019,0.9981465561287888
rev_c_regrid_only,correct,study,0,8,8,TRI_J,0.7820204661642861,0.9983873266425809
rev_c_regrid_only,correct,study,0,8,8,BAL_J,0.7792992556755028,0.9983180927428272
rev_c_regrid_only,correct,study,0,8,8,DUP_BAL_J,0.7867227785656776,0.9982240573784328
rev_c_regrid_only,correct,study,0,8,8,DUP_EXPECTED_J,0.782878441494019,0.9981465561287888
rev_c_regrid_only,correct,study,0,8,8,A1_L,0.7967535948567286,0.9985119244071998
rev_c_regrid_only,correct,study,0,8,8,DUP_L,0.7904594560568835,0.9983750626609975
rev_c_regrid_only,correct,study,0,8,8,TRI_L,0.7866196181962918,0.9985736503258607
rev_c_regrid_only,correct,study,0,8,8,BAL_L,0.7847115162566441,0.998537481730458
rev_correct,correct,faithful,0,8,1,A1_J,0.7780817433755597,0.9977520454761137
rev_correct,correct,faithful,0,8,1,DUP_J,0.7743301874804674,0.9976295423418887
rev_correct,correct,faithful,0,8,1,TRI_J,0.7742935625283448,0.9979921194176521
rev_correct,correct,faithful,0,8,1,BAL_J,0.7712681553419131,0.997949585051481
rev_correct,correct,faithful,0,8,1,A1_L,0.7887229493039571,0.9981829822399311
rev_correct,correct,faithful,0,8,1,DUP_L,0.7823774857121086,0.9979688247790454
rev_correct,correct,faithful,0,8,1,TRI_L,0.7791606616281636,0.9983139055149607
rev_correct,correct,faithful,0,8,1,BAL_L,0.7770579257511083,0.998306083106676
rev_correct,correct,faithful,0,8,8,B,0.7666575667881801,0.9973734101382221
rev_correct,correct,faithful,0,8,8,S,0.7197918304426869,0.9977661360204891
rev_correct,correct,faithful,0,8,8,C,0.4221096594570755,0.9868689230744111
rev_correct,correct,faithful,0,8,8,A1_J,0.7835129126205106,0.997948136257582
rev_correct,correct,faithful,0,8,8,DUP_J,0.7794993708899587,0.997792662611204
rev_correct,correct,faithful,0,8,8,TRI_J,0.7790547289630574,0.998154733341012
rev_correct,correct,faithful,0,8,8,BAL_J,0.776307782204651,0.9981335172086817
rev_correct,correct,faithful,0,8,8,DUP_BAL_J,0.7835129126205106,0.997948136257582
rev_correct,correct,faithful,0,8,8,DUP_EXPECTED_J,0.7794993708899587,0.997792662611204
rev_correct,correct,faithful,0,8,8,A1_L,0.7940612105926035,0.9983438157686884
rev_correct,correct,faithful,0,8,8,DUP_L,0.7875843756317302,0.9981090177110568
rev_correct,correct,faithful,0,8,8,TRI_L,0.7840526999806839,0.9984416005396645
rev_correct,correct,faithful,0,8,8,BAL_L,0.7821336932507789,0.99844491635453
rev_study,approx,study,1,1,1,A1_J,0.7171423057248205,0.9934481817557943
rev_study,approx,study,1,1,1,DUP_J,0.7106453285791232,0.9930848055391692
rev_study,approx,study,1,1,1,TRI_J,0.7210700047812737,0.9948408846751089
rev_study,approx,study,1,1,1,BAL_J,0.7184554669390372,0.9946408356903071
rev_study,approx,study,1,1,1,A1_L,0.7292217143239488,0.9945565151575593
rev_study,approx,study,1,1,1,DUP_L,0.718713714279885,0.9939640556481566
rev_study,approx,study,1,1,1,TRI_L,0.7298324608248984,0.9956326722760349
rev_study,approx,study,1,1,1,BAL_L,0.729162350333789,0.9955414204444097
rev_study,approx,study,1,1,8,B,0.6919749531778646,0.9923565271546059
rev_study,approx,study,1,1,8,S,0.6575904491660344,0.9945336180438822
rev_study,approx,study,1,1,8,C,0.13685121450946047,0.947987111753497
rev_study,approx,study,1,1,8,A1_J,0.7220694464276662,0.9938596832822661
rev_study,approx,study,1,1,8,DUP_J,0.7153669290067516,0.9934409027987032
rev_study,approx,study,1,1,8,TRI_J,0.7256248387502513,0.9951970831105871
rev_study,approx,study,1,1,8,BAL_J,0.7230773965011273,0.9950530943108791
rev_study,approx,study,1,1,8,DUP_BAL_J,0.7220694464276662,0.9938596832822661
rev_study,approx,study,1,1,8,DUP_EXPECTED_J,0.7153669290067516,0.9934409027987032
rev_study,approx,study,1,1,8,A1_L,0.7335350786714003,0.9949406805981351
rev_study,approx,study,1,1,8,DUP_L,0.7232699286362402,0.9943225700467787
rev_study,approx,study,1,1,8,TRI_L,0.7345111040064977,0.9959527502773975
rev_study,approx,study,1,1,8,BAL_L,0.7336591849734079,0.9958901660467594
rev_gt_only,approx,faithful,1,1,8,B,0.6863140044351382,0.9914711690055388
rev_gt_only,approx,faithful,1,1,8,S,0.6529078301168867,0.9942099433506381
rev_gt_only,approx,faithful,1,1,8,C,0.13253849427713554,0.9439119932954765
rev_gt_only,approx,faithful,1,1,8,A1_J,0.711986100321252,0.9927916166976483
rev_gt_only,approx,faithful,1,1,8,DUP_J,0.707152645702727,0.9924052431777896
rev_gt_only,approx,faithful,1,1,8,TRI_J,0.7180507015714837,0.9944129213736572
rev_gt_only,approx,faithful,1,1,8,BAL_J,0.7130526087078513,0.9941832309645939
rev_gt_only,approx,faithful,1,1,8,DUP_BAL_J,0.711986100321252,0.9927916166976483
rev_gt_only,approx,faithful,1,1,8,DUP_EXPECTED_J,0.707152645702727,0.9924052431777896
rev_gt_only,approx,faithful,1,1,8,A1_L,0.7239609703148346,0.9942491097670283
rev_gt_only,approx,faithful,1,1,8,DUP_L,0.7154781340139778,0.9935733969942795
rev_gt_only,approx,faithful,1,1,8,TRI_L,0.7269053939778399,0.9954476872815179
rev_gt_only,approx,faithful,1,1,8,BAL_L,0.7238128963779134,0.9953780345653014
rev_study,approx,study,1,2,1,A1_J,0.7537709851387663,0.9959651628217975
rev_study,approx,study,1,2,1,DUP_J,0.7450137849779058,0.9955012521474582
rev_study,approx,study,1,2,1,TRI_J,0.7489615540513068,0.9966295604263252
rev_study,approx,study,1,2,1,BAL_J,0.7488941885815042,0.9966672389800377
rev_study,approx,study,1,2,1,A1_L,0.7623231094769255,0.9966061955982162
rev_study,approx,study,1,2,1,DUP_L,0.7504742285891406,0.996055774230997
rev_study,approx,study,1,2,1,TRI_L,0.7560942164343433,0.9970835081744641
rev_study,approx,study,1,2,1,BAL_L,0.7567828643061596,0.9971283314724596
rev_study,approx,study,1,2,8,B,0.7236538217579965,0.9946082140350925
rev_study,approx,study,1,2,8,S,0.678801116985899,0.9960194988970501
rev_study,approx,study,1,2,8,C,0.16834427047213815,0.9754040002701406
rev_study,approx,study,1,2,8,A1_J,0.7582224536215838,0.9962725235200465
rev_study,approx,study,1,2,8,DUP_J,0.7493616986103032,0.9957722942245282
rev_study,approx,study,1,2,8,TRI_J,0.7531740990939204,0.9969031499814826
rev_study,approx,study,1,2,8,BAL_J,0.7531214631364511,0.9969650710807405
rev_study,approx,study,1,2,8,DUP_BAL_J,0.7582224536215838,0.9962725235200465
rev_study,approx,study,1,2,8,DUP_EXPECTED_J,0.7493616986103032,0.9957722942245282
rev_study,approx,study,1,2,8,A1_L,0.7667415540470972,0.996871719762545
rev_study,approx,study,1,2,8,DUP_L,0.7549691595204624,0.9963150417373595
rev_study,approx,study,1,2,8,TRI_L,0.7605320309631303,0.9973275591107454
rev_study,approx,study,1,2,8,BAL_L,0.7611579173982953,0.9973872729653572
rev_gt_only,approx,faithful,1,2,8,B,0.71890602003924,0.9939206189585025
rev_gt_only,approx,faithful,1,2,8,S,0.6752292228284917,0.9958037837007735
