root,dataset,seed,shot,category,n_images,configurations,load_s,score_s,metric_s,total_s,invariants_pass,scientific_status,stride
p1_matrix,mpdd,1,4,tubes,101,45,5.593999999999141,8.984999999998763,10.188000000000102,25.531999999999243,True,exploratory_only,8
p1_matrix,mpdd,1,8,bracket_black,79,45,4.281000000000859,10.735000000000582,7.79700000000048,23.57800000000134,True,exploratory_only,8
p1_matrix,mpdd,1,8,bracket_brown,77,45,4.42200000000048,12.82799999999952,8.390999999999622,26.46899999999914,True,exploratory_only,8
p1_matrix,mpdd,1,8,bracket_white,60,45,3.5,10.5,5.796999999998661,20.5,True,exploratory_only,8
p1_matrix,mpdd,1,8,connector,44,45,2.639999999999418,6.45299999999952,4.25,13.984000000000378,True,exploratory_only,8
p1_matrix,mpdd,1,8,metal_plate,97,45,5.061999999999898,13.04700000000048,9.78099999999904,28.78099999999904,True,exploratory_only,8
p1_matrix,mpdd,1,8,tubes,101,45,5.265999999999622,13.57799999999952,9.859000000000378,29.625,True,exploratory_only,8
p1_matrix,mpdd,2,1,bracket_black,79,30,4.141000000001441,2.9839999999985594,7.453000000001339,15.01600000000144,True,exploratory_only,8
p1_matrix,mpdd,2,1,bracket_brown,77,30,4.0,2.70299999999952,7.734000000000378,14.890999999999622,True,exploratory_only,8
p1_matrix,mpdd,2,1,bracket_white,60,30,3.485000000000582,2.32799999999952,5.781000000000859,11.985000000000582,True,exploratory_only,8
p1_matrix,mpdd,2,1,connector,44,30,2.625,1.875,4.343999999999141,9.140999999999622,True,exploratory_only,8
p1_matrix,mpdd,2,1,metal_plate,97,30,5.42200000000048,3.7659999999996217,9.984000000000378,19.75,True,exploratory_only,8
p1_matrix,mpdd,2,1,tubes,101,30,5.485000000000582,3.875,9.968999999999141,19.96899999999914,True,exploratory_only,8
p1_matrix,mpdd,2,2,bracket_black,79,35,4.265999999999622,3.9059999999990396,7.875,16.54699999999866,True,exploratory_only,8
p1_matrix,mpdd,2,2,bracket_brown,77,35,4.360000000000582,3.70299999999952,7.75,16.328999999999724,True,exploratory_only,8
p1_matrix,mpdd,2,2,bracket_white,60,35,3.3590000000003783,2.95299999999952,5.70299999999952,12.421000000000276,True,exploratory_only,8
p1_matrix,mpdd,2,2,connector,44,35,2.625,2.3909999999996217,4.343999999999141,9.703999999999724,True,exploratory_only,8
p1_matrix,mpdd,2,2,metal_plate,97,35,5.406999999999243,4.781000000000859,10.234000000000378,21.01599999999962,True,exploratory_only,8
p1_matrix,mpdd,2,2,tubes,101,35,5.436999999999898,4.953000000001339,10.014999999999418,21.046000000000276,True,exploratory_only,8
p1_matrix,mpdd,2,4,bracket_black,79,45,4.406000000000859,6.936999999999898,7.781000000000859,19.73400000000038,True,exploratory_only,8
p1_matrix,mpdd,2,4,bracket_brown,77,45,4.281000000000859,6.610000000000582,7.45299999999952,18.968000000000757,True,exploratory_only,8
p1_matrix,mpdd,2,4,bracket_white,60,45,3.07799999999952,4.671999999998661,5.391000000001441,13.59400000000096,True,exploratory_only,8
p1_matrix,mpdd,2,4,connector,44,45,2.42200000000048,3.5940000000009604,3.95299999999952,10.375,True,exploratory_only,8
p1_matrix,mpdd,2,4,metal_plate,97,45,4.734000000000378,7.515000000001237,9.32799999999952,22.311999999999898,True,exploratory_only,8
p1_matrix,mpdd,2,4,tubes,101,45,5.233999999998559,7.813000000000102,9.171999999998661,23.10899999999856,True,exploratory_only,8
p1_matrix,mpdd,2,8,bracket_black,79,45,4.09400000000096,9.57799999999952,7.188000000000102,21.610000000000582,True,exploratory_only,8
p1_matrix,mpdd,2,8,bracket_brown,77,45,3.875,9.45299999999952,7.265999999999622,21.34399999999914,True,exploratory_only,8
p1_matrix,mpdd,2,8,bracket_white,60,45,3.125,7.42200000000048,5.359999999998763,16.54699999999866,True,exploratory_only,8
p1_matrix,mpdd,2,8,connector,44,45,2.4060000000008586,5.516000000001441,3.9689999999991414,12.514999999999418,True,exploratory_only,8
p1_matrix,mpdd,2,8,metal_plate,97,45,4.84400000000096,12.843000000000757,9.32799999999952,27.85900000000038,True,exploratory_only,8
p1_matrix,mpdd,2,8,tubes,101,45,5.015999999999622,12.29700000000048,9.29700000000048,27.485000000000582,True,exploratory_only,8
p3_external,btad,0,1,01,70,30,3.7339999999985594,2.5469999999986612,7.311999999999898,14.014999999999418,True,exploratory_only,8
p3_external,btad,0,1,02,230,30,11.34400000000096,7.938000000000102,23.29700000000048,43.84400000000096,True,exploratory_only,8
p3_external,btad,0,1,03,441,30,25.610000000000582,27.188000000000102,71.09399999999914,127.78199999999924,True,exploratory_only,8
p3_external,btad,0,2,01,70,35,4.75,4.375,10.0,19.71900000000096,True,exploratory_only,8
p3_external,btad,0,2,02,230,35,14.484000000000378,13.436999999999898,33.28199999999924,62.89099999999962,True,exploratory_only,8
p3_external,btad,0,2,03,441,35,32.82800000000134,39.86000000000058,73.71899999999914,151.79700000000048,True,exploratory_only,8
p3_external,btad,0,4,01,70,45,4.75,6.734000000000378,9.735000000000582,21.92200000000048,True,exploratory_only,8
p3_external,btad,0,4,02,230,45,14.70299999999952,22.735000000000582,44.35900000000038,83.57799999999952,True,exploratory_only,8
p3_external,btad,0,4,03,441,45,35.32799999999952,78.90600000000086,85.60900000000038,205.85900000000038,True,exploratory_only,8
p3_external,btad,0,8,01,70,45,5.09400000000096,12.311999999999898,12.718999999999141,31.375,True,exploratory_only,8
p3_external,btad,0,8,02,230,45,15.485000000000582,33.70299999999952,31.75,83.21899999999914,True,exploratory_only,8
p3_external,btad,0,8,03,441,45,35.40600000000086,127.17199999999866,85.4369999999999,255.01500000000124,True,exploratory_only,8
p3_external,btad,1,1,01,70,30,5.0,3.9530000000013388,13.311999999999898,22.95299999999952,True,exploratory_only,8
p3_external,btad,1,1,02,230,30,15.75,12.40599999999904,40.75,70.8119999999999,True,exploratory_only,8
p3_external,btad,1,1,03,441,30,34.84300000000076,33.5619999999999,81.5,154.84300000000076,True,exploratory_only,8
p3_external,btad,1,2,01,70,35,4.92200000000048,5.171999999998661,12.593999999999141,23.436999999999898,True,exploratory_only,8
p3_external,btad,1,2,02,230,35,15.45299999999952,15.781999999999243,41.29700000000048,74.5,True,exploratory_only,8
p3_external,btad,1,2,03,441,35,34.95299999999952,47.0619999999999,82.88999999999942,170.48399999999856,True,exploratory_only,8
p3_external,btad,1,4,01,70,45,5.015999999999622,6.75,9.65599999999904,22.17199999999866,True,exploratory_only,8
p3_external,btad,1,4,02,230,45,15.75,26.0,39.78100000000086,83.71900000000096,True,exploratory_only,8
p3_external,btad,1,4,03,441,45,35.01599999999962,81.71800000000076,85.89000000000124,208.53100000000086,True,exploratory_only,8
p3_external,btad,1,8,01,70,45,5.07799999999952,12.311999999999898,12.968999999999141,31.64099999999962,True,exploratory_only,8
p3_external,btad,1,8,02,230,45,15.95299999999952,36.82799999999952,41.84300000000076,97.34300000000076,True,exploratory_only,8
p3_external,btad,1,8,03,441,45,35.64099999999962,110.86000000000058,69.0,221.14099999999962,True,exploratory_only,8
