method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
A1_J__perm_C_within_p07,0.9744649647335154,0.3243238266991374,0.9107274620313841,0.8380952380952381,0.6325240566311995,0.75
TRI_J__perm_C_within_p07,0.9744032731861016,0.2556336252019196,0.9092641783531898,0.7666666666666667,0.5117842753181099,0.6857142857142857
TRI_J__perm_S_within_p07,0.9737760606844513,0.1706497562738357,0.9074415744328754,0.6714285714285714,0.4472478773209461,0.6153846153846153
BAL_J__perm_C_within_p07,0.9728149936548562,0.2121355193066655,0.9041917061657618,0.7761904761904762,0.5882243276863035,0.7027027027027025
BAL_J__perm_S_within_p07,0.9741638661041123,0.17238783706001087,0.9085699547534241,0.7523809523809524,0.5499328800092117,0.6666666666666665
A1_J__perm_C_within_p08,0.9708904844591671,0.2729234881971438,0.8979204919306571,0.7833333333333333,0.5888105545248402,0.689655172413793
TRI_J__perm_C_within_p08,0.9707386855746609,0.23621565454507704,0.895003310076947,0.7476190476190476,0.48350583875344233,0.6486486486486486
TRI_J__perm_S_within_p08,0.9602456282226501,0.12178790426319919,0.8632280669136735,0.6452380952380952,0.4244785394221484,0.5789473684210527
BAL_J__perm_C_within_p08,0.9691627348141975,0.1988618592617395,0.8911323495843675,0.7523809523809524,0.526829043288403,0.6666666666666666
BAL_J__perm_S_within_p08,0.9621169925468408,0.134180020552194,0.8651982929774773,0.7523809523809524,0.5236286511496595,0.6341463414634146
A1_J__perm_C_within_p09,0.9730546773591687,0.22677029766374598,0.9059247057872798,0.7452380952380953,0.5387893793881189,0.6451612903225806
TRI_J__perm_C_within_p09,0.9733193381515219,0.22464568326377127,0.9034370514293789,0.6952380952380952,0.44103160688272364,0.6153846153846153
TRI_J__perm_S_within_p09,0.9543952711700018,0.10159128079113593,0.839363890648892,0.680952380952381,0.47663741663741666,0.5714285714285714
BAL_J__perm_C_within_p09,0.9718463147420239,0.1664139667840904,0.900619415578254,0.7166666666666667,0.4535599284493579,0.6842105263157894
BAL_J__perm_S_within_p09,0.9590692059451288,0.11534637052049078,0.8568069112392893,0.7857142857142856,0.5796725409742327,0.7058823529411764
A1_L,0.9747197434318414,0.3278643287247732,0.9095844473533934,0.8166666666666667,0.6355253484455166,0.6829268292682926
TRI_L,0.9735264710393597,0.2753400875429795,0.9069162520465881,0.7571428571428571,0.5295378680459325,0.6857142857142857
BAL_L,0.9760329172933594,0.28006579648217517,0.9147697442009496,0.7666666666666667,0.5439560752530678,0.6857142857142857
A1_lambda_0.25,0.9738852549618414,0.32352161742155205,0.9085048936206981,0.8071428571428572,0.6183475915618772,0.6829268292682926
A1_lambda_0.50,0.9727281580921378,0.3179358579862706,0.901505389744639,0.7928571428571428,0.5967484548311616,0.6666666666666666
A1_lambda_0.75,0.9712390715104953,0.30977014722784546,0.8977218758629408,0.7952380952380953,0.5988370095512952,0.6666666666666666
TRI_lambda_0.25,0.9721750565263408,0.27126729057389376,0.902359277062425,0.7523809523809524,0.5233478920555363,0.6857142857142857
TRI_lambda_0.50,0.9704109358152269,0.2663183452872946,0.8963574935745476,0.7547619047619047,0.5291850656346454,0.6857142857142857
TRI_lambda_0.75,0.9682701556563351,0.2590621592545902,0.8886318530861116,0.7523809523809524,0.5392125656841852,0.65
BAL_lambda_0.25,0.9748255562397984,0.27464538333254696,0.9079695029880732,0.7523809523809524,0.5272941657340153,0.6842105263157894
BAL_lambda_0.50,0.9731321411483528,0.267891465466256,0.9045948717980139,0.7595238095238095,0.545211332600762,0.6842105263157894
BAL_lambda_0.75,0.9709547514557966,0.2582909659784411,0.8987267297669906,0.7571428571428571,0.5431705162742314,0.6842105263157894
