dataset,seed,shot,contrast,category,point_delta,direction
ksdd2,2,2,BAL_L - A1_L,ksdd2,0.01576295777251635,positive
ksdd2,2,2,BAL_L - A1_L,__macro__,0.01576295777251635,positive
ksdd2,2,4,A1_L - A1_J,ksdd2,0.0032546848470219603,positive
ksdd2,2,4,A1_L - A1_J,__macro__,0.0032546848470219603,positive
ksdd2,2,4,TRI_L - TRI_J,ksdd2,0.004147349985531346,positive
ksdd2,2,4,TRI_L - TRI_J,__macro__,0.004147349985531346,positive
ksdd2,2,4,BAL_L - BAL_J,ksdd2,0.006063886755862002,positive
ksdd2,2,4,BAL_L - BAL_J,__macro__,0.006063886755862002,positive
ksdd2,2,4,DUP_L - DUP_J,ksdd2,0.001028929905989573,positive
ksdd2,2,4,DUP_L - DUP_J,__macro__,0.001028929905989573,positive
ksdd2,2,4,DUP_J - A1_J,ksdd2,-0.012394988253159434,negative
ksdd2,2,4,DUP_J - A1_J,__macro__,-0.012394988253159434,negative
ksdd2,2,4,TRI_J - DUP_J,ksdd2,0.007811348349907821,positive
ksdd2,2,4,TRI_J - DUP_J,__macro__,0.007811348349907821,positive
ksdd2,2,4,TRI_L - DUP_L,ksdd2,0.010929768429449593,positive
ksdd2,2,4,TRI_L - DUP_L,__macro__,0.010929768429449593,positive
ksdd2,2,4,BAL_J - A1_J,ksdd2,0.00445789549084874,positive
ksdd2,2,4,BAL_J - A1_J,__macro__,0.00445789549084874,positive
ksdd2,2,4,BAL_L - A1_L,ksdd2,0.007267097399688782,positive
ksdd2,2,4,BAL_L - A1_L,__macro__,0.007267097399688782,positive
ksdd2,2,8,A1_L - A1_J,ksdd2,0.00789490253289793,positive
ksdd2,2,8,A1_L - A1_J,__macro__,0.00789490253289793,positive
ksdd2,2,8,TRI_L - TRI_J,ksdd2,0.009551964301193872,positive
ksdd2,2,8,TRI_L - TRI_J,__macro__,0.009551964301193872,positive
ksdd2,2,8,BAL_L - BAL_J,ksdd2,0.012620480261405942,positive
ksdd2,2,8,BAL_L - BAL_J,__macro__,0.012620480261405942,positive
ksdd2,2,8,DUP_L - DUP_J,ksdd2,0.0028509734327263336,positive
ksdd2,2,8,DUP_L - DUP_J,__macro__,0.0028509734327263336,positive
ksdd2,2,8,DUP_J - A1_J,ksdd2,-0.010128145888936513,negative
ksdd2,2,8,DUP_J - A1_J,__macro__,-0.010128145888936513,negative
ksdd2,2,8,TRI_J - DUP_J,ksdd2,0.0008555163068962868,positive
ksdd2,2,8,TRI_J - DUP_J,__macro__,0.0008555163068962868,positive
ksdd2,2,8,TRI_L - DUP_L,ksdd2,0.007556507175363825,positive
ksdd2,2,8,TRI_L - DUP_L,__macro__,0.007556507175363825,positive
ksdd2,2,8,BAL_J - A1_J,ksdd2,-0.00048361723629408715,negative
ksdd2,2,8,BAL_J - A1_J,__macro__,-0.00048361723629408715,negative
ksdd2,2,8,BAL_L - A1_L,ksdd2,0.004241960492213925,positive
ksdd2,2,8,BAL_L - A1_L,__macro__,0.004241960492213925,positive
