variant,dataset,seed,shot,category,method,pixel_ap
shuffled,btad,1,4,02,BAL_L,0.5768914847224598
shuffled,btad,1,4,03,A1_J,0.7289897683945297
shuffled,btad,1,4,03,A1_L,0.7411630073064914
shuffled,btad,1,4,03,DUP_J,0.7329457626836182
shuffled,btad,1,4,03,DUP_L,0.739391765893029
shuffled,btad,1,4,03,TRI_J,0.7432328929105523
shuffled,btad,1,4,03,TRI_L,0.7545693840476009
shuffled,btad,1,4,03,BAL_J,0.7341222378556098
shuffled,btad,1,4,03,BAL_L,0.7482800707008039
ot_sinkhorn,btad,0,1,01,A1_J,0.5451355798840178
ot_sinkhorn,btad,0,1,01,A1_L,0.547224370662584
ot_sinkhorn,btad,0,1,01,DUP_J,0.5445513648766938
ot_sinkhorn,btad,0,1,01,DUP_L,0.5458431433654333
ot_sinkhorn,btad,0,1,01,TRI_J,0.5232080175093402
ot_sinkhorn,btad,0,1,01,TRI_L,0.5253700817031914
ot_sinkhorn,btad,0,1,01,BAL_J,0.5215705623500326
ot_sinkhorn,btad,0,1,01,BAL_L,0.5246659817793371
ot_sinkhorn,btad,0,1,02,A1_J,0.570101902641511
ot_sinkhorn,btad,0,1,02,A1_L,0.5730442864794866
ot_sinkhorn,btad,0,1,02,DUP_J,0.5725947903334581
ot_sinkhorn,btad,0,1,02,DUP_L,0.5734520319102426
ot_sinkhorn,btad,0,1,02,TRI_J,0.6261040333660058
ot_sinkhorn,btad,0,1,02,TRI_L,0.6286080158299445
ot_sinkhorn,btad,0,1,02,BAL_J,0.6175810717892463
ot_sinkhorn,btad,0,1,02,BAL_L,0.6230105908481987
ot_sinkhorn,btad,0,1,03,A1_J,0.6499663183462114
ot_sinkhorn,btad,0,1,03,A1_L,0.6586080431308617
ot_sinkhorn,btad,0,1,03,DUP_J,0.6495134724004014
ot_sinkhorn,btad,0,1,03,DUP_L,0.6530491578011772
ot_sinkhorn,btad,0,1,03,TRI_J,0.6859236002318789
ot_sinkhorn,btad,0,1,03,TRI_L,0.6960578325034875
ot_sinkhorn,btad,0,1,03,BAL_J,0.6854145879285278
ot_sinkhorn,btad,0,1,03,BAL_L,0.6975855652366006
ot_sinkhorn,btad,0,4,01,A1_J,0.5650750665684894
ot_sinkhorn,btad,0,4,01,A1_L,0.5630666777997878
ot_sinkhorn,btad,0,4,01,DUP_J,0.5649982135269307
ot_sinkhorn,btad,0,4,01,DUP_L,0.5636293813013825
ot_sinkhorn,btad,0,4,01,TRI_J,0.5390920719510706
ot_sinkhorn,btad,0,4,01,TRI_L,0.5255190334031201
ot_sinkhorn,btad,0,4,01,BAL_J,0.5361343999128061
ot_sinkhorn,btad,0,4,01,BAL_L,0.52258080995504
ot_sinkhorn,btad,0,4,02,A1_J,0.5568023031591145
ot_sinkhorn,btad,0,4,02,A1_L,0.5629851157528353
ot_sinkhorn,btad,0,4,02,DUP_J,0.5605376360810372
ot_sinkhorn,btad,0,4,02,DUP_L,0.5636898244300327
ot_sinkhorn,btad,0,4,02,TRI_J,0.6015379648510417
ot_sinkhorn,btad,0,4,02,TRI_L,0.6071418618874023
ot_sinkhorn,btad,0,4,02,BAL_J,0.5921493031734134
ot_sinkhorn,btad,0,4,02,BAL_L,0.6009855448891358
ot_sinkhorn,btad,0,4,03,A1_J,0.7572963461749086
ot_sinkhorn,btad,0,4,03,A1_L,0.7581637553095455
ot_sinkhorn,btad,0,4,03,DUP_J,0.7536086054984993
ot_sinkhorn,btad,0,4,03,DUP_L,0.7540398110410855
ot_sinkhorn,btad,0,4,03,TRI_J,0.7610292236803141
ot_sinkhorn,btad,0,4,03,TRI_L,0.7645352224913619
ot_sinkhorn,btad,0,4,03,BAL_J,0.7598255760834901
ot_sinkhorn,btad,0,4,03,BAL_L,0.762861987014
ot_sinkhorn,btad,1,1,01,A1_J,0.5737362299501929
ot_sinkhorn,btad,1,1,01,A1_L,0.5706708398003305
ot_sinkhorn,btad,1,1,01,DUP_J,0.5752741878312264
ot_sinkhorn,btad,1,1,01,DUP_L,0.573002120833949
ot_sinkhorn,btad,1,1,01,TRI_J,0.539565746293837
ot_sinkhorn,btad,1,1,01,TRI_L,0.5401041869089465
ot_sinkhorn,btad,1,1,01,BAL_J,0.5327281775346416
ot_sinkhorn,btad,1,1,01,BAL_L,0.5346998093083586
ot_sinkhorn,btad,1,1,02,A1_J,0.533109145187181
ot_sinkhorn,btad,1,1,02,A1_L,0.5359214335969525
ot_sinkhorn,btad,1,1,02,DUP_J,0.5330681603687176
ot_sinkhorn,btad,1,1,02,DUP_L,0.535928795651457
ot_sinkhorn,btad,1,1,02,TRI_J,0.5932105634927772
ot_sinkhorn,btad,1,1,02,TRI_L,0.6029616125417873
ot_sinkhorn,btad,1,1,02,BAL_J,0.5868793198858211
ot_sinkhorn,btad,1,1,02,BAL_L,0.5971683778810158
ot_sinkhorn,btad,1,1,03,A1_J,0.6899644489467158
ot_sinkhorn,btad,1,1,03,A1_L,0.7077978095125576
ot_sinkhorn,btad,1,1,03,DUP_J,0.6937571345432335
ot_sinkhorn,btad,1,1,03,DUP_L,0.7010371053175147
ot_sinkhorn,btad,1,1,03,TRI_J,0.7060507991905605
ot_sinkhorn,btad,1,1,03,TRI_L,0.718904737650497
ot_sinkhorn,btad,1,1,03,BAL_J,0.6975824845136201
ot_sinkhorn,btad,1,1,03,BAL_L,0.7220150770741274
ot_sinkhorn,btad,1,4,01,A1_J,0.5866177676754347
