shot,method,category,pixel_auroc,pixel_ap,image_auroc,image_ap
2,DUP_BAL_J,tubes,0.9881148131730095,0.7307356020930714,0.9660326086956522,0.9857863842897305
2,DUP_EXPECTED_J,bracket_black,0.9502956112022274,0.020066580275830036,0.4753989361702128,0.5824820692923546
2,DUP_EXPECTED_J,bracket_brown,0.8951119726215567,0.035321624039088506,0.5150829562594268,0.7149788611545352
2,DUP_EXPECTED_J,bracket_white,0.9952586409917331,0.10061822938074788,0.7966666666666666,0.7518960630688916
2,DUP_EXPECTED_J,connector,0.9672984911301529,0.2970662732369496,0.780952380952381,0.5393737653444031
2,DUP_EXPECTED_J,metal_plate,0.9668541547732022,0.8383355436001088,1.0,1.0
2,DUP_EXPECTED_J,tubes,0.9869009264951601,0.7201235122801675,0.9651268115942029,0.9852144535158037
2,A1_L,bracket_black,0.9487041295391396,0.014433728233691491,0.45279255319148937,0.5603113531911077
2,A1_L,bracket_brown,0.9123518896184327,0.039099086876613114,0.552790346907994,0.7371496498349855
2,A1_L,bracket_white,0.9956621503861216,0.10841576102443233,0.8077777777777778,0.7861102519232802
2,A1_L,connector,0.9747197434318414,0.3278643287247732,0.8166666666666667,0.6355253484455166
2,A1_L,metal_plate,0.9760269181438977,0.8668162008895544,1.0,1.0
2,A1_L,tubes,0.9898790838224152,0.7387075844359142,0.9592391304347826,0.984160175352663
2,A1_lambda_0.25,bracket_black,0.949118625899367,0.014506266565476374,0.4541223404255319,0.561226848371793
2,A1_lambda_0.25,bracket_brown,0.9109132553324271,0.0378904158440239,0.5542986425339367,0.7438579069972084
2,A1_lambda_0.25,bracket_white,0.9957557339068177,0.10798088570157767,0.8122222222222222,0.789980741392848
2,A1_lambda_0.25,connector,0.9738852549618414,0.32352161742155205,0.8071428571428572,0.6183475915618772
2,A1_lambda_0.25,metal_plate,0.9763820745175955,0.8706980819780176,1.0,1.0
2,A1_lambda_0.25,tubes,0.9895808953433161,0.7378770828952076,0.958786231884058,0.9838087924635657
2,A1_lambda_0.50,bracket_black,0.9494439893724331,0.014574644510689174,0.45478723404255317,0.5610863803803703
2,A1_lambda_0.50,bracket_brown,0.9090028333457849,0.03576972555394281,0.5588235294117647,0.7476646339492842
2,A1_lambda_0.50,bracket_white,0.9958399219881837,0.10877660717953502,0.8177777777777778,0.7958470747724018
2,A1_lambda_0.50,connector,0.9727281580921378,0.3179358579862705,0.7928571428571428,0.5967484548311617
2,A1_lambda_0.50,metal_plate,0.9765554099893524,0.8738808547167708,1.0,1.0
2,A1_lambda_0.50,tubes,0.9891857872657389,0.7363262480905791,0.9624094202898551,0.9847849162898148
2,A1_lambda_0.75,bracket_black,0.9496770369440836,0.014614715619166791,0.4601063829787234,0.562473194884387
2,A1_lambda_0.75,bracket_brown,0.9066630803190525,0.034484175786638094,0.5648567119155354,0.7529326700023792
2,A1_lambda_0.75,bracket_white,0.9958985198597953,0.10516621285055189,0.8188888888888889,0.7988734763558706
2,A1_lambda_0.75,connector,0.9712390715104953,0.30977014722784535,0.7952380952380952,0.5988370095512953
2,A1_lambda_0.75,metal_plate,0.9765814442302407,0.8764251019605712,1.0,1.0
2,A1_lambda_0.75,tubes,0.9886960118299134,0.7340022413649547,0.9660326086956522,0.9858557806506871
2,TRI_L,bracket_black,0.9466914968940232,0.018444164487841246,0.4753989361702128,0.5793580740287998
2,TRI_L,bracket_brown,0.9233213473580139,0.04145489763783314,0.5444947209653092,0.7472038744112678
2,TRI_L,bracket_white,0.9958290430584331,0.14142741366720624,0.8144444444444444,0.8065875634456957
2,TRI_L,connector,0.9735264710393597,0.2753400875429795,0.7571428571428571,0.5295378680459326
2,TRI_L,metal_plate,0.9752440139413782,0.8677784586704169,1.0,1.0
2,TRI_L,tubes,0.9882130220527997,0.7000155292813018,0.96875,0.9871828163996819
2,TRI_lambda_0.25,bracket_black,0.9465803969644875,0.0183502984760945,0.47938829787234044,0.5789980376740255
2,TRI_lambda_0.25,bracket_brown,0.9219425725974101,0.040537125123142004,0.5429864253393665,0.7450782432813513
