ablation,rule,dataset,seed,shot,category,construction,n_images,pixel_ap
baseline,J,mpdd,0,1,tubes,BAL,101,0.698711386267907
ABL_N,L,mpdd,0,1,tubes,A1,101,0.6918118080535933
ABL_N,J,mpdd,0,1,tubes,A1,101,0.6913215227326979
ABL_N,L,mpdd,0,1,tubes,DUP,101,0.6890595988213232
ABL_N,J,mpdd,0,1,tubes,DUP,101,0.6888402995077736
ABL_N,L,mpdd,0,1,tubes,TRI,101,0.6666916236782789
ABL_N,J,mpdd,0,1,tubes,TRI,101,0.6582502298689938
ABL_N,L,mpdd,0,1,tubes,BAL,101,0.6701649374935534
ABL_N,J,mpdd,0,1,tubes,BAL,101,0.661204637948279
ABL_C,L,mpdd,0,1,tubes,A1,101,0.7360580765762201
ABL_C,J,mpdd,0,1,tubes,A1,101,0.7281610081614966
ABL_C,L,mpdd,0,1,tubes,DUP,101,0.7195809100848682
ABL_C,J,mpdd,0,1,tubes,DUP,101,0.7166371181842282
ABL_C,L,mpdd,0,1,tubes,TRI,101,0.7005058321807275
ABL_C,J,mpdd,0,1,tubes,TRI,101,0.6880817538105312
ABL_C,L,mpdd,0,1,tubes,BAL,101,0.7242330805302863
ABL_C,J,mpdd,0,1,tubes,BAL,101,0.6981196248727283
ABL_S,J,mpdd,0,1,tubes,A1,101,0.7067526567689603
ABL_S,J,mpdd,0,1,tubes,DUP,101,0.6938712364942311
ABL_S,J,mpdd,0,1,tubes,TRI,101,0.6675904668013563
ABL_S,J,mpdd,0,1,tubes,BAL,101,0.6787464962639276
baseline,L,btad,0,1,01,A1,70,0.5855471303439539
baseline,J,btad,0,1,01,A1,70,0.5741118106667195
baseline,L,btad,0,1,01,DUP,70,0.5712904047335438
baseline,J,btad,0,1,01,DUP,70,0.5631028021068105
baseline,L,btad,0,1,01,TRI,70,0.5596666027224093
baseline,J,btad,0,1,01,TRI,70,0.5471130706384626
baseline,L,btad,0,1,01,BAL,70,0.5755887151187222
baseline,J,btad,0,1,01,BAL,70,0.5592094509446247
ABL_N,L,btad,0,1,01,A1,70,0.5468725543940746
ABL_N,J,btad,0,1,01,A1,70,0.5435040776744227
ABL_N,L,btad,0,1,01,DUP,70,0.5435781404154014
ABL_N,J,btad,0,1,01,DUP,70,0.5415254455127212
ABL_N,L,btad,0,1,01,TRI,70,0.5201786145171987
ABL_N,J,btad,0,1,01,TRI,70,0.5195453915838475
ABL_N,L,btad,0,1,01,BAL,70,0.5251751303378205
ABL_N,J,btad,0,1,01,BAL,70,0.5225766243004877
ABL_C,L,btad,0,1,01,A1,70,0.5855471303439539
ABL_C,J,btad,0,1,01,A1,70,0.5741118106667195
ABL_C,L,btad,0,1,01,DUP,70,0.5712904047335438
ABL_C,J,btad,0,1,01,DUP,70,0.5631028021068105
ABL_C,L,btad,0,1,01,TRI,70,0.5596666027224093
ABL_C,J,btad,0,1,01,TRI,70,0.5471130706384626
ABL_C,L,btad,0,1,01,BAL,70,0.5807995715948577
ABL_C,J,btad,0,1,01,BAL,70,0.564586690758367
ABL_S,J,btad,0,1,01,A1,70,0.5686000228732335
ABL_S,J,btad,0,1,01,DUP,70,0.5556397332278747
ABL_S,J,btad,0,1,01,TRI,70,0.5383668986962015
ABL_S,J,btad,0,1,01,BAL,70,0.5525203764424582
baseline,L,btad,0,1,02,A1,230,0.6131620684951762
baseline,J,btad,0,1,02,A1,230,0.6079011104183835
baseline,L,btad,0,1,02,DUP,230,0.5990899845872022
baseline,J,btad,0,1,02,DUP,230,0.5943756076197584
baseline,L,btad,0,1,02,TRI,230,0.6516236476698958
baseline,J,btad,0,1,02,TRI,230,0.646336422478762
baseline,L,btad,0,1,02,BAL,230,0.6560674531514252
baseline,J,btad,0,1,02,BAL,230,0.6501745470985292
ABL_N,L,btad,0,1,02,A1,230,0.48580241374613475
ABL_N,J,btad,0,1,02,A1,230,0.4835633595839237
ABL_N,L,btad,0,1,02,DUP,230,0.48169744716754953
ABL_N,J,btad,0,1,02,DUP,230,0.48025696298049364
ABL_N,L,btad,0,1,02,TRI,230,0.5825849141711783
ABL_N,J,btad,0,1,02,TRI,230,0.5754944926929317
ABL_N,L,btad,0,1,02,BAL,230,0.5860322178523243
