method,dataset,seed,shot,category,geometry,region_grid,region_fraction_of_canvas,pixel_ap,pixel_auroc,n_pixels,seconds,source,source_table,note
PatchCore_harmonised448,mpdd,0,1,bracket_brown,resize 448 / imagesize 448,392x392,0.765625,0.04765797564979799,0.9298317508628737,11832128,1.82,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mpdd,0,1,bracket_brown,resize 256 / imagesize 224,392x392,0.765625,0.039337985594547244,0.9221965774060803,11832128,1.39,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mpdd,0,1,bracket_brown,resize 144 / imagesize 128,392x392,0.765625,0.026025717957155373,0.8816308186265309,11832128,1.09,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_brown.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mpdd,0,1,bracket_white,resize 448 / imagesize 448,392x392,0.765625,0.008105021800897087,0.9591648003835394,9219840,1.09,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mpdd,0,1,bracket_white,resize 256 / imagesize 224,392x392,0.765625,0.004599955238501103,0.9483914621405106,9219840,0.87,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mpdd,0,1,bracket_white,resize 144 / imagesize 128,392x392,0.765625,0.0038810371710454542,0.9452972367075914,9219840,0.84,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mpdd,0,1,connector,resize 448 / imagesize 448,392x392,0.765625,0.1020956031483733,0.9410710545880616,6761216,1.03,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions\mvtec_connector.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mpdd,0,1,connector,resize 256 / imagesize 224,392x392,0.765625,0.06876806662979944,0.9430664699039177,6761216,0.88,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_connector.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mpdd,0,1,connector,resize 144 / imagesize 128,392x392,0.765625,0.02851642470916777,0.8692965824373537,6761216,0.92,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_connector.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mpdd,0,1,metal_plate,resize 448 / imagesize 448,392x392,0.765625,0.8509312652201366,0.9752693066611858,14905408,2.91,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions\mvtec_metal_plate.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mpdd,0,1,metal_plate,resize 256 / imagesize 224,392x392,0.765625,0.8455190618084567,0.9666216190351121,14905408,2.27,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_metal_plate.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mpdd,0,1,metal_plate,resize 144 / imagesize 128,392x392,0.765625,0.7653347920946586,0.934941251914776,14905408,2.25,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_metal_plate.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mpdd,0,1,tubes,resize 448 / imagesize 448,392x392,0.765625,0.25075187545271094,0.9691547308837236,15520064,2.58,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mpdd_s0_k1\predictions\mvtec_tubes.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mpdd,0,1,tubes,resize 256 / imagesize 224,392x392,0.765625,0.09675770578428554,0.9350773804653097,15520064,1.72,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_tubes.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mpdd,0,1,tubes,resize 144 / imagesize 128,392x392,0.765625,0.0963037557443018,0.8735300103557702,15520064,1.39,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_tubes.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,bottle,resize 448 / imagesize 448,392x392,0.765625,0.7904765955676363,0.9752028879857935,12754112,1.68,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_bottle.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,bottle,resize 256 / imagesize 224,392x392,0.765625,0.7812945794233781,0.9780729471624658,12754112,1.39,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_bottle.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,bottle,resize 144 / imagesize 128,392x392,0.765625,0.5470300201949738,0.9272745508149345,12754112,1.32,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_bottle.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,cable,resize 448 / imagesize 448,392x392,0.765625,0.22744145115405168,0.9090030794225515,23049600,3.44,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_cable.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,cable,resize 256 / imagesize 224,392x392,0.765625,0.3927618167290506,0.9274262539116074,23049600,2.87,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_cable.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,cable,resize 144 / imagesize 128,392x392,0.765625,0.40863079810429076,0.8795413812236721,23049600,3.09,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_cable.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,capsule,resize 448 / imagesize 448,392x392,0.765625,0.4004848330668324,0.9691345079595564,20283648,3.67,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_capsule.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,capsule,resize 256 / imagesize 224,392x392,0.765625,0.3298397769986884,0.9554007925413363,20283648,2.38,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_capsule.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,capsule,resize 144 / imagesize 128,392x392,0.765625,0.17289001795918643,0.8486424697071493,20283648,2.14,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_capsule.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,carpet,resize 448 / imagesize 448,392x392,0.765625,0.7340769772597984,0.9928780436719225,17978688,3.05,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_carpet.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,carpet,resize 256 / imagesize 224,392x392,0.765625,0.7078222149174713,0.9901620773759359,17978688,1.93,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_carpet.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,carpet,resize 144 / imagesize 128,392x392,0.765625,0.5042274199975841,0.9766248166881731,17978688,1.81,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_carpet.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,grid,resize 448 / imagesize 448,392x392,0.765625,0.011720830973711203,0.6112854454219568,11985792,1.71,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_grid.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,grid,resize 256 / imagesize 224,392x392,0.765625,0.008634023252227712,0.5501726363645687,11985792,1.54,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_grid.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,grid,resize 144 / imagesize 128,392x392,0.765625,0.008856393117296224,0.5556213053169287,11985792,1.33,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_grid.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,hazelnut,resize 448 / imagesize 448,392x392,0.765625,0.5081150475879979,0.9543734198271012,16903040,2.33,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_hazelnut.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,hazelnut,resize 256 / imagesize 224,392x392,0.765625,0.3804594282201197,0.9415428990376349,16903040,1.86,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_hazelnut.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,hazelnut,resize 144 / imagesize 128,392x392,0.765625,0.25661206840324463,0.9194344879427075,16903040,1.77,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_hazelnut.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,leather,resize 448 / imagesize 448,392x392,0.765625,0.6104618749171947,0.9950375120406383,19054336,2.81,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_leather.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,leather,resize 256 / imagesize 224,392x392,0.765625,0.5205879916065838,0.9929590972525043,19054336,2.18,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_leather.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,leather,resize 144 / imagesize 128,392x392,0.765625,0.3563294266247625,0.9857647384483614,19054336,1.93,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_leather.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,metal_nut,resize 448 / imagesize 448,392x392,0.765625,0.7195807752011558,0.9373978016302331,17671360,3.24,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_metal_nut.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,metal_nut,resize 256 / imagesize 224,392x392,0.765625,0.5923398658648402,0.911189667112696,17671360,2.37,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_metal_nut.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,metal_nut,resize 144 / imagesize 128,392x392,0.765625,0.36432792744303194,0.8095949682634358,17671360,2.66,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_metal_nut.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,pill,resize 448 / imagesize 448,392x392,0.765625,0.6385198942290548,0.9470742855513893,25661888,3.8,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_pill.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,pill,resize 256 / imagesize 224,392x392,0.765625,0.6672803081358203,0.9440447710685338,25661888,3.42,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_pill.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,pill,resize 144 / imagesize 128,392x392,0.765625,0.5864883287190013,0.9029535444145045,25661888,2.81,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_pill.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,screw,resize 448 / imagesize 448,392x392,0.765625,0.022175024473410843,0.9297361728759607,24586240,3.06,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_screw.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,screw,resize 256 / imagesize 224,392x392,0.765625,0.01567972317426766,0.9006948655133492,24586240,2.84,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_screw.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,screw,resize 144 / imagesize 128,392x392,0.765625,0.011477242621041342,0.8404884096516796,24586240,2.51,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_screw.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,tile,resize 448 / imagesize 448,392x392,0.765625,0.6636217846488119,0.9751033587409046,17978688,2.73,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_tile.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,tile,resize 256 / imagesize 224,392x392,0.765625,0.5952863775333486,0.9571465619992845,17978688,2.63,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_tile.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,tile,resize 144 / imagesize 128,392x392,0.765625,0.5865271191517372,0.9396564344861652,17978688,2.41,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_tile.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,toothbrush,resize 448 / imagesize 448,392x392,0.765625,0.49151200298462006,0.960719741139972,6453888,0.98,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_toothbrush.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,toothbrush,resize 256 / imagesize 224,392x392,0.765625,0.5002323486772647,0.9534545183586904,6453888,0.96,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_toothbrush.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,toothbrush,resize 144 / imagesize 128,392x392,0.765625,0.42775088145066675,0.9306064945506614,6453888,0.92,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_toothbrush.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,transistor,resize 448 / imagesize 448,392x392,0.765625,0.38055303042353145,0.7358571871495884,15366400,2.91,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_transistor.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
PatchCore_native_official224,mvtec,0,1,transistor,resize 256 / imagesize 224,392x392,0.765625,0.513403655414071,0.8750594546756469,15366400,2.06,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mvtec_official224\mvtec_s0_k1\predictions\mvtec_transistor.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_native_local128,mvtec,0,1,transistor,resize 144 / imagesize 128,392x392,0.765625,0.6248511501048988,0.9310455079538952,15366400,1.58,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mvtec_closeout\mvtec_s0_k1\predictions\mvtec_transistor.npz,"outputs/patchcore (native dump, re-evaluated here)",NATIVE geometry - admitted only by the premise change recorded in A22_STATUS.json
PatchCore_harmonised448,mvtec,0,1,wood,resize 448 / imagesize 448,392x392,0.765625,0.6133391500555646,0.9604054280647578,12139456,1.89,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines_harmonised_20260922\patchcore_raw\harmonised448\mvtec_s0_k1\predictions\mvtec_wood.npz,05_baselines_harmonised_20260922,single-geometry member (short side 448)
