seed,shot,contrast,contrast_group,metric,pixel_stride,n_categories,macro_delta,n_positive_categories,n_negative_categories,categories_positive,categories_negative,exceeds_effect_scale
0,2,TRI_L - TRI_J,matching,pixel_ap,8,6,0.00653732497917802,4,2,bracket_black;bracket_brown;connector;tubes,bracket_white;metal_plate,True
0,2,BAL_L - BAL_J,matching,pixel_ap,1,6,0.011814153023510958,4,2,bracket_brown;bracket_white;connector;tubes,bracket_black;metal_plate,True
0,2,BAL_L - BAL_J,matching,pixel_ap,8,6,0.010294726101584432,4,2,bracket_brown;bracket_white;connector;tubes,bracket_black;metal_plate,True
0,4,A1_L - A1_J,matching,pixel_ap,1,6,0.007604046070778775,5,1,bracket_brown;bracket_white;connector;metal_plate;tubes,bracket_black,True
0,4,A1_L - A1_J,matching,pixel_ap,8,6,0.003941744803366474,5,1,bracket_brown;bracket_white;connector;metal_plate;tubes,bracket_black,False
0,4,DUP_J - A1_J,weight,pixel_ap,1,6,-0.008888154959186134,1,5,bracket_brown,bracket_black;bracket_white;connector;metal_plate;tubes,True
0,4,DUP_J - A1_J,weight,pixel_ap,8,6,-0.008222025765967299,2,4,bracket_brown;bracket_white,bracket_black;connector;metal_plate;tubes,True
0,4,DUP_L - DUP_J,matching,pixel_ap,1,6,0.0046315651119771956,4,2,bracket_brown;bracket_white;connector;tubes,bracket_black;metal_plate,False
0,4,DUP_L - DUP_J,matching,pixel_ap,8,6,0.001761523335188992,4,2,bracket_brown;bracket_white;connector;tubes,bracket_black;metal_plate,False
0,4,TRI_J - DUP_J,representation,pixel_ap,1,6,-0.011548066058094138,2,4,bracket_brown;metal_plate,bracket_black;bracket_white;connector;tubes,True
0,4,TRI_J - DUP_J,representation,pixel_ap,8,6,-0.006962799593851372,4,2,bracket_black;bracket_brown;bracket_white;metal_plate,connector;tubes,True
0,4,TRI_L - DUP_L,representation,pixel_ap,1,6,-0.002599857130626182,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,False
0,4,TRI_L - DUP_L,representation,pixel_ap,8,6,0.0025265581829308826,4,2,bracket_black;bracket_brown;bracket_white;metal_plate,connector;tubes,False
0,4,BAL_J - A1_J,representation,pixel_ap,1,6,-0.013197344902169518,2,4,bracket_brown;metal_plate,bracket_black;bracket_white;connector;tubes,True
0,4,BAL_J - A1_J,representation,pixel_ap,8,6,-0.010200050744054629,4,2,bracket_black;bracket_brown;bracket_white;metal_plate,connector;tubes,True
0,4,BAL_L - A1_L,representation,pixel_ap,1,6,-0.00896909672547823,2,4,bracket_brown;metal_plate,bracket_black;bracket_white;connector;tubes,True
0,4,BAL_L - A1_L,representation,pixel_ap,8,6,-0.0069672344926841314,3,3,bracket_black;bracket_brown;metal_plate,bracket_white;connector;tubes,True
0,4,TRI_L - TRI_J,matching,pixel_ap,1,6,0.013579774039445153,5,1,bracket_brown;bracket_white;connector;metal_plate;tubes,bracket_black,True
0,4,TRI_L - TRI_J,matching,pixel_ap,8,6,0.011250881111971247,5,1,bracket_brown;bracket_white;connector;metal_plate;tubes,bracket_black,True
0,4,BAL_L - BAL_J,matching,pixel_ap,1,6,0.01183229424747006,5,1,bracket_brown;bracket_white;connector;metal_plate;tubes,bracket_black,True
0,4,BAL_L - BAL_J,matching,pixel_ap,8,6,0.007174561054736971,5,1,bracket_brown;bracket_white;connector;metal_plate;tubes,bracket_black,True
1,2,A1_L - A1_J,matching,pixel_ap,1,6,0.006681196019615123,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,2,A1_L - A1_J,matching,pixel_ap,8,6,0.006725696929118345,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,2,DUP_J - A1_J,weight,pixel_ap,1,6,-0.008585435062799695,2,4,bracket_black;bracket_brown,bracket_white;connector;metal_plate;tubes,True
1,2,DUP_J - A1_J,weight,pixel_ap,8,6,-0.00641059171142479,2,4,bracket_black;bracket_brown,bracket_white;connector;metal_plate;tubes,True
1,2,DUP_L - DUP_J,matching,pixel_ap,1,6,0.003996893619950773,5,1,bracket_black;bracket_brown;bracket_white;connector;tubes,metal_plate,False
1,2,DUP_L - DUP_J,matching,pixel_ap,8,6,0.004830921188176071,5,1,bracket_black;bracket_brown;bracket_white;connector;tubes,metal_plate,False
1,2,TRI_J - DUP_J,representation,pixel_ap,1,6,-0.007593456842200045,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,True
1,2,TRI_J - DUP_J,representation,pixel_ap,8,6,-0.0066257483175185304,3,3,bracket_black;bracket_brown;metal_plate,bracket_white;connector;tubes,True
1,2,TRI_L - DUP_L,representation,pixel_ap,1,6,-0.0012035607728588897,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,False
1,2,TRI_L - DUP_L,representation,pixel_ap,8,6,0.00010994133413214438,4,2,bracket_black;bracket_brown;bracket_white;metal_plate,connector;tubes,False
1,2,BAL_J - A1_J,representation,pixel_ap,1,6,-0.009909378425198559,3,3,bracket_black;bracket_brown;metal_plate,bracket_white;connector;tubes,True
1,2,BAL_J - A1_J,representation,pixel_ap,8,6,-0.00901542454246711,3,3,bracket_black;bracket_brown;metal_plate,bracket_white;connector;tubes,True
1,2,BAL_L - A1_L,representation,pixel_ap,1,6,-0.0050206839337610595,3,3,bracket_brown;bracket_white;metal_plate,bracket_black;connector;tubes,True
1,2,BAL_L - A1_L,representation,pixel_ap,8,6,-0.002919010769775611,4,2,bracket_black;bracket_brown;bracket_white;metal_plate,connector;tubes,False
1,2,TRI_L - TRI_J,matching,pixel_ap,1,6,0.010386789689291928,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,2,TRI_L - TRI_J,matching,pixel_ap,8,6,0.011566610839826746,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,2,BAL_L - BAL_J,matching,pixel_ap,1,6,0.011569890511052621,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,2,BAL_L - BAL_J,matching,pixel_ap,8,6,0.012822110701809844,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,4,A1_L - A1_J,matching,pixel_ap,1,6,0.006758636703615344,4,2,bracket_brown;connector;metal_plate;tubes,bracket_black;bracket_white,True
1,4,A1_L - A1_J,matching,pixel_ap,8,6,0.007117115691177805,5,1,bracket_black;bracket_brown;connector;metal_plate;tubes,bracket_white,True
1,4,DUP_J - A1_J,weight,pixel_ap,1,6,-0.015548422372577133,1,5,bracket_brown,bracket_black;bracket_white;connector;metal_plate;tubes,True
1,4,DUP_J - A1_J,weight,pixel_ap,8,6,-0.009702700322293556,2,4,bracket_black;bracket_brown,bracket_white;connector;metal_plate;tubes,True
1,4,DUP_L - DUP_J,matching,pixel_ap,1,6,0.004431926154456973,4,2,bracket_brown;bracket_white;connector;tubes,bracket_black;metal_plate,False
1,4,DUP_L - DUP_J,matching,pixel_ap,8,6,0.003911630129342672,3,3,bracket_brown;connector;tubes,bracket_black;bracket_white;metal_plate,False
1,4,TRI_J - DUP_J,representation,pixel_ap,1,6,-0.003923246026365534,2,4,bracket_white;metal_plate,bracket_black;bracket_brown;connector;tubes,False
1,4,TRI_J - DUP_J,representation,pixel_ap,8,6,-0.00376018671791989,3,3,bracket_black;bracket_white;metal_plate,bracket_brown;connector;tubes,False
1,4,TRI_L - DUP_L,representation,pixel_ap,1,6,0.007928720677964652,5,1,bracket_black;bracket_brown;bracket_white;connector;metal_plate,tubes,True
1,4,TRI_L - DUP_L,representation,pixel_ap,8,6,0.009013730386111201,5,1,bracket_black;bracket_brown;bracket_white;connector;metal_plate,tubes,True
1,4,BAL_J - A1_J,representation,pixel_ap,1,6,-0.012902867945874254,1,5,metal_plate,bracket_black;bracket_brown;bracket_white;connector;tubes,True
1,4,BAL_J - A1_J,representation,pixel_ap,8,6,-0.008127622953724212,2,4,bracket_black;metal_plate,bracket_brown;bracket_white;connector;tubes,True
1,4,BAL_L - A1_L,representation,pixel_ap,1,6,-0.0013148347428943625,3,3,bracket_brown;connector;metal_plate,bracket_black;bracket_white;tubes,False
1,4,BAL_L - A1_L,representation,pixel_ap,8,6,0.0024736799900799467,4,2,bracket_black;bracket_brown;connector;metal_plate,bracket_white;tubes,False
1,4,TRI_L - TRI_J,matching,pixel_ap,1,6,0.01628389285878716,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,4,TRI_L - TRI_J,matching,pixel_ap,8,6,0.016685547233373763,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,4,BAL_L - BAL_J,matching,pixel_ap,1,6,0.018346669906595236,6,0,bracket_black;bracket_brown;bracket_white;connector;metal_plate;tubes,,True
1,4,BAL_L - BAL_J,matching,pixel_ap,8,6,0.017718418634981966,5,1,bracket_brown;bracket_white;connector;metal_plate;tubes,bracket_black,True
