method,frame,dataset,seed,shot,category,region_grid,n_pixels,pixel_ap,pixel_auroc,seconds,source,bootstrap_stride,pixel_ap_on_bootstrap_grid
PatchCore_native_local128,native,mpdd,0,1,bracket_white,128x128,983040,0.003973940097665534,0.9467463623111583,0.07,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,8,0.006668921985495409
PatchCore_native_local128,common_region,mpdd,0,1,bracket_white,392x392,9219840,0.0038810371710454542,0.9452972367075914,0.64,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,8,0.0036677043822306624
PatchCore_native_official224,native,mpdd,0,1,bracket_white,224x224,3010560,0.0047204665174004,0.947620299967196,0.22,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,8,0.003366866280490876
PatchCore_native_official224,common_region,mpdd,0,1,bracket_white,392x392,9219840,0.004599955238501103,0.9483914621405106,0.65,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_bracket_white.npz,8,0.004289871732198952
anomalydino_canvas,native,mpdd,0,1,bracket_white,32x32,61440,0.1347417636033444,0.9897142454038332,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_white.npz,1,0.1347417636033444
anomalydino_canvas,common_region,mpdd,0,1,bracket_white,392x392,9219840,0.1305681885777625,0.9891836046879614,0.66,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_bracket_white.npz,8,0.12422681891728603
anomalydino_canvas_rotation,native,mpdd,0,1,bracket_white,32x32,61440,0.15588380148748868,0.9903396388183456,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_white.npz,1,0.15588380148748868
anomalydino_canvas_rotation,common_region,mpdd,0,1,bracket_white,392x392,9219840,0.1378625492734361,0.9896996736411929,0.67,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_bracket_white.npz,8,0.12681907387405128
controlled_A1_J,native,mpdd,0,1,connector,32x32,45056,0.08846970285623054,0.929571036322066,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\connector\patch_scores.npz,1,0.08846970285623054
controlled_A1_J,common_region,mpdd,0,1,connector,392x392,6761216,0.1147377707578516,0.9327295219283435,0.5,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\connector\patch_scores.npz,8,0.11369045231777408
controlled_A1_L,native,mpdd,0,1,connector,32x32,45056,0.1016706391439225,0.9440063097397466,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\connector\patch_scores.npz,1,0.1016706391439225
controlled_A1_L,common_region,mpdd,0,1,connector,392x392,6761216,0.12013810560551519,0.9427716387130437,0.48,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\connector\patch_scores.npz,8,0.1186416469672191
PatchCore_native_local128,native,mpdd,0,1,connector,128x128,720896,0.028194283976987165,0.871619338892398,0.05,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_connector.npz,8,0.028122363369181533
PatchCore_native_local128,common_region,mpdd,0,1,connector,392x392,6761216,0.02851642470916777,0.8692965824373537,0.46,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_connector.npz,8,0.027828206862280668
PatchCore_native_official224,native,mpdd,0,1,connector,224x224,2207744,0.06864409086702669,0.9430184894401045,0.16,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_connector.npz,8,0.07175178951840491
PatchCore_native_official224,common_region,mpdd,0,1,connector,392x392,6761216,0.06876806662979944,0.9430664699039177,0.47,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_connector.npz,8,0.06857915983285874
anomalydino_canvas,native,mpdd,0,1,connector,32x32,45056,0.08291158566119496,0.9247683722513951,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_connector.npz,1,0.08291158566119496
anomalydino_canvas,common_region,mpdd,0,1,connector,392x392,6761216,0.09716067442608854,0.9294271058666482,0.54,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_connector.npz,8,0.09603628784970689
anomalydino_canvas_rotation,native,mpdd,0,1,connector,32x32,45056,0.08375061659974152,0.924892309549997,0.01,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_connector.npz,1,0.08375061659974152
anomalydino_canvas_rotation,common_region,mpdd,0,1,connector,392x392,6761216,0.09834852649539302,0.9295397652323204,0.49,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_connector.npz,8,0.09746149917937973
controlled_A1_J,native,mpdd,0,1,metal_plate,32x32,99328,0.7855138713326085,0.9540080817493861,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\metal_plate\patch_scores.npz,1,0.7855138713326085
controlled_A1_J,common_region,mpdd,0,1,metal_plate,392x392,14905408,0.8692540471851165,0.9686799030278175,1.41,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\metal_plate\patch_scores.npz,8,0.869345679773772
controlled_A1_L,native,mpdd,0,1,metal_plate,32x32,99328,0.7835931253769233,0.9568432534515418,0.03,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\metal_plate\patch_scores.npz,1,0.7835931253769233
controlled_A1_L,common_region,mpdd,0,1,metal_plate,392x392,14905408,0.8716469946147388,0.9714381437063986,1.4,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\metal_plate\patch_scores.npz,8,0.8721468360805802
PatchCore_native_local128,native,mpdd,0,1,metal_plate,128x128,1589248,0.762748319142959,0.9361722314998377,0.15,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_metal_plate.npz,8,0.7626013365958959
PatchCore_native_local128,common_region,mpdd,0,1,metal_plate,392x392,14905408,0.7653347920946586,0.934941251914776,1.38,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_metal_plate.npz,8,0.7673463584270005
PatchCore_native_official224,native,mpdd,0,1,metal_plate,224x224,4867072,0.8452691810922403,0.9665844396918505,0.46,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_metal_plate.npz,8,0.8486467194281171
PatchCore_native_official224,common_region,mpdd,0,1,metal_plate,392x392,14905408,0.8455190618084567,0.9666216190351121,1.38,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_metal_plate.npz,8,0.8467312674703176
anomalydino_canvas,native,mpdd,0,1,metal_plate,32x32,99328,0.753292315243723,0.9381754781103904,0.03,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_metal_plate.npz,1,0.753292315243723
anomalydino_canvas,common_region,mpdd,0,1,metal_plate,392x392,14905408,0.8583139665402951,0.9620195915280035,1.41,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_metal_plate.npz,8,0.8599388408857628
anomalydino_canvas_rotation,native,mpdd,0,1,metal_plate,32x32,99328,0.7642546609303673,0.9419309711470963,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_metal_plate.npz,1,0.7642546609303674
anomalydino_canvas_rotation,common_region,mpdd,0,1,metal_plate,392x392,14905408,0.8684457988395098,0.965642918565223,1.42,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_metal_plate.npz,8,0.8702963900323918
controlled_A1_J,native,mpdd,0,1,tubes,32x32,103424,0.6270767712713348,0.9678368150448218,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\tubes\patch_scores.npz,1,0.6270767712713348
controlled_A1_J,common_region,mpdd,0,1,tubes,392x392,15520064,0.7037516730541445,0.977767847250171,1.21,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\tubes\patch_scores.npz,8,0.7083979675440366
controlled_A1_L,native,mpdd,0,1,tubes,32x32,103424,0.6373794621675836,0.9728128731771047,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\tubes\patch_scores.npz,1,0.6373794621675836
controlled_A1_L,common_region,mpdd,0,1,tubes,392x392,15520064,0.7133586473137024,0.9807930726393578,1.26,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k1\tubes\patch_scores.npz,8,0.7185811578291407
PatchCore_native_local128,native,mpdd,0,1,tubes,128x128,1654784,0.09585920326252034,0.8768226584989207,0.13,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_tubes.npz,8,0.09503424133439747
PatchCore_native_local128,common_region,mpdd,0,1,tubes,392x392,15520064,0.0963037557443018,0.8735300103557702,1.2,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k1\predictions\mvtec_tubes.npz,8,0.09663117555837696
PatchCore_native_official224,native,mpdd,0,1,tubes,224x224,5067776,0.09677805625749725,0.9351319321344899,0.38,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_tubes.npz,8,0.09869652870038391
PatchCore_native_official224,common_region,mpdd,0,1,tubes,392x392,15520064,0.09675770578428554,0.9350773804653097,1.19,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k1\predictions\mvtec_tubes.npz,8,0.09735743150645888
anomalydino_canvas,native,mpdd,0,1,tubes,32x32,103424,0.4642386114267095,0.9498772893870273,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_tubes.npz,1,0.4642386114267095
anomalydino_canvas,common_region,mpdd,0,1,tubes,392x392,15520064,0.5473298831515165,0.9611866876966124,1.24,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k1_tubes.npz,8,0.5517137022061448
anomalydino_canvas_rotation,native,mpdd,0,1,tubes,32x32,103424,0.4800223219284159,0.9482924497730785,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_tubes.npz,1,0.4800223219284159
anomalydino_canvas_rotation,common_region,mpdd,0,1,tubes,392x392,15520064,0.5542195068534181,0.9600727176464894,1.27,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k1_tubes.npz,8,0.5594428282383563
controlled_A1_J,native,mpdd,0,4,bracket_black,32x32,80896,0.21995530853662734,0.9421189582402374,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_black\patch_scores.npz,1,0.21995530853662734
controlled_A1_J,common_region,mpdd,0,4,bracket_black,392x392,12139456,0.1763169305660474,0.9643237484448964,0.98,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_black\patch_scores.npz,8,0.17413448192064843
controlled_A1_L,native,mpdd,0,4,bracket_black,32x32,80896,0.2316236894789497,0.9519635156345567,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_black\patch_scores.npz,1,0.2316236894789497
controlled_A1_L,common_region,mpdd,0,4,bracket_black,392x392,12139456,0.16970540259712266,0.9698124871052657,0.93,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_black\patch_scores.npz,8,0.1719571967412431
PatchCore_native_local128,native,mpdd,0,4,bracket_black,128x128,1294336,0.0032937838995940254,0.7698542994410584,0.09,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_bracket_black.npz,8,0.0035458157603192276
PatchCore_native_local128,common_region,mpdd,0,4,bracket_black,392x392,12139456,0.003356810153153078,0.7666581132323806,0.86,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_bracket_black.npz,8,0.003125464119101997
PatchCore_native_official224,native,mpdd,0,4,bracket_black,224x224,3963904,0.009841020846909306,0.9123947055119506,0.29,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_black.npz,8,0.007688048121948465
PatchCore_native_official224,common_region,mpdd,0,4,bracket_black,392x392,12139456,0.009802769313141627,0.9118839021810193,0.91,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_bracket_black.npz,8,0.008852665846121745
anomalydino_canvas,native,mpdd,0,4,bracket_black,32x32,80896,0.16267175055936425,0.9247246044078644,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_bracket_black.npz,1,0.16267175055936425
anomalydino_canvas,common_region,mpdd,0,4,bracket_black,392x392,12139456,0.12232999061812981,0.9584991041533297,0.91,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas\mpdd_s0_k4_bracket_black.npz,8,0.1046686012723903
anomalydino_canvas_rotation,native,mpdd,0,4,bracket_black,32x32,80896,0.15860926950768067,0.923804569880726,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_bracket_black.npz,1,0.15860926950768067
anomalydino_canvas_rotation,common_region,mpdd,0,4,bracket_black,392x392,12139456,0.12401270723965188,0.9592353593013396,0.94,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\region_maps\anomalydino_canvas_rotation\mpdd_s0_k4_bracket_black.npz,8,0.10672062550304937
controlled_A1_J,native,mpdd,0,4,bracket_brown,32x32,78848,0.03589732029785169,0.8878911201725872,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_brown\patch_scores.npz,1,0.03589732029785169
controlled_A1_J,common_region,mpdd,0,4,bracket_brown,392x392,11832128,0.03678921757883967,0.8927600021769713,0.88,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_brown\patch_scores.npz,8,0.03629764134777752
controlled_A1_L,native,mpdd,0,4,bracket_brown,32x32,78848,0.04035015536096705,0.8976801300525065,0.02,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_brown\patch_scores.npz,1,0.04035015536096705
controlled_A1_L,common_region,mpdd,0,4,bracket_brown,392x392,11832128,0.04015788731396427,0.8995898884802648,0.91,D:\STUDY\My_github\reference-matching-interaction-ad\experiments\dynamic_fusion\unified_fusion_paper_support_20260913\p1_matrix\units\mpdd_s0_k4\bracket_brown\patch_scores.npz,8,0.03948648513991602
PatchCore_native_local128,native,mpdd,0,4,bracket_brown,128x128,1261568,0.030592181001651383,0.9059597003223081,0.1,D:\STUDY\My_github\reference-matching-interaction-ad\outputs\patchcore\closeout\mpdd_closeout\mpdd_s0_k4\predictions\mvtec_bracket_brown.npz,8,0.029073279098305805
