dataset,category,seed,shot,method,status,pixel_ap,map_size,n_support,support_ids,query_ids_hash,source
mpdd,bracket_white,1,4,PatchCore_native,produced,0.0012289404236951185,128x128,4,099.png;084.png;068.png;010.png,3071362c80536a35,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k4
mpdd,bracket_white,1,4,controlled_A1_J,produced,0.21228498706228138,grid x 14 (448x448 or 448x588),4,099.png;084.png;068.png;010.png,3071362c80536a35,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,bracket_white,1,4,controlled_A1_L,produced,0.21228498706228138,grid x 14 (448x448 or 448x588),4,099.png;084.png;068.png;010.png,3071362c80536a35,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,connector,0,1,AnomalyDINO_native,produced,0.09652703898563224,448x448,1,connector/train/good/048.png,cc256206740a0df2,02_baselines/anomalydino_native_per_category.csv
mpdd,connector,0,1,PatchCore_native,produced,0.02829697144333531,128x128,1,048.png,cc256206740a0df2,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k1
mpdd,connector,0,1,controlled_A1_J,produced,0.12482894359439316,grid x 14 (448x448 or 448x588),1,048.png,cc256206740a0df2,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,connector,0,1,controlled_A1_L,produced,0.12482894359439316,grid x 14 (448x448 or 448x588),1,048.png,cc256206740a0df2,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,connector,0,4,AnomalyDINO_native,produced,0.20312521482622103,448x448,4,connector/train/good/048.png;connector/train/good/043.png;connector/train/good/108.png;connector/train/good/072.png,cc256206740a0df2,02_baselines/anomalydino_native_per_category.csv
mpdd,connector,0,4,PatchCore_native,produced,0.05811159830665316,128x128,4,048.png;043.png;108.png;072.png,cc256206740a0df2,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k4
mpdd,connector,0,4,controlled_A1_J,produced,0.3697968078594055,grid x 14 (448x448 or 448x588),4,048.png;043.png;108.png;072.png,cc256206740a0df2,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,connector,0,4,controlled_A1_L,produced,0.3697968078594055,grid x 14 (448x448 or 448x588),4,048.png;043.png;108.png;072.png,cc256206740a0df2,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,connector,1,1,AnomalyDINO_native,produced,0.21890467189900825,448x448,1,connector/train/good/014.png,cc256206740a0df2,02_baselines/anomalydino_native_per_category.csv
mpdd,connector,1,1,PatchCore_native,produced,0.053673335683108066,128x128,1,014.png,cc256206740a0df2,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k1
mpdd,connector,1,1,controlled_A1_J,produced,0.28384210530793763,grid x 14 (448x448 or 448x588),1,014.png,cc256206740a0df2,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,connector,1,1,controlled_A1_L,produced,0.28384210530793763,grid x 14 (448x448 or 448x588),1,014.png,cc256206740a0df2,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,connector,1,4,AnomalyDINO_native,produced,0.351441107619045,448x448,4,connector/train/good/014.png;connector/train/good/046.png;connector/train/good/071.png;connector/train/good/036.png,cc256206740a0df2,02_baselines/anomalydino_native_per_category.csv
mpdd,connector,1,4,PatchCore_native,produced,0.09672512359029423,128x128,4,014.png;046.png;071.png;036.png,cc256206740a0df2,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k4
mpdd,connector,1,4,controlled_A1_J,produced,0.42976586737505734,grid x 14 (448x448 or 448x588),4,014.png;046.png;071.png;036.png,cc256206740a0df2,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,connector,1,4,controlled_A1_L,produced,0.42976586737505734,grid x 14 (448x448 or 448x588),4,014.png;046.png;071.png;036.png,cc256206740a0df2,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,metal_plate,0,1,AnomalyDINO_native,produced,0.842313451625669,448x448,1,metal_plate/train/good/029.png,fd225b3babfdca52,02_baselines/anomalydino_native_per_category.csv
mpdd,metal_plate,0,1,PatchCore_native,produced,0.7614509302534396,128x128,1,029.png,fd225b3babfdca52,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k1
mpdd,metal_plate,0,1,controlled_A1_J,produced,0.8688198603532439,grid x 14 (448x448 or 448x588),1,029.png,fd225b3babfdca52,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,metal_plate,0,1,controlled_A1_L,produced,0.8688198603532439,grid x 14 (448x448 or 448x588),1,029.png,fd225b3babfdca52,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,metal_plate,0,4,AnomalyDINO_native,produced,0.8746315941524168,448x448,4,metal_plate/train/good/029.png;metal_plate/train/good/012.png;metal_plate/train/good/040.png;metal_plate/train/good/043.png,fd225b3babfdca52,02_baselines/anomalydino_native_per_category.csv
mpdd,metal_plate,0,4,PatchCore_native,produced,0.8527433931698849,128x128,4,029.png;012.png;040.png;043.png,fd225b3babfdca52,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k4
mpdd,metal_plate,0,4,controlled_A1_J,produced,0.8849936888406502,grid x 14 (448x448 or 448x588),4,029.png;012.png;040.png;043.png,fd225b3babfdca52,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,metal_plate,0,4,controlled_A1_L,produced,0.8849936888406502,grid x 14 (448x448 or 448x588),4,029.png;012.png;040.png;043.png,fd225b3babfdca52,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,metal_plate,1,1,AnomalyDINO_native,produced,0.8600834991203875,448x448,1,metal_plate/train/good/002.png,fd225b3babfdca52,02_baselines/anomalydino_native_per_category.csv
mpdd,metal_plate,1,1,PatchCore_native,produced,0.6882033225627121,128x128,1,002.png,fd225b3babfdca52,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k1
mpdd,metal_plate,1,1,controlled_A1_J,produced,0.8772751855764528,grid x 14 (448x448 or 448x588),1,002.png,fd225b3babfdca52,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,metal_plate,1,1,controlled_A1_L,produced,0.8772751855764528,grid x 14 (448x448 or 448x588),1,002.png,fd225b3babfdca52,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,metal_plate,1,4,AnomalyDINO_native,produced,0.8782035998844337,448x448,4,metal_plate/train/good/002.png;metal_plate/train/good/038.png;metal_plate/train/good/011.png;metal_plate/train/good/025.png,fd225b3babfdca52,02_baselines/anomalydino_native_per_category.csv
mpdd,metal_plate,1,4,PatchCore_native,produced,0.8465893015216155,128x128,4,002.png;038.png;011.png;025.png,fd225b3babfdca52,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k4
mpdd,metal_plate,1,4,controlled_A1_J,produced,0.8825918541165314,grid x 14 (448x448 or 448x588),4,002.png;038.png;011.png;025.png,fd225b3babfdca52,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,metal_plate,1,4,controlled_A1_L,produced,0.8825918541165314,grid x 14 (448x448 or 448x588),4,002.png;038.png;011.png;025.png,fd225b3babfdca52,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,tubes,0,1,AnomalyDINO_native,produced,0.5683258402416845,448x448,1,tubes/train/good/069.png,3702fbf7b3a462c7,02_baselines/anomalydino_native_per_category.csv
mpdd,tubes,0,1,PatchCore_native,produced,0.09625605854242691,128x128,1,069.png,3702fbf7b3a462c7,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k1
mpdd,tubes,0,1,controlled_A1_J,produced,0.7250988505301819,grid x 14 (448x448 or 448x588),1,069.png,3702fbf7b3a462c7,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,tubes,0,1,controlled_A1_L,produced,0.7250988505301819,grid x 14 (448x448 or 448x588),1,069.png,3702fbf7b3a462c7,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,tubes,0,4,AnomalyDINO_native,produced,0.6039756160366189,448x448,4,tubes/train/good/069.png;tubes/train/good/105.png;tubes/train/good/023.png;tubes/train/good/044.png,3702fbf7b3a462c7,02_baselines/anomalydino_native_per_category.csv
mpdd,tubes,0,4,PatchCore_native,produced,0.11936304237184663,128x128,4,069.png;105.png;023.png;044.png,3702fbf7b3a462c7,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s0_k4
mpdd,tubes,0,4,controlled_A1_J,produced,0.7522160083040812,grid x 14 (448x448 or 448x588),4,069.png;105.png;023.png;044.png,3702fbf7b3a462c7,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,tubes,0,4,controlled_A1_L,produced,0.7522160083040812,grid x 14 (448x448 or 448x588),4,069.png;105.png;023.png;044.png,3702fbf7b3a462c7,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,tubes,1,1,AnomalyDINO_native,produced,0.5156516695033617,448x448,1,tubes/train/good/121.png,3702fbf7b3a462c7,02_baselines/anomalydino_native_per_category.csv
mpdd,tubes,1,1,PatchCore_native,produced,0.09551116258636504,128x128,1,121.png,3702fbf7b3a462c7,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k1
mpdd,tubes,1,1,controlled_A1_J,produced,0.6818646108046769,grid x 14 (448x448 or 448x588),1,121.png,3702fbf7b3a462c7,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,tubes,1,1,controlled_A1_L,produced,0.6818646108046769,grid x 14 (448x448 or 448x588),1,121.png,3702fbf7b3a462c7,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,tubes,1,4,AnomalyDINO_native,produced,0.5952946822555301,448x448,4,tubes/train/good/121.png;tubes/train/good/050.png;tubes/train/good/020.png;tubes/train/good/110.png,3702fbf7b3a462c7,02_baselines/anomalydino_native_per_category.csv
mpdd,tubes,1,4,PatchCore_native,produced,0.1167434914095409,128x128,4,121.png;050.png;020.png;110.png,3702fbf7b3a462c7,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\mpdd_s1_k4
mpdd,tubes,1,4,controlled_A1_J,produced,0.7609783963496463,grid x 14 (448x448 or 448x588),4,121.png;050.png;020.png;110.png,3702fbf7b3a462c7,R/p4_fullpixel/fullpixel_metrics.csv
mpdd,tubes,1,4,controlled_A1_L,produced,0.7609783963496463,grid x 14 (448x448 or 448x588),4,121.png;050.png;020.png;110.png,3702fbf7b3a462c7,R/p4_fullpixel/fullpixel_metrics.csv
btad,01,0,1,AnomalyDINO_native,produced,0.3941440025884006,448x448,1,01/train/ok/0150.bmp,4db53f88800d078a,02_baselines/anomalydino_native_per_category.csv
btad,01,0,1,PatchCore_native,produced,0.12146060843893897,128x128,1,0150.bmp,4db53f88800d078a,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s0_k1
btad,01,0,1,controlled_A1_J,produced,0.5837045560194851,grid x 14 (448x448 or 448x588),1,0150.bmp,4db53f88800d078a,R/p4_fullpixel/fullpixel_metrics.csv
btad,01,0,1,controlled_A1_L,produced,0.5837045560194851,grid x 14 (448x448 or 448x588),1,0150.bmp,4db53f88800d078a,R/p4_fullpixel/fullpixel_metrics.csv
btad,01,0,4,AnomalyDINO_native,produced,0.36093402061650726,448x448,4,01/train/ok/0150.bmp;01/train/ok/0381.bmp;01/train/ok/0006.bmp;01/train/ok/0004.bmp,4db53f88800d078a,02_baselines/anomalydino_native_per_category.csv
btad,01,0,4,PatchCore_native,produced,0.25841049882564354,128x128,4,0150.bmp;0381.bmp;0006.bmp;0004.bmp,4db53f88800d078a,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s0_k4
btad,01,0,4,controlled_A1_J,produced,0.5972996183177687,grid x 14 (448x448 or 448x588),4,0150.bmp;0381.bmp;0006.bmp;0004.bmp,4db53f88800d078a,R/p4_fullpixel/fullpixel_metrics.csv
btad,01,0,4,controlled_A1_L,produced,0.5972996183177687,grid x 14 (448x448 or 448x588),4,0150.bmp;0381.bmp;0006.bmp;0004.bmp,4db53f88800d078a,R/p4_fullpixel/fullpixel_metrics.csv
btad,01,1,1,AnomalyDINO_native,produced,0.4023440006086484,448x448,1,01/train/ok/0202.bmp,4db53f88800d078a,02_baselines/anomalydino_native_per_category.csv
btad,01,1,1,PatchCore_native,produced,0.17993509191934184,128x128,1,0202.bmp,4db53f88800d078a,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s1_k1
btad,01,1,1,controlled_A1_J,produced,0.6094886142133004,grid x 14 (448x448 or 448x588),1,0202.bmp,4db53f88800d078a,R/p4_fullpixel/fullpixel_metrics.csv
btad,01,1,1,controlled_A1_L,produced,0.6094886142133004,grid x 14 (448x448 or 448x588),1,0202.bmp,4db53f88800d078a,R/p4_fullpixel/fullpixel_metrics.csv
btad,01,1,4,AnomalyDINO_native,produced,0.4304127664343253,448x448,4,01/train/ok/0202.bmp;01/train/ok/0152.bmp;01/train/ok/0264.bmp;01/train/ok/0336.bmp,4db53f88800d078a,02_baselines/anomalydino_native_per_category.csv
btad,01,1,4,PatchCore_native,produced,0.3461183454469957,128x128,4,0202.bmp;0152.bmp;0264.bmp;0336.bmp,4db53f88800d078a,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s1_k4
btad,01,1,4,controlled_A1_J,produced,0.6185994150051131,grid x 14 (448x448 or 448x588),4,0202.bmp;0152.bmp;0264.bmp;0336.bmp,4db53f88800d078a,R/p4_fullpixel/fullpixel_metrics.csv
btad,01,1,4,controlled_A1_L,produced,0.6185994150051131,grid x 14 (448x448 or 448x588),4,0202.bmp;0152.bmp;0264.bmp;0336.bmp,4db53f88800d078a,R/p4_fullpixel/fullpixel_metrics.csv
btad,02,0,1,AnomalyDINO_native,produced,0.6365599367993933,448x448,1,02/train/ok/0151.png,6f2cc35e2f2546df,02_baselines/anomalydino_native_per_category.csv
btad,02,0,1,PatchCore_native,produced,0.4452706760487795,128x128,1,0151.png,6f2cc35e2f2546df,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s0_k1
btad,02,0,1,controlled_A1_J,produced,0.6105978170245386,grid x 14 (448x448 or 448x588),1,0151.png,6f2cc35e2f2546df,R/p4_fullpixel/fullpixel_metrics.csv
btad,02,0,1,controlled_A1_L,produced,0.6105978170245386,grid x 14 (448x448 or 448x588),1,0151.png,6f2cc35e2f2546df,R/p4_fullpixel/fullpixel_metrics.csv
btad,02,0,4,AnomalyDINO_native,produced,0.604346489562165,448x448,4,02/train/ok/0151.png;02/train/ok/0381.png;02/train/ok/0006.png;02/train/ok/0004.png,6f2cc35e2f2546df,02_baselines/anomalydino_native_per_category.csv
btad,02,0,4,PatchCore_native,produced,0.4747831547508393,128x128,4,0151.png;0381.png;0006.png;0004.png,6f2cc35e2f2546df,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s0_k4
btad,02,0,4,controlled_A1_J,produced,0.5979752254957462,grid x 14 (448x448 or 448x588),4,0151.png;0381.png;0006.png;0004.png,6f2cc35e2f2546df,R/p4_fullpixel/fullpixel_metrics.csv
btad,02,0,4,controlled_A1_L,produced,0.5979752254957462,grid x 14 (448x448 or 448x588),4,0151.png;0381.png;0006.png;0004.png,6f2cc35e2f2546df,R/p4_fullpixel/fullpixel_metrics.csv
btad,02,1,1,AnomalyDINO_native,produced,0.6204084817730061,448x448,1,02/train/ok/0121.png,6f2cc35e2f2546df,02_baselines/anomalydino_native_per_category.csv
btad,02,1,1,PatchCore_native,produced,0.4902415521598665,128x128,1,0121.png,6f2cc35e2f2546df,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s1_k1
btad,02,1,1,controlled_A1_J,produced,0.5753899031010057,grid x 14 (448x448 or 448x588),1,0121.png,6f2cc35e2f2546df,R/p4_fullpixel/fullpixel_metrics.csv
btad,02,1,1,controlled_A1_L,produced,0.5753899031010057,grid x 14 (448x448 or 448x588),1,0121.png,6f2cc35e2f2546df,R/p4_fullpixel/fullpixel_metrics.csv
btad,02,1,4,AnomalyDINO_native,produced,0.6176126181992523,448x448,4,02/train/ok/0121.png;02/train/ok/0182.png;02/train/ok/0090.png;02/train/ok/0168.png,6f2cc35e2f2546df,02_baselines/anomalydino_native_per_category.csv
btad,02,1,4,PatchCore_native,produced,0.46717311441132736,128x128,4,0121.png;0182.png;0090.png;0168.png,6f2cc35e2f2546df,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s1_k4
btad,02,1,4,controlled_A1_J,produced,0.5704459751523608,grid x 14 (448x448 or 448x588),4,0121.png;0182.png;0090.png;0168.png,6f2cc35e2f2546df,R/p4_fullpixel/fullpixel_metrics.csv
btad,02,1,4,controlled_A1_L,produced,0.5704459751523608,grid x 14 (448x448 or 448x588),4,0121.png;0182.png;0090.png;0168.png,6f2cc35e2f2546df,R/p4_fullpixel/fullpixel_metrics.csv
btad,03,0,1,AnomalyDINO_native,produced,0.6664126579392601,448x448,1,03/train/ok/0439.bmp,4d13901fc4b9c580,02_baselines/anomalydino_native_per_category.csv
btad,03,0,1,PatchCore_native,produced,0.059478434994254606,128x128,1,0439.bmp,4d13901fc4b9c580,experiments\dynamic_fusion\paper_evidence_closeout_20260914\02_baselines\patchcore\btad_s0_k1
btad,03,0,1,controlled_A1_J,produced,0.6686159641218419,grid x 14 (448x448 or 448x588),1,0439.bmp,4d13901fc4b9c580,R/p4_fullpixel/fullpixel_metrics.csv
btad,03,0,1,controlled_A1_L,produced,0.6686159641218419,grid x 14 (448x448 or 448x588),1,0439.bmp,4d13901fc4b9c580,R/p4_fullpixel/fullpixel_metrics.csv
btad,03,0,4,AnomalyDINO_native,produced,0.7139484379180888,448x448,4,03/train/ok/0439.bmp;03/train/ok/0621.bmp;03/train/ok/0160.bmp;03/train/ok/0549.bmp,4d13901fc4b9c580,02_baselines/anomalydino_native_per_category.csv
