dataset,seed,shot,method,category,pixel_ap,pixel_auroc,image_ap,image_auroc
visa,1,4,BAL_L,pcb4,0.26097863583156017,0.9733858354096664,0.9434819262642222,0.9572277227722772
visa,1,4,BAL_L,pipe_fryum,0.485314065127415,0.9919708593377754,0.9996087378640777,0.9992
visa,1,8,B,candle,0.34831357329999746,0.9879023629281098,0.8704634150533659,0.8638
visa,1,8,B,capsules,0.39981781942982025,0.9792951193009584,0.9773368065979666,0.9591666666666666
visa,1,8,B,cashew,0.5589930722524326,0.9905580380680367,0.9576737952018345,0.9192
visa,1,8,B,chewinggum,0.7655070669068827,0.9940910499425942,0.9917990188001176,0.982
visa,1,8,B,fryum,0.2967944329287347,0.9217338090314608,0.9817492231501967,0.9602
visa,1,8,B,macaroni1,0.15630068809328698,0.9762887466834127,0.9204887824409889,0.8994
visa,1,8,B,macaroni2,0.1515679607853329,0.9818993442172284,0.818113098248163,0.8127
visa,1,8,B,pcb1,0.7339936221854717,0.9916723537575206,0.8329690501901823,0.877
visa,1,8,B,pcb2,0.174702003101688,0.9688046381022795,0.827635517491861,0.89
visa,1,8,B,pcb3,0.22303606454145358,0.9746653991161603,0.8993114149911651,0.8967326732673268
visa,1,8,B,pcb4,0.2491473590493864,0.9486810678736428,0.9473875221124336,0.9546534653465346
visa,1,8,B,pipe_fryum,0.4361803322696874,0.9883475144074833,0.9845158361497544,0.9676
visa,1,8,S,candle,0.32680479219316894,0.9917968719709279,0.8784631353721456,0.8766
visa,1,8,S,capsules,0.33062426390126193,0.9756469523503353,0.9693859933021529,0.9545
visa,1,8,S,cashew,0.6310922539634495,0.9944100049528625,0.9779248412382602,0.9558
visa,1,8,S,chewinggum,0.6904663941592994,0.9941076609827837,0.9923313986157356,0.984
visa,1,8,S,fryum,0.3243972291278817,0.9484153453047488,0.9840717844833688,0.9658
visa,1,8,S,macaroni1,0.11226946873649564,0.9715304212832019,0.8974399648578686,0.8719
visa,1,8,S,macaroni2,0.11238032067816407,0.9869986601892808,0.7322135051450066,0.7457
visa,1,8,S,pcb1,0.7487780800689031,0.9941427976314468,0.8238493359717298,0.8775
visa,1,8,S,pcb2,0.13372079570664167,0.969999243665404,0.7919036386534002,0.8224
visa,1,8,S,pcb3,0.26476806207143894,0.9785023499388046,0.8743174661685502,0.8685148514851485
visa,1,8,S,pcb4,0.22639826479051092,0.967540583750346,0.8655823140108643,0.8985148514851485
visa,1,8,S,pipe_fryum,0.4374160405042645,0.9904769982950893,0.9934404558118364,0.9856
visa,1,8,C,candle,0.1925018326676316,0.984807638832532,0.9202065807990658,0.9121
visa,1,8,C,capsules,0.18953628828572708,0.9431038758398621,0.9058284564772408,0.856
visa,1,8,C,cashew,0.6306472792562011,0.991719341704324,0.9666762509464133,0.9338
visa,1,8,C,chewinggum,0.49676773968390314,0.9918772409297478,0.9901581546529722,0.9778
visa,1,8,C,fryum,0.4085475254623232,0.9752635281056276,0.9660313144453246,0.9174
visa,1,8,C,macaroni1,0.1484380444783248,0.9874230101414702,0.8118879207149763,0.7825
