method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
BAL_J__perm_C_cross_p01,0.9257181153577418,0.03781557398198425,0.814052113206876,0.5980392156862746,0.7398044097878509,0.8264462809917354
BAL_J__perm_S_cross_p01,0.9264274098385464,0.0377398731264545,0.8103964606938289,0.5920060331825038,0.7375803943179109,0.8292682926829268
A1_J__perm_C_within_p02,0.9348331575258862,0.03767960901547381,0.8471006884234458,0.5769230769230769,0.7100049067471732,0.8196721311475409
TRI_J__perm_C_within_p02,0.9391673307228503,0.041769039240886575,0.8530322509039885,0.5497737556561086,0.7064298800767367,0.8196721311475409
TRI_J__perm_S_within_p02,0.9414892423813401,0.05242247256503345,0.8429672986935279,0.5399698340874812,0.7074835742948528,0.796875
BAL_J__perm_C_within_p02,0.9400383528789353,0.04073044082276359,0.8560392945390748,0.5648567119155354,0.7195376386169122,0.8264462809917354
BAL_J__perm_S_within_p02,0.9391130573492918,0.045331147196747204,0.8411319923191068,0.5693815987933635,0.7082233029016579,0.796875
A1_J__perm_C_cross_p02,0.9215586361905592,0.035912623342058,0.8214668191901282,0.5897435897435898,0.7381192590480676,0.8034188034188035
TRI_J__perm_C_cross_p02,0.9301644443753516,0.04261173944489041,0.8347340298788647,0.5671191553544495,0.7194456933760194,0.8166666666666667
TRI_J__perm_S_cross_p02,0.9336458314375211,0.04124126698846509,0.8379872308653957,0.4984917043740573,0.691694593038955,0.8
BAL_J__perm_C_cross_p02,0.9327635321182435,0.03943277971770716,0.8377287429339958,0.5822021116138764,0.7248460317863826,0.8031496062992126
BAL_J__perm_S_cross_p02,0.9332758413449141,0.0386130198626414,0.8321859220171881,0.5460030165912519,0.7198657046847,0.8
A1_J__perm_C_within_p03,0.9222506517313785,0.031183484317849064,0.8333478056423105,0.5822021116138762,0.7381321417061233,0.796875
TRI_J__perm_C_within_p03,0.9299301748941017,0.03597212426280568,0.8316249013142127,0.5776772247360482,0.7275606183890383,0.8360655737704918
TRI_J__perm_S_within_p03,0.9322041161885875,0.037872635159823836,0.8721193886475461,0.5316742081447964,0.6900502277095608,0.7999999999999999
BAL_J__perm_C_within_p03,0.9276437038419657,0.03240087698809126,0.8348237922056607,0.5957767722473605,0.7367561713417473,0.8305084745762712
BAL_J__perm_S_within_p03,0.9308728713820644,0.035325831366951055,0.8621086828306758,0.5980392156862745,0.730415194688403,0.8095238095238095
A1_J__perm_C_cross_p03,0.9081243413798286,0.031810784271287404,0.8005373208180054,0.5678733031674208,0.7041731800568868,0.8160000000000001
TRI_J__perm_C_cross_p03,0.9198183477984734,0.03639991039756559,0.8135478446299829,0.5822021116138764,0.727912209147966,0.8196721311475409
TRI_J__perm_S_cross_p03,0.9225981313479394,0.0361947414106286,0.8259665381426798,0.5460030165912519,0.7016523249281157,0.8160000000000001
BAL_J__perm_C_cross_p03,0.9216727423980089,0.03380728461342748,0.8172846146251391,0.557315233785822,0.7136462076198073,0.8196721311475409
BAL_J__perm_S_cross_p03,0.9223259999590248,0.033740462022737706,0.8219868910171113,0.5663650075414781,0.7152695357590083,0.8130081300813009
A1_J__perm_C_within_p04,0.930635191107078,0.03400683610855503,0.8278699492278803,0.5271493212669683,0.6670573574517781,0.796875
TRI_J__perm_C_within_p04,0.9380784295795076,0.03919162059319442,0.8391473152835524,0.5776772247360482,0.7418390272623531,0.8333333333333334
TRI_J__perm_S_within_p04,0.9424408709926428,0.04380319665775241,0.8680312435518516,0.5211161387631976,0.6609625279316934,0.8225806451612903
BAL_J__perm_C_within_p04,0.9380567922971625,0.03721588970424782,0.8428919544663739,0.5490196078431373,0.7304352147510015,0.8099173553719008
BAL_J__perm_S_within_p04,0.9410532117721108,0.040922593696673344,0.8630203409775344,0.5754147812971343,0.7064149483608766,0.8135593220338982
A1_J__perm_C_cross_p04,0.9141043741242874,0.035046074026395736,0.8108811743068542,0.5761689291101056,0.7344769238209075,0.8034188034188035
TRI_J__perm_C_cross_p04,0.9232972849612849,0.03937299972114515,0.8250138424537419,0.5565610859728507,0.7167584363024714,0.8166666666666667
TRI_J__perm_S_cross_p04,0.9231077885823868,0.039196794106175506,0.8284242720728549,0.5294117647058824,0.7085668971100595,0.8031496062992126
BAL_J__perm_C_cross_p04,0.9271079022729692,0.03737831142149864,0.8324968092631414,0.5633484162895928,0.7186751618432612,0.8067226890756304
BAL_J__perm_S_cross_p04,0.9248473448644701,0.03645750769312355,0.8323736612716285,0.5784313725490196,0.745635278796004,0.8032786885245901
A1_J__perm_C_within_p05,0.9303097510520564,0.03577147990450213,0.8550355752349516,0.55052790346908,0.7031240874602327,0.8166666666666667
TRI_J__perm_C_within_p05,0.9354968857851695,0.039028474086802586,0.8593893003779599,0.5678733031674208,0.7236124768207253,0.8196721311475409
TRI_J__perm_S_within_p05,0.9379123950383517,0.045980143092580854,0.866662045440438,0.4622926093514329,0.6475692849961389,0.796875
BAL_J__perm_C_within_p05,0.9352833994579283,0.03679338026261502,0.8591836321565752,0.5422322775263952,0.7116283212584146,0.796875
BAL_J__perm_S_within_p05,0.9370003728155796,0.04313596603420629,0.8629854362527866,0.49999999999999994,0.6724096015865475,0.796875
