method,dataset,seed,shot,frame,macro_pixel_ap,macro_pixel_auroc,note,source
controlled_B,btad,1,4,grid x 14 (448x448 or 448x588),0.6161585043754717,0.9731951486479136,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_S,mpdd,0,1,grid x 14 (448x448 or 448x588),0.27614138338016286,0.956623131573623,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_S,mpdd,0,4,grid x 14 (448x448 or 448x588),0.31936000912694,0.9693639642649824,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_S,mpdd,1,1,grid x 14 (448x448 or 448x588),0.3005668776877162,0.9569953421911005,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_S,mpdd,1,4,grid x 14 (448x448 or 448x588),0.3400940215192047,0.9678700602531367,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_S,btad,0,1,grid x 14 (448x448 or 448x588),0.5642583691097299,0.9653025554006242,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_S,btad,0,4,grid x 14 (448x448 or 448x588),0.5590938009260481,0.9608840520942263,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_S,btad,1,1,grid x 14 (448x448 or 448x588),0.5587904271032887,0.9656821476354575,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_S,btad,1,4,grid x 14 (448x448 or 448x588),0.5832515467587291,0.9688956439577794,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_C,mpdd,0,1,grid x 14 (448x448 or 448x588),0.2625060749191644,0.9557771412447345,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_C,mpdd,0,4,grid x 14 (448x448 or 448x588),0.2852315891732151,0.9695351491860125,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_C,mpdd,1,1,grid x 14 (448x448 or 448x588),0.2627237514083491,0.958780026550707,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_C,mpdd,1,4,grid x 14 (448x448 or 448x588),0.28324279751920783,0.9696102092843674,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_C,btad,0,1,grid x 14 (448x448 or 448x588),0.3749199501105338,0.9517661471391897,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_C,btad,0,4,grid x 14 (448x448 or 448x588),0.44237264298635276,0.9605908373247409,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_C,btad,1,1,grid x 14 (448x448 or 448x588),0.3806471034649285,0.9465162843675431,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
controlled_C,btad,1,4,grid x 14 (448x448 or 448x588),0.40065898318381926,0.9568823340256553,as executed in the closeout run,CLOSE/02_baselines/baseline_macro.csv
PatchCore_native_official224,mpdd,0,1,224x224,0.17599630430404498,0.9263352916634086,official CLI/README configuration,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_official224\mpdd_s0_k1\per_category.csv
PatchCore_native_official224,mpdd,0,4,224x224,0.2590894020160956,0.9564246929232731,official CLI/README configuration,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_official224\mpdd_s0_k4\per_category.csv
PatchCore_native_official224,mpdd,1,1,224x224,0.17318633404041192,0.9377418409407784,official CLI/README configuration,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_official224\mpdd_s1_k1\per_category.csv
PatchCore_native_official224,mpdd,1,4,224x224,0.29895586886049447,0.9578358312160918,official CLI/README configuration,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_official224\mpdd_s1_k4\per_category.csv
PatchCore_native_official224,btad,0,1,224x224,0.33543036582623964,0.9478833884040414,official CLI/README configuration,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_official224\btad_s0_k1\per_category.csv
PatchCore_native_official224,btad,0,4,224x224,0.40728424101458227,0.9586972822187604,official CLI/README configuration,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_official224\btad_s0_k4\per_category.csv
PatchCore_native_official224,btad,1,1,224x224,0.3347119409840506,0.9396146534129622,official CLI/README configuration,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_official224\btad_s1_k1\per_category.csv
PatchCore_native_official224,btad,1,4,224x224,0.4248317653173595,0.9600796759919031,official CLI/README configuration,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\patchcore_official224\btad_s1_k4\per_category.csv
AnomalyDINO_native_rotation_AnomalyDINO_native_dinov2_vits14,btad,0,1,448x448,0.5919304588595389,0.9676498090040165,"official agnostic_no_mask fallback (rotation on, 8x references)",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv
AnomalyDINO_native_rotation_AnomalyDINO_native_dinov2_vits14,btad,0,4,448x448,0.5843465107574746,0.9637485825692224,"official agnostic_no_mask fallback (rotation on, 8x references)",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv
AnomalyDINO_native_rotation_AnomalyDINO_native_dinov2_vits14,btad,1,1,448x448,0.5742832149024588,0.9677212082990838,"official agnostic_no_mask fallback (rotation on, 8x references)",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv
AnomalyDINO_native_rotation_AnomalyDINO_native_dinov2_vits14,btad,1,4,448x448,0.5930550978725192,0.9698192233538144,"official agnostic_no_mask fallback (rotation on, 8x references)",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv
AnomalyDINO_native_rotation_AnomalyDINO_native_dinov2_vits14,mpdd,0,1,448x448,0.2877904596242016,0.9575830759572886,"official agnostic_no_mask fallback (rotation on, 8x references)",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv
AnomalyDINO_native_rotation_AnomalyDINO_native_dinov2_vits14,mpdd,0,4,448x448,0.3227360478153552,0.9698877013846229,"official agnostic_no_mask fallback (rotation on, 8x references)",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv
AnomalyDINO_native_rotation_AnomalyDINO_native_dinov2_vits14,mpdd,1,1,448x448,0.3112224519108261,0.9581972636785304,"official agnostic_no_mask fallback (rotation on, 8x references)",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv
AnomalyDINO_native_rotation_AnomalyDINO_native_dinov2_vits14,mpdd,1,4,448x448,0.3576469535457234,0.9681893782248396,"official agnostic_no_mask fallback (rotation on, 8x references)",D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv
