method,dataset,seed,shot,memory_bank_s,scoring_s,evaluation_s,wall_clock_s,peak_gpu_mb,peak_ram_mb,stages_separated,source,note
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,0.10433333333333335,0.08816666666666667,,,111.76025390625,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_macro_canvas.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,0.282,0.10225000000000002,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_macro_canvas.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,0.07733333333333334,0.08641666666666668,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_macro_canvas.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,0.31433333333333335,0.10185000000000001,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas\anomalydino_native_macro_canvas.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,0,1,0.4086666666666667,0.11013333333333335,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,0,4,1.4526666666666666,0.22736666666666663,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,1,1,0.38366666666666666,0.107,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,1,4,1.4726666666666668,0.22316666666666665,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,0.412,0.11843333333333335,,,111.76025390625,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,1.4705000000000001,0.22113333333333332,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,0.3778333333333333,0.11885,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,1.43,0.21619999999999998,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mvtec,0,1,0.38693333333333335,0.09367333333333333,,,111.76025390625,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_mvtec_visa_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mvtec,0,4,1.28,0.20240000000000005,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_mvtec_visa_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mvtec,1,1,0.34679999999999994,0.08953999999999998,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_mvtec_visa_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mvtec,1,4,1.2709333333333332,0.20167333333333334,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_mvtec_visa_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,visa,0,1,0.43791666666666673,0.14643333333333333,,,125.00732421875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_mvtec_visa_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,visa,1,1,0.4364166666666667,0.13873333333333332,,,125.00732421875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_mvtec_visa_canvas_rotation\anomalydino_native_macro_canvas_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,0,1,0.4423333333333333,0.1107,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,0,4,1.4563333333333335,0.22863333333333333,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,1,1,0.3673333333333333,0.09573333333333334,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,btad,1,4,1.3613333333333333,0.20863333333333334,,,118.80029296875,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,0,1,0.45683333333333337,0.0987,,,111.76025390625,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,0,4,1.3941666666666668,0.20473333333333332,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,1,1,0.3913333333333333,0.09615,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
AnomalyDINO_native_dinov2_vits14,mpdd,1,4,1.4456666666666667,0.21159999999999998,,,112.51611328125,,bank and per-image scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\anomalydino_rotation\anomalydino_native_macro_official_rotation.csv,"wall clock not recorded; GPU timing is not explicitly synchronised, so the per-image figure stays a throughput estimate"
controlled_plus_D_branch,mpdd+btad,,,,,,,417.7,,encoding (D) and scoring separated,D:\STUDY\My_github\sci_project\experiments\dynamic_fusion\representation_matching_interaction_20260914\05_baselines\..\04_new_encoder\resource_usage.json,D encoding total None s for query features; scoring total None s over the S3 scope
