method,dataset,seed,shot,category,frame,pixel_ap,pixel_auroc,pixel_ap_stride8,native_map_size,resampled_to_canvas,evaluation_revision,note,source,sample_id_order_identical
PatchCore_native_local128,mpdd,1,4,bracket_black,canvas grid*14 (448x448),0.0033763434128820306,0.8360961258068111,0.0034706009298996893,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k4\predictions\mvtec_bracket_black.npz,True
PatchCore_native_local128,mpdd,1,4,bracket_brown,canvas grid*14 (448x448),0.031877928132609215,0.9249125713045361,0.03182842139029184,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k4\predictions\mvtec_bracket_brown.npz,True
PatchCore_native_local128,mpdd,1,4,bracket_white,canvas grid*14 (448x448),0.0008921910538359802,0.838545087564007,0.0008434306412091896,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k4\predictions\mvtec_bracket_white.npz,True
PatchCore_native_local128,mpdd,1,4,connector,canvas grid*14 (448x448),0.07488869562646676,0.9508065470934092,0.07406757582424155,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k4\predictions\mvtec_connector.npz,True
PatchCore_native_local128,mpdd,1,4,metal_plate,canvas grid*14 (448x448),0.762932343109845,0.95421269330671,0.7617050243179535,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k4\predictions\mvtec_metal_plate.npz,True
PatchCore_native_local128,mpdd,1,4,tubes,canvas grid*14 (448x448),0.1041462412291567,0.9072516449620207,0.10612063321012402,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\mpdd_closeout\mpdd_s1_k4\predictions\mvtec_tubes.npz,True
PatchCore_native_local128,btad,0,1,01,canvas grid*14 (448x448),0.11302643186439205,0.7739542158019256,0.11035949524698441,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_01.npz,False
PatchCore_native_local128,btad,0,1,02,canvas grid*14 (448x448),0.43691979576900386,0.9410047164651248,0.4365444319975813,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_02.npz,False
PatchCore_native_local128,btad,0,1,03,canvas grid*14 (448x588),0.038634935137333175,0.8990962311075466,0.03861070452292065,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k1\predictions\mvtec_03.npz,False
PatchCore_native_local128,btad,0,4,01,canvas grid*14 (448x448),0.284874242644849,0.892266104285173,0.28124514379610743,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k4\predictions\mvtec_01.npz,False
PatchCore_native_local128,btad,0,4,02,canvas grid*14 (448x448),0.4623960191712206,0.9451221860405129,0.4619170738330479,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k4\predictions\mvtec_02.npz,False
PatchCore_native_local128,btad,0,4,03,canvas grid*14 (448x588),0.15700182231486995,0.9714341030516064,0.1575743796191284,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s0_k4\predictions\mvtec_03.npz,False
PatchCore_native_local128,btad,1,1,01,canvas grid*14 (448x448),0.15297773293743236,0.7836209950727301,0.15173492942491312,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k1\predictions\mvtec_01.npz,False
PatchCore_native_local128,btad,1,1,02,canvas grid*14 (448x448),0.48175005176648006,0.9453900568952233,0.4818040267481246,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k1\predictions\mvtec_02.npz,False
PatchCore_native_local128,btad,1,1,03,canvas grid*14 (448x588),0.06273579535231548,0.9016873658654821,0.06299198226180266,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k1\predictions\mvtec_03.npz,False
PatchCore_native_local128,btad,1,4,01,canvas grid*14 (448x448),0.3436667523348687,0.9181569790117091,0.3405908303127572,128x128,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout\btad_closeout\btad_s1_k4\predictions\mvtec_01.npz,False
