shot,kind,branch,base,category,seed,method,macro_pixel_ap,delta_vs_base
2,cross,S,BAL_J,connector,0,BAL_J__perm_S_cross_p00,0.16313653801798925,-0.08170559937383151
2,within,C,A1_J,connector,1,A1_J__perm_C_within_p01,0.2978844180324562,-0.0012265512661464029
2,within,C,TRI_J,connector,1,TRI_J__perm_C_within_p01,0.24592489718841126,-0.0019492149354163324
2,within,S,TRI_J,connector,1,TRI_J__perm_S_within_p01,0.12090340181223513,-0.12697071031159246
2,within,C,BAL_J,connector,1,BAL_J__perm_C_within_p01,0.21072254491643425,-0.03411959247538651
2,within,S,BAL_J,connector,1,BAL_J__perm_S_within_p01,0.13323893765515776,-0.111603199736663
2,within,C,A1_J,connector,2,A1_J__perm_C_within_p02,0.19237377197915312,-0.10673719731944947
2,within,C,TRI_J,connector,2,TRI_J__perm_C_within_p02,0.20533321441738503,-0.042540897706442565
2,within,S,TRI_J,connector,2,TRI_J__perm_S_within_p02,0.07943964193178743,-0.16843447019204016
2,within,C,BAL_J,connector,2,BAL_J__perm_C_within_p02,0.12698009784435624,-0.11786203954746452
2,within,S,BAL_J,connector,2,BAL_J__perm_S_within_p02,0.09586079421483094,-0.1489813431769898
2,within,C,A1_J,connector,3,A1_J__perm_C_within_p03,0.24419445380798513,-0.05491651549061746
2,within,C,TRI_J,connector,3,TRI_J__perm_C_within_p03,0.226262047132613,-0.021612064991214597
2,within,S,TRI_J,connector,3,TRI_J__perm_S_within_p03,0.0908432816514003,-0.15703083047242727
2,within,C,BAL_J,connector,3,BAL_J__perm_C_within_p03,0.1608028515901872,-0.08403928580163356
2,within,S,BAL_J,connector,3,BAL_J__perm_S_within_p03,0.10248687164008595,-0.1423552657517348
2,within,C,A1_J,connector,4,A1_J__perm_C_within_p04,0.22162721163487,-0.07748375766373258
2,within,C,TRI_J,connector,4,TRI_J__perm_C_within_p04,0.2181198257840135,-0.029754286339814084
2,within,S,TRI_J,connector,4,TRI_J__perm_S_within_p04,0.08136895857101384,-0.16650515355281376
2,within,C,BAL_J,connector,4,BAL_J__perm_C_within_p04,0.1535892074059311,-0.09125292998588966
2,within,S,BAL_J,connector,4,BAL_J__perm_S_within_p04,0.08753978372771176,-0.157302353664109
2,within,C,A1_J,connector,5,A1_J__perm_C_within_p05,0.26942838215311177,-0.029682587145490824
2,within,C,TRI_J,connector,5,TRI_J__perm_C_within_p05,0.25903627924638795,0.011162167122560351
2,within,S,TRI_J,connector,5,TRI_J__perm_S_within_p05,0.11520158805141559,-0.132672524072412
2,within,C,BAL_J,connector,5,BAL_J__perm_C_within_p05,0.19695449060959275,-0.04788764678222801
2,within,S,BAL_J,connector,5,BAL_J__perm_S_within_p05,0.13250314133236707,-0.11233899605945369
2,within,C,A1_J,connector,6,A1_J__perm_C_within_p06,0.2893294481846987,-0.009781521113903902
2,within,C,TRI_J,connector,6,TRI_J__perm_C_within_p06,0.24603065069027913,-0.0018434614335484656
2,within,S,TRI_J,connector,6,TRI_J__perm_S_within_p06,0.1216673669467115,-0.1262067451771161
2,within,C,BAL_J,connector,6,BAL_J__perm_C_within_p06,0.20247428909613696,-0.042367848295683797
2,within,S,BAL_J,connector,6,BAL_J__perm_S_within_p06,0.12923215694644402,-0.11560998044537674
2,within,C,A1_J,connector,7,A1_J__perm_C_within_p07,0.32432382669913734,0.02521285740053475
2,within,C,TRI_J,connector,7,TRI_J__perm_C_within_p07,0.25563362520191957,0.007759513078091973
2,within,S,TRI_J,connector,7,TRI_J__perm_S_within_p07,0.17064975627383572,-0.07722435584999188
2,within,C,BAL_J,connector,7,BAL_J__perm_C_within_p07,0.21213551930666552,-0.03270661808515524
2,within,S,BAL_J,connector,7,BAL_J__perm_S_within_p07,0.1723878370600109,-0.07245430033180986
2,within,C,A1_J,connector,8,A1_J__perm_C_within_p08,0.2729234881971438,-0.026187481101458798
2,within,C,TRI_J,connector,8,TRI_J__perm_C_within_p08,0.23621565454507706,-0.01165845757875053
2,within,S,TRI_J,connector,8,TRI_J__perm_S_within_p08,0.12178790426319917,-0.1260862078606284
2,within,C,BAL_J,connector,8,BAL_J__perm_C_within_p08,0.19886185926173944,-0.04598027813008132
2,within,S,BAL_J,connector,8,BAL_J__perm_S_within_p08,0.134180020552194,-0.11066211683962676
2,within,C,A1_J,connector,9,A1_J__perm_C_within_p09,0.22677029766374596,-0.07234067163485663
2,within,C,TRI_J,connector,9,TRI_J__perm_C_within_p09,0.22464568326377124,-0.023228428860056355
2,within,S,TRI_J,connector,9,TRI_J__perm_S_within_p09,0.10159128079113591,-0.14628283133269168
2,within,C,BAL_J,connector,9,BAL_J__perm_C_within_p09,0.16641396678409043,-0.07842817060773033
2,within,S,BAL_J,connector,9,BAL_J__perm_S_within_p09,0.11534637052049077,-0.12949576687133
2,within,C,A1_J,metal_plate,0,A1_J__perm_C_within_p00,0.8787422585958542,0.0003516921538676554
2,within,C,TRI_J,metal_plate,0,TRI_J__perm_C_within_p00,0.8756933524541657,0.003845449132827916
2,within,S,TRI_J,metal_plate,0,TRI_J__perm_S_within_p00,0.8626409353252844,-0.009206967996053361
2,within,C,BAL_J,metal_plate,0,BAL_J__perm_C_within_p00,0.9006660481983979,-0.0012170430687705736
2,within,S,BAL_J,metal_plate,0,BAL_J__perm_S_within_p00,0.896479170887654,-0.005403920379514426
2,cross,C,A1_J,metal_plate,0,A1_J__perm_C_cross_p00,0.8576714671223444,-0.02071909931964211
2,cross,C,TRI_J,metal_plate,0,TRI_J__perm_C_cross_p00,0.8625433673363965,-0.009304535984941298
2,cross,S,TRI_J,metal_plate,0,TRI_J__perm_S_cross_p00,0.842659955139793,-0.0291879481815448
2,cross,C,BAL_J,metal_plate,0,BAL_J__perm_C_cross_p00,0.8844275294072059,-0.017455561859962554
2,cross,S,BAL_J,metal_plate,0,BAL_J__perm_S_cross_p00,0.8769819453630034,-0.024901145904165034
2,within,C,A1_J,metal_plate,1,A1_J__perm_C_within_p01,0.8837783122762342,0.005387745834247615
2,within,C,TRI_J,metal_plate,1,TRI_J__perm_C_within_p01,0.8784651587038191,0.0066172553824813685
2,within,S,TRI_J,metal_plate,1,TRI_J__perm_S_within_p01,0.8678804020085635,-0.003967501312774235
2,within,C,BAL_J,metal_plate,1,BAL_J__perm_C_within_p01,0.9058139347178416,0.003930843450673072
2,within,S,BAL_J,metal_plate,1,BAL_J__perm_S_within_p01,0.9027755806252857,0.0008924893581172544
2,within,C,A1_J,metal_plate,2,A1_J__perm_C_within_p02,0.8833378728448688,0.004947306402882212
2,within,C,TRI_J,metal_plate,2,TRI_J__perm_C_within_p02,0.880058339076912,0.00821043575557423
2,within,S,TRI_J,metal_plate,2,TRI_J__perm_S_within_p02,0.8707969537510631,-0.0010509495702746285
2,within,C,BAL_J,metal_plate,2,BAL_J__perm_C_within_p02,0.9061995101364201,0.004316418869251604
2,within,S,BAL_J,metal_plate,2,BAL_J__perm_S_within_p02,0.900723172908516,-0.0011599183586524786
2,within,C,A1_J,metal_plate,3,A1_J__perm_C_within_p03,0.8780261505550939,-0.0003644158868926217
2,within,C,TRI_J,metal_plate,3,TRI_J__perm_C_within_p03,0.8756478816981762,0.003799978376838431
2,within,S,TRI_J,metal_plate,3,TRI_J__perm_S_within_p03,0.8709787692023823,-0.0008691341189555057
2,within,C,BAL_J,metal_plate,3,BAL_J__perm_C_within_p03,0.9009471507035202,-0.0009359405636483187
2,within,S,BAL_J,metal_plate,3,BAL_J__perm_S_within_p03,0.903976847358004,0.002093756090835508
2,within,C,A1_J,metal_plate,4,A1_J__perm_C_within_p04,0.8754859253100995,-0.0029046411318870424
2,within,C,TRI_J,metal_plate,4,TRI_J__perm_C_within_p04,0.8757499101401415,0.003902006818803705
2,within,S,TRI_J,metal_plate,4,TRI_J__perm_S_within_p04,0.8655536785673561,-0.00629422475398167
