shot,category,method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,any_tie,both_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
2,bracket_black,TRI,image,61,bracket_black/test/scratches/017.png,448,424,425,4,5,420,19,0,0,0,0,0.9464285714285714,0.9486607142857143,0.008928571428571428,0.011160714285714286
2,bracket_black,TRI,image,62,bracket_black/test/scratches/018.png,512,474,467,12,5,462,33,0,0,0,0,0.92578125,0.912109375,0.0234375,0.009765625
2,bracket_black,TRI,image,63,bracket_black/test/scratches/019.png,320,319,318,1,0,318,1,0,0,0,0,0.996875,0.99375,0.003125,0.0
2,bracket_black,TRI,image,64,bracket_black/test/scratches/020.png,320,316,319,0,3,316,1,0,0,0,0,0.9875,0.996875,0.0,0.009375
2,bracket_black,TRI,image,65,bracket_black/test/scratches/021.png,448,401,424,5,28,396,19,0,0,0,0,0.8950892857142857,0.9464285714285714,0.011160714285714286,0.0625
2,bracket_black,TRI,image,66,bracket_black/test/scratches/022.png,384,324,342,8,26,316,34,0,0,0,0,0.84375,0.890625,0.020833333333333332,0.06770833333333333
2,bracket_black,TRI,image,67,bracket_black/test/scratches/023.png,320,270,259,12,1,258,49,0,0,0,0,0.84375,0.809375,0.0375,0.003125
2,bracket_black,TRI,image,68,bracket_black/test/scratches/024.png,384,338,324,16,2,322,44,0,0,0,0,0.8802083333333334,0.84375,0.041666666666666664,0.005208333333333333
2,bracket_black,TRI,image,69,bracket_black/test/scratches/025.png,384,355,343,13,1,342,28,0,0,0,0,0.9244791666666666,0.8932291666666666,0.033854166666666664,0.0026041666666666665
2,bracket_black,TRI,image,70,bracket_black/test/scratches/026.png,320,301,298,4,1,297,18,0,0,0,0,0.940625,0.93125,0.0125,0.003125
2,bracket_black,TRI,image,71,bracket_black/test/scratches/027.png,320,299,296,3,0,296,21,0,0,0,0,0.934375,0.925,0.009375,0.0
2,bracket_black,TRI,image,72,bracket_black/test/scratches/028.png,320,292,295,1,4,291,24,0,0,0,0,0.9125,0.921875,0.003125,0.0125
2,bracket_black,TRI,image,73,bracket_black/test/scratches/029.png,384,328,328,3,3,325,53,0,0,0,0,0.8541666666666666,0.8541666666666666,0.0078125,0.0078125
2,bracket_black,TRI,image,74,bracket_black/test/scratches/030.png,384,334,337,3,6,331,44,0,0,0,0,0.8697916666666666,0.8776041666666666,0.0078125,0.015625
2,bracket_black,TRI,image,75,bracket_black/test/scratches/031.png,384,322,321,4,3,318,59,0,0,0,0,0.8385416666666666,0.8359375,0.010416666666666666,0.0078125
2,bracket_black,TRI,image,76,bracket_black/test/scratches/032.png,320,311,310,1,0,310,9,0,0,0,0,0.971875,0.96875,0.003125,0.0
2,bracket_black,TRI,image,77,bracket_black/test/scratches/033.png,384,354,355,3,4,351,26,0,0,0,0,0.921875,0.9244791666666666,0.0078125,0.010416666666666666
2,bracket_black,TRI,image,78,bracket_black/test/scratches/034.png,448,398,401,4,7,394,43,0,0,0,0,0.8883928571428571,0.8950892857142857,0.008928571428571428,0.015625
2,bracket_black,TRI,aggregate,-1,__ALL__,19200,18109,18054,185,130,17924,961,0,0,0,0,0.9431770833333334,0.9403125,0.009635416666666667,0.0067708333333333336
2,bracket_black,BAL,image,0,bracket_black/test/good/000.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,1,bracket_black/test/good/001.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,2,bracket_black/test/good/002.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,3,bracket_black/test/good/003.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,4,bracket_black/test/good/004.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,5,bracket_black/test/good/005.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,6,bracket_black/test/good/006.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,7,bracket_black/test/good/007.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,8,bracket_black/test/good/008.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,9,bracket_black/test/good/009.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,10,bracket_black/test/good/010.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,11,bracket_black/test/good/011.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,12,bracket_black/test/good/012.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,13,bracket_black/test/good/013.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,14,bracket_black/test/good/014.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,15,bracket_black/test/good/015.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,16,bracket_black/test/good/016.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,17,bracket_black/test/good/017.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,18,bracket_black/test/good/018.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,19,bracket_black/test/good/019.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,20,bracket_black/test/good/020.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,21,bracket_black/test/good/021.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,22,bracket_black/test/good/022.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,23,bracket_black/test/good/023.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,24,bracket_black/test/good/024.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,25,bracket_black/test/good/025.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,26,bracket_black/test/good/026.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,27,bracket_black/test/good/027.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,28,bracket_black/test/good/028.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,29,bracket_black/test/good/029.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,30,bracket_black/test/good/030.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,31,bracket_black/test/good/031.png,0,0,0,0,0,0,0,0,0,0,0,,,,
2,bracket_black,BAL,image,32,bracket_black/test/hole/000.png,448,443,440,3,0,440,5,0,0,0,0,0.9888392857142857,0.9821428571428571,0.006696428571428571,0.0
2,bracket_black,BAL,image,33,bracket_black/test/hole/001.png,384,372,372,1,1,371,11,0,0,0,0,0.96875,0.96875,0.0026041666666666665,0.0026041666666666665
2,bracket_black,BAL,image,34,bracket_black/test/hole/002.png,448,442,441,2,1,440,5,0,0,0,0,0.9866071428571429,0.984375,0.004464285714285714,0.002232142857142857
2,bracket_black,BAL,image,35,bracket_black/test/hole/003.png,384,362,358,5,1,357,21,0,0,0,0,0.9427083333333334,0.9322916666666666,0.013020833333333334,0.0026041666666666665
2,bracket_black,BAL,image,36,bracket_black/test/hole/004.png,128,104,108,1,5,103,19,0,0,0,0,0.8125,0.84375,0.0078125,0.0390625
