method,dataset,seed,shot,category,n_images,n_references,map_shape,resolution,batch_size,scales,seconds,s_per_image,peak_gpu_mb,map_key
winclip_native_240,mvtec,1,1,cable,150,1,240x240,240,16,"2,3",25.48,0.1698,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,cable,150,4,240x240,240,16,"2,3",25.09,0.1673,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,capsule,132,1,240x240,240,16,"2,3",26.61,0.2016,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,capsule,132,4,240x240,240,16,"2,3",24.98,0.1892,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,capsule,132,1,240x240,240,16,"2,3",23.5,0.178,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,capsule,132,4,240x240,240,16,"2,3",22.87,0.1732,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,carpet,117,1,240x240,240,16,"2,3",22.01,0.1881,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,carpet,117,4,240x240,240,16,"2,3",20.2,0.1726,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,carpet,117,1,240x240,240,16,"2,3",20.57,0.1758,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,carpet,117,4,240x240,240,16,"2,3",21.02,0.1796,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,grid,78,1,240x240,240,16,"2,3",13.6,0.1743,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,grid,78,4,240x240,240,16,"2,3",12.68,0.1626,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,grid,78,1,240x240,240,16,"2,3",12.53,0.1606,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,grid,78,4,240x240,240,16,"2,3",12.68,0.1626,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,hazelnut,110,1,240x240,240,16,"2,3",20.23,0.1839,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,hazelnut,110,4,240x240,240,16,"2,3",19.53,0.1776,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,hazelnut,110,1,240x240,240,16,"2,3",19.51,0.1773,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,hazelnut,110,4,240x240,240,16,"2,3",18.15,0.165,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,leather,124,1,240x240,240,16,"2,3",21.8,0.1758,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,leather,124,4,240x240,240,16,"2,3",20.89,0.1685,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,leather,124,1,240x240,240,16,"2,3",20.77,0.1675,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,leather,124,4,240x240,240,16,"2,3",21.27,0.1715,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,metal_nut,115,1,240x240,240,16,"2,3",18.47,0.1606,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,metal_nut,115,4,240x240,240,16,"2,3",18.16,0.158,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,metal_nut,115,1,240x240,240,16,"2,3",17.97,0.1562,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,metal_nut,115,4,240x240,240,16,"2,3",17.13,0.1489,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,pill,167,1,240x240,240,16,"2,3",27.83,0.1667,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,pill,167,4,240x240,240,16,"2,3",26.33,0.1577,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,pill,167,1,240x240,240,16,"2,3",26.03,0.1559,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,pill,167,4,240x240,240,16,"2,3",25.71,0.1539,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,screw,160,1,240x240,240,16,"2,3",24.91,0.1557,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,screw,160,4,240x240,240,16,"2,3",23.97,0.1498,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,screw,160,1,240x240,240,16,"2,3",24.03,0.1502,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,screw,160,4,240x240,240,16,"2,3",24.37,0.1523,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,tile,117,1,240x240,240,16,"2,3",19.51,0.1667,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,tile,117,4,240x240,240,16,"2,3",19.54,0.167,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,tile,117,1,240x240,240,16,"2,3",18.89,0.1615,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,tile,117,4,240x240,240,16,"2,3",19.17,0.1639,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,toothbrush,42,1,240x240,240,16,"2,3",7.65,0.182,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,toothbrush,42,4,240x240,240,16,"2,3",8.71,0.2074,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,toothbrush,42,1,240x240,240,16,"2,3",7.8,0.1856,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,toothbrush,42,4,240x240,240,16,"2,3",7.79,0.1856,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,transistor,100,1,240x240,240,16,"2,3",17.97,0.1797,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,transistor,100,4,240x240,240,16,"2,3",17.84,0.1784,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,transistor,100,1,240x240,240,16,"2,3",17.86,0.1786,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,transistor,100,4,240x240,240,16,"2,3",17.3,0.173,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,wood,79,1,240x240,240,16,"2,3",13.77,0.1743,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,wood,79,4,240x240,240,16,"2,3",13.84,0.1752,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,wood,79,1,240x240,240,16,"2,3",13.04,0.165,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,wood,79,4,240x240,240,16,"2,3",14.36,0.1818,1155.4,anomaly_maps
winclip_native_240,mvtec,0,1,zipper,151,1,240x240,240,16,"2,3",23.89,0.1582,1154.1,anomaly_maps
winclip_native_240,mvtec,0,4,zipper,151,4,240x240,240,16,"2,3",22.49,0.1489,1155.4,anomaly_maps
winclip_native_240,mvtec,1,1,zipper,151,1,240x240,240,16,"2,3",22.78,0.1509,1154.1,anomaly_maps
winclip_native_240,mvtec,1,4,zipper,151,4,240x240,240,16,"2,3",22.18,0.1469,1155.4,anomaly_maps
winclip_native_240,visa,0,1,candle,200,1,240x240,240,16,"2,3",31.1,0.1555,1154.1,anomaly_maps
winclip_native_240,visa,0,4,candle,200,4,240x240,240,16,"2,3",30.37,0.1519,1155.4,anomaly_maps
winclip_native_240,visa,1,1,candle,200,1,240x240,240,16,"2,3",30.01,0.15,1154.1,anomaly_maps
winclip_native_240,visa,1,4,candle,200,4,240x240,240,16,"2,3",30.57,0.1529,1155.4,anomaly_maps
winclip_native_240,visa,0,1,capsules,160,1,240x240,240,16,"2,3",25.47,0.1592,1154.1,anomaly_maps
winclip_native_240,visa,0,4,capsules,160,4,240x240,240,16,"2,3",24.57,0.1536,1155.4,anomaly_maps
winclip_native_240,visa,1,1,capsules,160,1,240x240,240,16,"2,3",24.78,0.1549,1154.1,anomaly_maps
winclip_native_240,visa,1,4,capsules,160,4,240x240,240,16,"2,3",24.24,0.1515,1155.4,anomaly_maps
winclip_native_240,visa,0,1,cashew,150,1,240x240,240,16,"2,3",24.84,0.1656,1154.1,anomaly_maps
winclip_native_240,visa,0,4,cashew,150,4,240x240,240,16,"2,3",23.93,0.1595,1155.4,anomaly_maps
winclip_native_240,visa,1,1,cashew,150,1,240x240,240,16,"2,3",24.63,0.1642,1154.1,anomaly_maps
winclip_native_240,visa,1,4,cashew,150,4,240x240,240,16,"2,3",24.99,0.1666,1155.4,anomaly_maps
winclip_native_240,visa,0,1,chewinggum,150,1,240x240,240,16,"2,3",23.56,0.1571,1154.1,anomaly_maps
winclip_native_240,visa,0,4,chewinggum,150,4,240x240,240,16,"2,3",23.49,0.1566,1155.4,anomaly_maps
winclip_native_240,visa,1,1,chewinggum,150,1,240x240,240,16,"2,3",22.99,0.1532,1154.1,anomaly_maps
winclip_native_240,visa,1,4,chewinggum,150,4,240x240,240,16,"2,3",23.21,0.1547,1155.4,anomaly_maps
winclip_native_240,visa,0,1,fryum,150,1,240x240,240,16,"2,3",23.83,0.1588,1154.1,anomaly_maps
winclip_native_240,visa,0,4,fryum,150,4,240x240,240,16,"2,3",22.94,0.1529,1155.4,anomaly_maps
winclip_native_240,visa,1,1,fryum,150,1,240x240,240,16,"2,3",22.8,0.152,1154.1,anomaly_maps
winclip_native_240,visa,1,4,fryum,150,4,240x240,240,16,"2,3",22.92,0.1528,1155.4,anomaly_maps
winclip_native_240,visa,0,1,macaroni1,200,1,240x240,240,16,"2,3",31.68,0.1584,1154.1,anomaly_maps
winclip_native_240,visa,0,4,macaroni1,200,4,240x240,240,16,"2,3",30.68,0.1534,1155.4,anomaly_maps
winclip_native_240,visa,1,1,macaroni1,200,1,240x240,240,16,"2,3",30.64,0.1532,1154.1,anomaly_maps
winclip_native_240,visa,1,4,macaroni1,200,4,240x240,240,16,"2,3",30.24,0.1512,1155.4,anomaly_maps
winclip_native_240,visa,0,1,macaroni2,200,1,240x240,240,16,"2,3",31.35,0.1567,1154.1,anomaly_maps
winclip_native_240,visa,0,4,macaroni2,200,4,240x240,240,16,"2,3",30.44,0.1522,1155.4,anomaly_maps
winclip_native_240,visa,1,1,macaroni2,200,1,240x240,240,16,"2,3",29.84,0.1492,1154.1,anomaly_maps
winclip_native_240,visa,1,4,macaroni2,200,4,240x240,240,16,"2,3",29.72,0.1486,1155.4,anomaly_maps
winclip_native_240,visa,0,1,pcb1,200,1,240x240,240,16,"2,3",31.41,0.1571,1154.1,anomaly_maps
winclip_native_240,visa,0,4,pcb1,200,4,240x240,240,16,"2,3",30.65,0.1532,1155.4,anomaly_maps
winclip_native_240,visa,1,1,pcb1,200,1,240x240,240,16,"2,3",31.71,0.1585,1154.1,anomaly_maps
winclip_native_240,visa,1,4,pcb1,200,4,240x240,240,16,"2,3",30.55,0.1527,1155.4,anomaly_maps
winclip_native_240,visa,0,1,pcb2,200,1,240x240,240,16,"2,3",32.01,0.16,1154.1,anomaly_maps
winclip_native_240,visa,0,4,pcb2,200,4,240x240,240,16,"2,3",31.78,0.1589,1155.4,anomaly_maps
winclip_native_240,visa,1,1,pcb2,200,1,240x240,240,16,"2,3",30.92,0.1546,1154.1,anomaly_maps
winclip_native_240,visa,1,4,pcb2,200,4,240x240,240,16,"2,3",31.05,0.1552,1155.4,anomaly_maps
winclip_native_240,visa,0,1,pcb3,201,1,240x240,240,16,"2,3",31.9,0.1587,1154.1,anomaly_maps
winclip_native_240,visa,0,4,pcb3,201,4,240x240,240,16,"2,3",30.33,0.1509,1155.4,anomaly_maps
winclip_native_240,visa,1,1,pcb3,201,1,240x240,240,16,"2,3",30.56,0.152,1154.1,anomaly_maps
winclip_native_240,visa,1,4,pcb3,201,4,240x240,240,16,"2,3",31.56,0.157,1155.4,anomaly_maps
winclip_native_240,visa,0,1,pcb4,201,1,240x240,240,16,"2,3",31.56,0.157,1154.1,anomaly_maps
winclip_native_240,visa,0,4,pcb4,201,4,240x240,240,16,"2,3",30.7,0.1527,1155.4,anomaly_maps
winclip_native_240,visa,1,1,pcb4,201,1,240x240,240,16,"2,3",32.31,0.1608,1154.1,anomaly_maps
winclip_native_240,visa,1,4,pcb4,201,4,240x240,240,16,"2,3",30.82,0.1533,1155.4,anomaly_maps
winclip_native_240,visa,0,1,pipe_fryum,150,1,240x240,240,16,"2,3",23.57,0.1571,1154.1,anomaly_maps
winclip_native_240,visa,0,4,pipe_fryum,150,4,240x240,240,16,"2,3",22.96,0.1531,1155.4,anomaly_maps
winclip_native_240,visa,1,1,pipe_fryum,150,1,240x240,240,16,"2,3",23.93,0.1595,1154.1,anomaly_maps
winclip_native_240,visa,1,4,pipe_fryum,150,4,240x240,240,16,"2,3",23.45,0.1563,1155.4,anomaly_maps
