dataset,seed,shot,category,construction,image_index,sample_id,n_pairs,l_correct_j_wrong,l_wrong_j_correct,l_correct_j_wrong_rate,l_wrong_j_correct_rate
mvtec,0,1,bottle,A1,46,bottle/test/contamination/004.png,2240,9,17,0.0040178571428571425,0.007589285714285714
mvtec,0,1,bottle,A1,47,bottle/test/contamination/005.png,4096,15,11,0.003662109375,0.002685546875
mvtec,0,1,bottle,A1,48,bottle/test/contamination/006.png,4096,31,25,0.007568359375,0.006103515625
mvtec,0,1,bottle,A1,49,bottle/test/contamination/007.png,4096,14,1,0.00341796875,0.000244140625
mvtec,0,1,bottle,A1,50,bottle/test/contamination/008.png,4096,24,38,0.005859375,0.00927734375
mvtec,0,1,bottle,A1,51,bottle/test/contamination/009.png,4096,8,56,0.001953125,0.013671875
mvtec,0,1,bottle,A1,52,bottle/test/contamination/010.png,4096,27,26,0.006591796875,0.00634765625
mvtec,0,1,bottle,A1,53,bottle/test/contamination/011.png,4096,14,14,0.00341796875,0.00341796875
mvtec,0,1,bottle,A1,54,bottle/test/contamination/012.png,4096,11,24,0.002685546875,0.005859375
mvtec,0,1,bottle,A1,55,bottle/test/contamination/013.png,4096,6,12,0.00146484375,0.0029296875
mvtec,0,1,bottle,A1,56,bottle/test/contamination/014.png,1472,3,6,0.0020380434782608695,0.004076086956521739
mvtec,0,1,bottle,A1,57,bottle/test/contamination/015.png,4096,45,6,0.010986328125,0.00146484375
mvtec,0,1,bottle,A1,58,bottle/test/contamination/016.png,4096,58,23,0.01416015625,0.005615234375
mvtec,0,1,bottle,A1,59,bottle/test/contamination/017.png,4096,2,2,0.00048828125,0.00048828125
mvtec,0,1,bottle,A1,60,bottle/test/contamination/018.png,1280,0,0,0.0,0.0
mvtec,0,1,bottle,A1,61,bottle/test/contamination/019.png,3200,39,31,0.0121875,0.0096875
mvtec,0,1,bottle,A1,62,bottle/test/contamination/020.png,4096,42,25,0.01025390625,0.006103515625
mvtec,0,1,bottle,A1,63,bottle/test/good/000.png,0,0,0,,
mvtec,0,1,bottle,A1,64,bottle/test/good/001.png,0,0,0,,
mvtec,0,1,bottle,A1,65,bottle/test/good/002.png,0,0,0,,
mvtec,0,1,bottle,A1,66,bottle/test/good/003.png,0,0,0,,
mvtec,0,1,bottle,A1,67,bottle/test/good/004.png,0,0,0,,
mvtec,0,1,bottle,A1,68,bottle/test/good/005.png,0,0,0,,
mvtec,0,1,bottle,A1,69,bottle/test/good/006.png,0,0,0,,
mvtec,0,1,bottle,A1,70,bottle/test/good/007.png,0,0,0,,
mvtec,0,1,bottle,A1,71,bottle/test/good/008.png,0,0,0,,
mvtec,0,1,bottle,A1,72,bottle/test/good/009.png,0,0,0,,
mvtec,0,1,bottle,A1,73,bottle/test/good/010.png,0,0,0,,
mvtec,0,1,bottle,A1,74,bottle/test/good/011.png,0,0,0,,
mvtec,0,1,bottle,A1,75,bottle/test/good/012.png,0,0,0,,
mvtec,0,1,bottle,A1,76,bottle/test/good/013.png,0,0,0,,
mvtec,0,1,bottle,A1,77,bottle/test/good/014.png,0,0,0,,
mvtec,0,1,bottle,A1,78,bottle/test/good/015.png,0,0,0,,
mvtec,0,1,bottle,A1,79,bottle/test/good/016.png,0,0,0,,
mvtec,0,1,bottle,A1,80,bottle/test/good/017.png,0,0,0,,
mvtec,0,1,bottle,A1,81,bottle/test/good/018.png,0,0,0,,
mvtec,0,1,bottle,A1,82,bottle/test/good/019.png,0,0,0,,
mvtec,0,1,bottle,TRI,0,bottle/test/broken_large/000.png,4096,24,17,0.005859375,0.004150390625
mvtec,0,1,bottle,TRI,1,bottle/test/broken_large/001.png,4096,19,26,0.004638671875,0.00634765625
mvtec,0,1,bottle,TRI,2,bottle/test/broken_large/002.png,4096,46,28,0.01123046875,0.0068359375
mvtec,0,1,bottle,TRI,3,bottle/test/broken_large/003.png,4096,24,18,0.005859375,0.00439453125
mvtec,0,1,bottle,TRI,4,bottle/test/broken_large/004.png,3968,11,8,0.002772177419354839,0.0020161290322580645
mvtec,0,1,bottle,TRI,5,bottle/test/broken_large/005.png,4096,18,10,0.00439453125,0.00244140625
mvtec,0,1,bottle,TRI,6,bottle/test/broken_large/006.png,4096,36,26,0.0087890625,0.00634765625
mvtec,0,1,bottle,TRI,7,bottle/test/broken_large/007.png,4096,30,32,0.00732421875,0.0078125
mvtec,0,1,bottle,TRI,8,bottle/test/broken_large/008.png,4096,17,17,0.004150390625,0.004150390625
mvtec,0,1,bottle,TRI,9,bottle/test/broken_large/009.png,4096,20,15,0.0048828125,0.003662109375
mvtec,0,1,bottle,TRI,10,bottle/test/broken_large/010.png,4096,15,18,0.003662109375,0.00439453125
mvtec,0,1,bottle,TRI,11,bottle/test/broken_large/011.png,4096,9,18,0.002197265625,0.00439453125
mvtec,0,1,bottle,TRI,12,bottle/test/broken_large/012.png,4096,14,14,0.00341796875,0.00341796875
mvtec,0,1,bottle,TRI,13,bottle/test/broken_large/013.png,4096,10,23,0.00244140625,0.005615234375
mvtec,0,1,bottle,TRI,14,bottle/test/broken_large/014.png,4096,36,26,0.0087890625,0.00634765625
mvtec,0,1,bottle,TRI,15,bottle/test/broken_large/015.png,4096,33,20,0.008056640625,0.0048828125
mvtec,0,1,bottle,TRI,16,bottle/test/broken_large/016.png,4096,22,11,0.00537109375,0.002685546875
mvtec,0,1,bottle,TRI,17,bottle/test/broken_large/017.png,4096,26,22,0.00634765625,0.00537109375
mvtec,0,1,bottle,TRI,18,bottle/test/broken_large/018.png,4096,53,36,0.012939453125,0.0087890625
mvtec,0,1,bottle,TRI,19,bottle/test/broken_large/019.png,4096,10,62,0.00244140625,0.01513671875
mvtec,0,1,bottle,TRI,20,bottle/test/broken_small/000.png,1088,18,7,0.016544117647058824,0.006433823529411764
mvtec,0,1,bottle,TRI,21,bottle/test/broken_small/001.png,1984,13,1,0.00655241935483871,0.0005040322580645161
mvtec,0,1,bottle,TRI,22,bottle/test/broken_small/002.png,3584,25,19,0.006975446428571429,0.005301339285714286
mvtec,0,1,bottle,TRI,23,bottle/test/broken_small/003.png,4096,38,20,0.00927734375,0.0048828125
mvtec,0,1,bottle,TRI,24,bottle/test/broken_small/004.png,3392,13,6,0.0038325471698113208,0.001768867924528302
mvtec,0,1,bottle,TRI,25,bottle/test/broken_small/005.png,1792,8,6,0.004464285714285714,0.0033482142857142855
mvtec,0,1,bottle,TRI,26,bottle/test/broken_small/006.png,2816,17,13,0.006036931818181818,0.004616477272727273
mvtec,0,1,bottle,TRI,27,bottle/test/broken_small/007.png,2176,6,12,0.0027573529411764708,0.0055147058823529415
mvtec,0,1,bottle,TRI,28,bottle/test/broken_small/008.png,2368,5,4,0.0021114864864864866,0.0016891891891891893
mvtec,0,1,bottle,TRI,29,bottle/test/broken_small/009.png,2304,13,10,0.005642361111111111,0.004340277777777778
mvtec,0,1,bottle,TRI,30,bottle/test/broken_small/010.png,4096,17,4,0.004150390625,0.0009765625
mvtec,0,1,bottle,TRI,31,bottle/test/broken_small/011.png,2176,2,3,0.0009191176470588235,0.0013786764705882354
mvtec,0,1,bottle,TRI,32,bottle/test/broken_small/012.png,4096,28,20,0.0068359375,0.0048828125
mvtec,0,1,bottle,TRI,33,bottle/test/broken_small/013.png,3328,19,33,0.005709134615384615,0.009915865384615384
mvtec,0,1,bottle,TRI,34,bottle/test/broken_small/014.png,1792,4,9,0.002232142857142857,0.005022321428571429
mvtec,0,1,bottle,TRI,35,bottle/test/broken_small/015.png,1920,4,3,0.0020833333333333333,0.0015625
mvtec,0,1,bottle,TRI,36,bottle/test/broken_small/016.png,2432,15,6,0.006167763157894737,0.0024671052631578946
mvtec,0,1,bottle,TRI,37,bottle/test/broken_small/017.png,2432,21,11,0.008634868421052632,0.004523026315789474
mvtec,0,1,bottle,TRI,38,bottle/test/broken_small/018.png,4096,30,5,0.00732421875,0.001220703125
mvtec,0,1,bottle,TRI,39,bottle/test/broken_small/019.png,2880,5,5,0.001736111111111111,0.001736111111111111
mvtec,0,1,bottle,TRI,40,bottle/test/broken_small/020.png,3456,18,9,0.005208333333333333,0.0026041666666666665
mvtec,0,1,bottle,TRI,41,bottle/test/broken_small/021.png,2048,16,3,0.0078125,0.00146484375
mvtec,0,1,bottle,TRI,42,bottle/test/contamination/000.png,4096,6,1,0.00146484375,0.000244140625
mvtec,0,1,bottle,TRI,43,bottle/test/contamination/001.png,4096,7,25,0.001708984375,0.006103515625
mvtec,0,1,bottle,TRI,44,bottle/test/contamination/002.png,1920,10,11,0.005208333333333333,0.005729166666666666
mvtec,0,1,bottle,TRI,45,bottle/test/contamination/003.png,2752,23,7,0.008357558139534883,0.002543604651162791
mvtec,0,1,bottle,TRI,46,bottle/test/contamination/004.png,2240,21,11,0.009375,0.004910714285714286
mvtec,0,1,bottle,TRI,47,bottle/test/contamination/005.png,4096,7,11,0.001708984375,0.002685546875
mvtec,0,1,bottle,TRI,48,bottle/test/contamination/006.png,4096,26,19,0.00634765625,0.004638671875
mvtec,0,1,bottle,TRI,49,bottle/test/contamination/007.png,4096,11,4,0.002685546875,0.0009765625
mvtec,0,1,bottle,TRI,50,bottle/test/contamination/008.png,4096,17,17,0.004150390625,0.004150390625
mvtec,0,1,bottle,TRI,51,bottle/test/contamination/009.png,4096,15,39,0.003662109375,0.009521484375
mvtec,0,1,bottle,TRI,52,bottle/test/contamination/010.png,4096,36,2,0.0087890625,0.00048828125
mvtec,0,1,bottle,TRI,53,bottle/test/contamination/011.png,4096,22,13,0.00537109375,0.003173828125
mvtec,0,1,bottle,TRI,54,bottle/test/contamination/012.png,4096,21,22,0.005126953125,0.00537109375
mvtec,0,1,bottle,TRI,55,bottle/test/contamination/013.png,4096,2,2,0.00048828125,0.00048828125
mvtec,0,1,bottle,TRI,56,bottle/test/contamination/014.png,1472,7,5,0.004755434782608696,0.0033967391304347825
mvtec,0,1,bottle,TRI,57,bottle/test/contamination/015.png,4096,19,5,0.004638671875,0.001220703125
mvtec,0,1,bottle,TRI,58,bottle/test/contamination/016.png,4096,53,17,0.012939453125,0.004150390625
mvtec,0,1,bottle,TRI,59,bottle/test/contamination/017.png,4096,2,6,0.00048828125,0.00146484375
mvtec,0,1,bottle,TRI,60,bottle/test/contamination/018.png,1280,1,0,0.00078125,0.0
mvtec,0,1,bottle,TRI,61,bottle/test/contamination/019.png,3200,42,25,0.013125,0.0078125
mvtec,0,1,bottle,TRI,62,bottle/test/contamination/020.png,4096,49,6,0.011962890625,0.00146484375
mvtec,0,1,bottle,TRI,63,bottle/test/good/000.png,0,0,0,,
mvtec,0,1,bottle,TRI,64,bottle/test/good/001.png,0,0,0,,
mvtec,0,1,bottle,TRI,65,bottle/test/good/002.png,0,0,0,,
mvtec,0,1,bottle,TRI,66,bottle/test/good/003.png,0,0,0,,
mvtec,0,1,bottle,TRI,67,bottle/test/good/004.png,0,0,0,,
mvtec,0,1,bottle,TRI,68,bottle/test/good/005.png,0,0,0,,
mvtec,0,1,bottle,TRI,69,bottle/test/good/006.png,0,0,0,,
mvtec,0,1,bottle,TRI,70,bottle/test/good/007.png,0,0,0,,
mvtec,0,1,bottle,TRI,71,bottle/test/good/008.png,0,0,0,,
mvtec,0,1,bottle,TRI,72,bottle/test/good/009.png,0,0,0,,
mvtec,0,1,bottle,TRI,73,bottle/test/good/010.png,0,0,0,,
mvtec,0,1,bottle,TRI,74,bottle/test/good/011.png,0,0,0,,
mvtec,0,1,bottle,TRI,75,bottle/test/good/012.png,0,0,0,,
mvtec,0,1,bottle,TRI,76,bottle/test/good/013.png,0,0,0,,
mvtec,0,1,bottle,TRI,77,bottle/test/good/014.png,0,0,0,,
mvtec,0,1,bottle,TRI,78,bottle/test/good/015.png,0,0,0,,
mvtec,0,1,bottle,TRI,79,bottle/test/good/016.png,0,0,0,,
mvtec,0,1,bottle,TRI,80,bottle/test/good/017.png,0,0,0,,
mvtec,0,1,bottle,TRI,81,bottle/test/good/018.png,0,0,0,,
mvtec,0,1,bottle,TRI,82,bottle/test/good/019.png,0,0,0,,
mvtec,0,1,bottle,BAL,0,bottle/test/broken_large/000.png,4096,29,8,0.007080078125,0.001953125
mvtec,0,1,bottle,BAL,1,bottle/test/broken_large/001.png,4096,27,25,0.006591796875,0.006103515625
mvtec,0,1,bottle,BAL,2,bottle/test/broken_large/002.png,4096,56,33,0.013671875,0.008056640625
mvtec,0,1,bottle,BAL,3,bottle/test/broken_large/003.png,4096,28,13,0.0068359375,0.003173828125
mvtec,0,1,bottle,BAL,4,bottle/test/broken_large/004.png,3968,11,10,0.002772177419354839,0.0025201612903225806
mvtec,0,1,bottle,BAL,5,bottle/test/broken_large/005.png,4096,22,9,0.00537109375,0.002197265625
mvtec,0,1,bottle,BAL,6,bottle/test/broken_large/006.png,4096,52,33,0.0126953125,0.008056640625
mvtec,0,1,bottle,BAL,7,bottle/test/broken_large/007.png,4096,36,31,0.0087890625,0.007568359375
mvtec,0,1,bottle,BAL,8,bottle/test/broken_large/008.png,4096,13,21,0.003173828125,0.005126953125
mvtec,0,1,bottle,BAL,9,bottle/test/broken_large/009.png,4096,23,19,0.005615234375,0.004638671875
mvtec,0,1,bottle,BAL,10,bottle/test/broken_large/010.png,4096,22,21,0.00537109375,0.005126953125
mvtec,0,1,bottle,BAL,11,bottle/test/broken_large/011.png,4096,6,21,0.00146484375,0.005126953125
mvtec,0,1,bottle,BAL,12,bottle/test/broken_large/012.png,4096,30,10,0.00732421875,0.00244140625
mvtec,0,1,bottle,BAL,13,bottle/test/broken_large/013.png,4096,18,25,0.00439453125,0.006103515625
mvtec,0,1,bottle,BAL,14,bottle/test/broken_large/014.png,4096,52,28,0.0126953125,0.0068359375
mvtec,0,1,bottle,BAL,15,bottle/test/broken_large/015.png,4096,45,23,0.010986328125,0.005615234375
mvtec,0,1,bottle,BAL,16,bottle/test/broken_large/016.png,4096,29,15,0.007080078125,0.003662109375
mvtec,0,1,bottle,BAL,17,bottle/test/broken_large/017.png,4096,35,24,0.008544921875,0.005859375
mvtec,0,1,bottle,BAL,18,bottle/test/broken_large/018.png,4096,53,30,0.012939453125,0.00732421875
mvtec,0,1,bottle,BAL,19,bottle/test/broken_large/019.png,4096,14,83,0.00341796875,0.020263671875
mvtec,0,1,bottle,BAL,20,bottle/test/broken_small/000.png,1088,18,4,0.016544117647058824,0.003676470588235294
mvtec,0,1,bottle,BAL,21,bottle/test/broken_small/001.png,1984,17,0,0.008568548387096774,0.0
mvtec,0,1,bottle,BAL,22,bottle/test/broken_small/002.png,3584,32,13,0.008928571428571428,0.003627232142857143
mvtec,0,1,bottle,BAL,23,bottle/test/broken_small/003.png,4096,25,23,0.006103515625,0.005615234375
mvtec,0,1,bottle,BAL,24,bottle/test/broken_small/004.png,3392,8,7,0.0023584905660377358,0.002063679245283019
mvtec,0,1,bottle,BAL,25,bottle/test/broken_small/005.png,1792,12,5,0.006696428571428571,0.0027901785714285715
mvtec,0,1,bottle,BAL,26,bottle/test/broken_small/006.png,2816,16,9,0.005681818181818182,0.0031960227272727275
mvtec,0,1,bottle,BAL,27,bottle/test/broken_small/007.png,2176,16,10,0.007352941176470588,0.004595588235294118
mvtec,0,1,bottle,BAL,28,bottle/test/broken_small/008.png,2368,5,5,0.0021114864864864866,0.0021114864864864866
mvtec,0,1,bottle,BAL,29,bottle/test/broken_small/009.png,2304,11,7,0.004774305555555556,0.0030381944444444445
mvtec,0,1,bottle,BAL,30,bottle/test/broken_small/010.png,4096,21,8,0.005126953125,0.001953125
mvtec,0,1,bottle,BAL,31,bottle/test/broken_small/011.png,2176,3,4,0.0013786764705882354,0.001838235294117647
mvtec,0,1,bottle,BAL,32,bottle/test/broken_small/012.png,4096,37,16,0.009033203125,0.00390625
mvtec,0,1,bottle,BAL,33,bottle/test/broken_small/013.png,3328,26,27,0.0078125,0.00811298076923077
mvtec,0,1,bottle,BAL,34,bottle/test/broken_small/014.png,1792,11,8,0.006138392857142857,0.004464285714285714
mvtec,0,1,bottle,BAL,35,bottle/test/broken_small/015.png,1920,5,1,0.0026041666666666665,0.0005208333333333333
mvtec,0,1,bottle,BAL,36,bottle/test/broken_small/016.png,2432,13,9,0.005345394736842105,0.003700657894736842
mvtec,0,1,bottle,BAL,37,bottle/test/broken_small/017.png,2432,20,11,0.008223684210526315,0.004523026315789474
mvtec,0,1,bottle,BAL,38,bottle/test/broken_small/018.png,4096,32,5,0.0078125,0.001220703125
mvtec,0,1,bottle,BAL,39,bottle/test/broken_small/019.png,2880,9,7,0.003125,0.0024305555555555556
mvtec,0,1,bottle,BAL,40,bottle/test/broken_small/020.png,3456,16,9,0.004629629629629629,0.0026041666666666665
mvtec,0,1,bottle,BAL,41,bottle/test/broken_small/021.png,2048,16,3,0.0078125,0.00146484375
mvtec,0,1,bottle,BAL,42,bottle/test/contamination/000.png,4096,13,1,0.003173828125,0.000244140625
mvtec,0,1,bottle,BAL,43,bottle/test/contamination/001.png,4096,8,28,0.001953125,0.0068359375
mvtec,0,1,bottle,BAL,44,bottle/test/contamination/002.png,1920,12,15,0.00625,0.0078125
mvtec,0,1,bottle,BAL,45,bottle/test/contamination/003.png,2752,36,12,0.01308139534883721,0.00436046511627907
mvtec,0,1,bottle,BAL,46,bottle/test/contamination/004.png,2240,21,17,0.009375,0.007589285714285714
mvtec,0,1,bottle,BAL,47,bottle/test/contamination/005.png,4096,18,14,0.00439453125,0.00341796875
mvtec,0,1,bottle,BAL,48,bottle/test/contamination/006.png,4096,37,25,0.009033203125,0.006103515625
mvtec,0,1,bottle,BAL,49,bottle/test/contamination/007.png,4096,12,1,0.0029296875,0.000244140625
mvtec,0,1,bottle,BAL,50,bottle/test/contamination/008.png,4096,23,34,0.005615234375,0.00830078125
mvtec,0,1,bottle,BAL,51,bottle/test/contamination/009.png,4096,9,64,0.002197265625,0.015625
mvtec,0,1,bottle,BAL,52,bottle/test/contamination/010.png,4096,27,5,0.006591796875,0.001220703125
mvtec,0,1,bottle,BAL,53,bottle/test/contamination/011.png,4096,16,12,0.00390625,0.0029296875
mvtec,0,1,bottle,BAL,54,bottle/test/contamination/012.png,4096,14,19,0.00341796875,0.004638671875
mvtec,0,1,bottle,BAL,55,bottle/test/contamination/013.png,4096,3,3,0.000732421875,0.000732421875
mvtec,0,1,bottle,BAL,56,bottle/test/contamination/014.png,1472,2,1,0.001358695652173913,0.0006793478260869565
mvtec,0,1,bottle,BAL,57,bottle/test/contamination/015.png,4096,39,4,0.009521484375,0.0009765625
mvtec,0,1,bottle,BAL,58,bottle/test/contamination/016.png,4096,71,13,0.017333984375,0.003173828125
mvtec,0,1,bottle,BAL,59,bottle/test/contamination/017.png,4096,0,9,0.0,0.002197265625
mvtec,0,1,bottle,BAL,60,bottle/test/contamination/018.png,1280,1,0,0.00078125,0.0
mvtec,0,1,bottle,BAL,61,bottle/test/contamination/019.png,3200,42,24,0.013125,0.0075
mvtec,0,1,bottle,BAL,62,bottle/test/contamination/020.png,4096,53,10,0.012939453125,0.00244140625
mvtec,0,1,bottle,BAL,63,bottle/test/good/000.png,0,0,0,,
mvtec,0,1,bottle,BAL,64,bottle/test/good/001.png,0,0,0,,
mvtec,0,1,bottle,BAL,65,bottle/test/good/002.png,0,0,0,,
mvtec,0,1,bottle,BAL,66,bottle/test/good/003.png,0,0,0,,
mvtec,0,1,bottle,BAL,67,bottle/test/good/004.png,0,0,0,,
mvtec,0,1,bottle,BAL,68,bottle/test/good/005.png,0,0,0,,
mvtec,0,1,bottle,BAL,69,bottle/test/good/006.png,0,0,0,,
mvtec,0,1,bottle,BAL,70,bottle/test/good/007.png,0,0,0,,
mvtec,0,1,bottle,BAL,71,bottle/test/good/008.png,0,0,0,,
mvtec,0,1,bottle,BAL,72,bottle/test/good/009.png,0,0,0,,
mvtec,0,1,bottle,BAL,73,bottle/test/good/010.png,0,0,0,,
mvtec,0,1,bottle,BAL,74,bottle/test/good/011.png,0,0,0,,
mvtec,0,1,bottle,BAL,75,bottle/test/good/012.png,0,0,0,,
mvtec,0,1,bottle,BAL,76,bottle/test/good/013.png,0,0,0,,
mvtec,0,1,bottle,BAL,77,bottle/test/good/014.png,0,0,0,,
mvtec,0,1,bottle,BAL,78,bottle/test/good/015.png,0,0,0,,
mvtec,0,1,bottle,BAL,79,bottle/test/good/016.png,0,0,0,,
mvtec,0,1,bottle,BAL,80,bottle/test/good/017.png,0,0,0,,
mvtec,0,1,bottle,BAL,81,bottle/test/good/018.png,0,0,0,,
mvtec,0,1,bottle,BAL,82,bottle/test/good/019.png,0,0,0,,
mvtec,0,1,bottle,DUP,0,bottle/test/broken_large/000.png,4096,13,19,0.003173828125,0.004638671875
mvtec,0,1,bottle,DUP,1,bottle/test/broken_large/001.png,4096,14,23,0.00341796875,0.005615234375
mvtec,0,1,bottle,DUP,2,bottle/test/broken_large/002.png,4096,21,54,0.005126953125,0.01318359375
mvtec,0,1,bottle,DUP,3,bottle/test/broken_large/003.png,4096,10,22,0.00244140625,0.00537109375
mvtec,0,1,bottle,DUP,4,bottle/test/broken_large/004.png,3968,8,11,0.0020161290322580645,0.002772177419354839
mvtec,0,1,bottle,DUP,5,bottle/test/broken_large/005.png,4096,17,4,0.004150390625,0.0009765625
mvtec,0,1,bottle,DUP,6,bottle/test/broken_large/006.png,4096,24,38,0.005859375,0.00927734375
mvtec,0,1,bottle,DUP,7,bottle/test/broken_large/007.png,4096,34,54,0.00830078125,0.01318359375
mvtec,0,1,bottle,DUP,8,bottle/test/broken_large/008.png,4096,6,38,0.00146484375,0.00927734375
mvtec,0,1,bottle,DUP,9,bottle/test/broken_large/009.png,4096,12,14,0.0029296875,0.00341796875
mvtec,0,1,bottle,DUP,10,bottle/test/broken_large/010.png,4096,20,24,0.0048828125,0.005859375
mvtec,0,1,bottle,DUP,11,bottle/test/broken_large/011.png,4096,13,23,0.003173828125,0.005615234375
mvtec,0,1,bottle,DUP,12,bottle/test/broken_large/012.png,4096,15,15,0.003662109375,0.003662109375
mvtec,0,1,bottle,DUP,13,bottle/test/broken_large/013.png,4096,7,38,0.001708984375,0.00927734375
mvtec,0,1,bottle,DUP,14,bottle/test/broken_large/014.png,4096,29,29,0.007080078125,0.007080078125
mvtec,0,1,bottle,DUP,15,bottle/test/broken_large/015.png,4096,36,21,0.0087890625,0.005126953125
mvtec,0,1,bottle,DUP,16,bottle/test/broken_large/016.png,4096,34,17,0.00830078125,0.004150390625
mvtec,0,1,bottle,DUP,17,bottle/test/broken_large/017.png,4096,24,33,0.005859375,0.008056640625
