dataset,contrast,seed,query_provenance,n_conditions,point_delta,bootstrap_mean,ci95_low,ci95_high,ci95_half_width,ci9875_low,ci9875_high,ci95_excludes_zero,ci9875_excludes_zero
btad,I_BAL,1,own historical block,12,-0.0003198575186152593,3.966489367498689e-05,-0.0017522877664471576,0.0022786744944318037,0.002015481130439481,-0.0021661118556047234,0.002965330040489745,False,False
btad,I_TRI,2,own historical block,12,0.0030786080537139418,0.003305405503697661,0.0015132205403557272,0.005324524674503347,0.00190565206707381,0.0010951875601110496,0.006000354405876627,True,True
btad,I_BAL,2,own historical block,12,0.001450705722444832,0.0016617019331437177,-0.00026925575284339747,0.00364234068132389,0.001955798217083644,-0.0008467229307027172,0.004466133361628563,False,False
btad,I_TRI,3,shared block (seed 3),12,0.0020412783880957483,0.002272160662943565,-0.00030380769039515247,0.004893641216949895,0.0025987244536725238,-0.0010381235929002605,0.005717946130149079,False,False
btad,I_BAL,3,shared block (seed 3),12,0.0018666399509636722,0.0021404591969660033,-0.0003368822407720874,0.0045681141190653035,0.0024524981799186954,-0.0009255901734455188,0.005534160975695479,False,False
btad,I_TRI,4,shared block (seed 3),12,0.000641096943940637,0.0008422436431032255,-0.0008882519332087978,0.002957278445603693,0.0019227651894062454,-0.0012528486406866606,0.003654835845244528,False,False
btad,I_BAL,4,shared block (seed 3),12,-0.000567903600491119,-0.0004014204234414442,-0.002176540186497152,0.0017216505398470478,0.0019490953631721001,-0.0025554239854775904,0.002224311847292471,False,False
btad,I_TRI,5,shared block (seed 3),12,0.002054083788599346,0.0022173865446744215,8.293607371488746e-06,0.004357590989290059,0.0021746486909592854,-0.00037141065145434725,0.004924985673156615,True,False
btad,I_BAL,5,shared block (seed 3),12,0.00141377731850643,0.0016062150311809368,-0.00032845036199884175,0.003453390340579178,0.0018909203512890097,-0.000572066333892068,0.004163813050969212,False,False
btad,I_TRI,6,shared block (seed 3),12,0.0013281781496482514,0.0015844743082387821,-0.00022317737313733794,0.0035629981052725233,0.0018930877392049307,-0.0007187779404709887,0.004212235220280918,False,False
btad,I_BAL,6,shared block (seed 3),12,0.00036454289114251637,0.0005793288714635405,-0.0011616820450537286,0.002340952817968461,0.0017513174315110947,-0.001649121621820546,0.0030859603506535184,False,False
btad,I_TRI,7,shared block (seed 3),12,0.001830765176764837,0.0020405785756033657,2.612484677925334e-05,0.003943242445622239,0.001958558799421493,-0.00036676311119777255,0.0048613338076467505,True,False
btad,I_BAL,7,shared block (seed 3),12,0.0007191400540091375,0.0009127232875417933,-0.0011453619404430658,0.0029380629551284173,0.0020417124477857414,-0.0015224042448813652,0.003610606435527668,False,False
