dataset,family,contrast,metric,n_conditions,conditions,point_delta_raw,bootstrap_mean,ci_low,ci_high,ci_level,n_replicates,aggregation
mpdd,matching_effect,A1_L - A1_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.002387957632114718,0.0024897556746890695,-0.003952108800896571,0.008896097997034976,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,TRI_L - TRI_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.010934830050833164,0.011110431224612324,0.00701432826684087,0.01543964357344284,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,TRI_L - TRI_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.004162694068781374,0.0041581822464778016,0.003443849694333603,0.004940638402066947,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,TRI_L - TRI_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.012618536328878568,0.011747277130049815,0.0055651287909260225,0.018275228560490225,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,TRI_L - TRI_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.010234380408202154,0.010372350476533449,0.004805470689129358,0.01626051614467169,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,BAL_L - BAL_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.012133031424061616,0.012525628937900901,0.008386892558637761,0.01722193410456079,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,BAL_L - BAL_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.004366595840331343,0.0043597585759795445,0.0035834363083923093,0.005185869537566734,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,BAL_L - BAL_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.01220492916563943,0.011372855890808586,0.0039540447222153425,0.018700790129811,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,BAL_L - BAL_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.00922505234579113,0.009383330109079371,0.00326235855478581,0.015555508253685011,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,DUP_L - DUP_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0032136958358014167,0.0034860698138122342,0.0013658184789198816,0.005798850295687854,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,DUP_L - DUP_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.0022059097743177547,0.002206771925468761,0.0016604651420537055,0.0028085046811298763,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,DUP_L - DUP_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.003040629597620461,0.002357347473630518,-0.005635827808074228,0.009502653764330985,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,matching_effect,DUP_L - DUP_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,0.001775587654102656,0.0018142386584281238,-0.002942410621421629,0.005892083014611808,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,B - A1_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.024442671846214955,-0.023238879622751448,-0.03280547591361255,-0.01434245640871885,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,B - A1_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.009090975147206637,-0.009040746674657932,-0.01069063326399064,-0.007440232857408864,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,B - A1_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.026327351549620525,-0.024491217827274318,-0.0394704509385736,-0.009358386718512432,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,B - A1_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.025497392917950955,-0.025421777691814203,-0.037676276893451835,-0.012336199315630812,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,S - A1_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.047173647469583434,-0.046333003755623665,-0.05952951700782164,-0.03145379453633104,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,S - A1_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.0019759750356763786,-0.0019932529745853604,-0.0047518759446549715,0.0007796087439952135,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,S - A1_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.03883624394021856,-0.03785430794003487,-0.0607878872398494,-0.016985527572968867,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,S - A1_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.040100287747149,-0.04066996326216564,-0.06232549514472919,-0.021187663309951702,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,C - A1_J,pixel_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.08998579439982267,-0.09100578132929447,-0.11191502171026013,-0.07009609486183568,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,C - A1_J,pixel_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.0021574758846183983,-0.002280562496356067,-0.0057070896878298975,0.001071344287663117,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,C - A1_J,image_ap,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.03714904990057032,-0.03524445662344789,-0.06810813816047771,-0.0019158988478582396,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
mpdd,single_vs_anchor,C - A1_J,image_auroc,12,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8;s2k1;s2k2;s2k4;s2k8,-0.0400410494918901,-0.0397648514887076,-0.06996743385472691,-0.008886453933018807,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,weight_control,DUP_J - A1_J,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.00958804647482242,-0.009447664411323047,-0.013851237782443526,-0.00462377232068008,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,weight_control,DUP_J - A1_J,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.001013807416786111,-0.001026412235365955,-0.0013484044238178,-0.0007057530635658936,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,weight_control,DUP_J - A1_J,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.006085775007341004,0.0061016774957114535,-0.000631756021496542,0.01350219940604694,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,weight_control,DUP_J - A1_J,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.003264860706187228,-0.0032031885104286096,-0.008126047044079574,0.0016683811227020818,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,weight_control,DUP_L - A1_L,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.012054104851346392,-0.011998590544523586,-0.016314705868117858,-0.007591733477299616,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,weight_control,DUP_L - A1_L,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.001179572904824941,-0.001195964119384241,-0.0015376904180303282,-0.0008711355269124949,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,weight_control,DUP_L - A1_L,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.003427898946240557,0.003483474211576509,-0.0015957914531924777,0.009365652942605572,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,weight_control,DUP_L - A1_L,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.0017111673066439043,-0.0016719446806583505,-0.005691789686770279,0.0020545976511778218,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,TRI_J - DUP_J,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.015346262693690618,0.015540532604626442,0.006346798231615854,0.024461218510733046,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,TRI_J - DUP_J,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0013335385043094367,0.0013663331982191544,0.0005715979144845074,0.002109603448392349,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,TRI_J - DUP_J,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008990943772406251,0.009019072056782186,0.0008688227813963866,0.017385382422758344,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,TRI_J - DUP_J,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.00976863143631436,0.009716470979182839,0.0018037957567299382,0.019362799640292968,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,TRI_L - DUP_L,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.014868301089907526,0.015343697129549876,0.0061685027691568035,0.02476783798569214,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,TRI_L - DUP_L,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0013952912700046366,0.0014387512397825261,0.0005992950038539593,0.0022473105332469884,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,TRI_L - DUP_L,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.009260413470043957,0.009197942656935288,0.0007583172212789653,0.018174202328687765,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,TRI_L - DUP_L,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.007639948604296551,0.007501815297289008,-0.0007207361596260575,0.015895038474752113,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,BAL_J - A1_J,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.009615188251306833,0.009893391351224816,0.0015637286645325303,0.01803233671232017,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,BAL_J - A1_J,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0009627612292820997,0.0009956072205226242,0.0002857894810924272,0.0016468023424297768,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,BAL_J - A1_J,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.004525768942466618,0.004621135259178045,-0.004082375143275565,0.012838955168701571,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,BAL_J - A1_J,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.005468756172620076,0.00539544385032036,-0.0016515204141986763,0.01312279882155173,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,BAL_L - A1_L,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008446361606240071,0.009020214178227627,0.0007606234527818415,0.017184510300409458,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,BAL_L - A1_L,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.000956896126524262,0.000998834004585244,0.0002609414482211914,0.0017359238435710066,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,BAL_L - A1_L,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.005051959880902318,0.00506221211486377,-0.0029076168632693844,0.012772747948029005,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,representation_swap,BAL_L - A1_L,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.005128216181943146,0.004986158312319797,-0.0032373024696091194,0.013253846071651471,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,A1_L - A1_J,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.008297535026019251,0.008437430790634071,0.00664896197792529,0.010857808030302694,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,A1_L - A1_J,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0008897415191340546,0.0009067079133072071,0.0007318903742107325,0.00111616531924291,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,A1_L - A1_J,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.003152804937420914,0.0031588143684816174,-0.002033554501311671,0.008879647002021112,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,A1_L - A1_J,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.0002521989341613545,-0.0001659617048901283,-0.0058119897123233176,0.005785114200622768,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,TRI_L - TRI_J,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.005353515045712187,0.005689669182356964,0.0033010740987595975,0.008343820373969319,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,TRI_L - TRI_J,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0007857287967904247,0.0008095740708522928,0.0005225393275737425,0.0011214551200934748,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,TRI_L - TRI_J,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0007643985739581721,0.0007194816844997774,-0.0030735401027692224,0.004323563083273019,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,TRI_L - TRI_J,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.0008271883666358393,-0.0008493735570136993,-0.006379485200920346,0.004852026669764619,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,BAL_L - BAL_J,pixel_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.007128708380952489,0.007564253617636883,0.004897005771556498,0.010842910147923426,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,BAL_L - BAL_J,pixel_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.0008838764163762169,0.0009099346973698269,0.0006154959073080905,0.0012228599104909094,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,BAL_L - BAL_J,image_ap,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,0.003678995875856614,0.0035998912241673427,-0.0016785679541743356,0.009014060086376447,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
btad,matching_effect,BAL_L - BAL_J,image_auroc,8,s0k1;s0k2;s0k4;s0k8;s1k1;s1k2;s1k4;s1k8,-0.0005927389248382847,-0.0005752472428906916,-0.006973976177562758,0.0060868673501424,0.95,1000,"paired per replicate: mean over conditions of (left_r - right_r), then percentile"
