method,dataset,seed,shot,category,n_images,grid,image_size,checkpoint,zero_shot,seeds_per_unit,shots_per_unit,seconds,s_per_image,peak_gpu_mb,map_key
anomalyclip_zeroshot_518,mvtec,0,1,screw,160,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,111.67,0.6979,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,tile,117,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,83.06,0.71,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,toothbrush,42,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,30.23,0.7198,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,transistor,100,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,72.74,0.7274,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,wood,79,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,57.81,0.7317,2626.6,patch_maps
anomalyclip_zeroshot_518,mvtec,0,1,zipper,151,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale_visa\epoch_15.pth,True,1,1,105.7,0.7,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,candle,200,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,140.24,0.7012,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,capsules,160,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,111.52,0.697,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,cashew,150,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,103.64,0.6909,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,chewinggum,150,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,103.06,0.6871,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,fryum,150,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,103.24,0.6883,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,macaroni1,200,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,137.78,0.6889,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,macaroni2,200,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,137.95,0.6897,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,pcb1,200,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,138.2,0.691,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,pcb2,200,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,139.87,0.6993,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,pcb3,201,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,138.65,0.6898,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,pcb4,201,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,139.06,0.6919,2626.6,patch_maps
anomalyclip_zeroshot_518,visa,0,1,pipe_fryum,150,37x37,518,D:\STUDY\My_github\sci_project\methods\AnomalyCLIP-main\checkpoints\9_12_4_multiscale\epoch_15.pth,True,1,1,103.33,0.6889,2626.6,patch_maps
