method,scope,image_index,sample_id,n_pairs,l_correct,j_correct,l_correct_j_wrong,l_wrong_j_correct,both_correct,both_wrong,l_tie,j_tie,any_tie,both_tie,l_correct_rate,j_correct_rate,l_correct_j_wrong_rate,l_wrong_j_correct_rate
A1,image,65,bracket_brown/test/parts_mismatch/022.png,704,593,619,8,34,585,77,0,0,0,0,0.8423295454545454,0.8792613636363636,0.011363636363636364,0.048295454545454544
A1,image,66,bracket_brown/test/parts_mismatch/023.png,192,180,174,6,0,174,12,0,0,0,0,0.9375,0.90625,0.03125,0.0
A1,image,67,bracket_brown/test/parts_mismatch/024.png,320,290,278,12,0,278,30,0,0,0,0,0.90625,0.86875,0.0375,0.0
A1,image,68,bracket_brown/test/parts_mismatch/025.png,256,256,256,0,0,256,0,0,0,0,0,1.0,1.0,0.0,0.0
A1,image,69,bracket_brown/test/parts_mismatch/026.png,640,616,610,15,9,601,15,0,0,0,0,0.9625,0.953125,0.0234375,0.0140625
A1,image,70,bracket_brown/test/parts_mismatch/027.png,576,528,525,12,9,516,39,0,0,0,0,0.9166666666666666,0.9114583333333334,0.020833333333333332,0.015625
A1,image,71,bracket_brown/test/parts_mismatch/028.png,512,426,428,10,12,416,74,0,0,0,0,0.83203125,0.8359375,0.01953125,0.0234375
A1,image,72,bracket_brown/test/parts_mismatch/029.png,320,304,313,0,9,304,7,0,0,0,0,0.95,0.978125,0.0,0.028125
A1,image,73,bracket_brown/test/parts_mismatch/030.png,448,408,406,6,4,402,36,0,0,0,0,0.9107142857142857,0.90625,0.013392857142857142,0.008928571428571428
A1,image,74,bracket_brown/test/parts_mismatch/031.png,640,577,581,6,10,571,53,0,0,0,0,0.9015625,0.9078125,0.009375,0.015625
A1,image,75,bracket_brown/test/parts_mismatch/032.png,640,563,573,6,16,557,61,0,0,0,0,0.8796875,0.8953125,0.009375,0.025
A1,image,76,bracket_brown/test/parts_mismatch/033.png,640,553,545,17,9,536,78,0,0,0,0,0.8640625,0.8515625,0.0265625,0.0140625
A1,aggregate,-1,__ALL__,52416,47140,46630,1365,855,45775,4421,0,0,0,0,0.8993437118437119,0.8896138583638583,0.026041666666666668,0.016311813186813188
TRI,image,0,bracket_brown/test/bend_and_parts_mismatch/000.png,2176,1999,1999,24,24,1975,153,0,0,0,0,0.9186580882352942,0.9186580882352942,0.011029411764705883,0.011029411764705883
TRI,image,1,bracket_brown/test/bend_and_parts_mismatch/001.png,1920,1755,1766,30,41,1725,124,0,0,0,0,0.9140625,0.9197916666666667,0.015625,0.021354166666666667
TRI,image,2,bracket_brown/test/bend_and_parts_mismatch/002.png,1792,1644,1616,33,5,1611,143,0,0,0,0,0.9174107142857143,0.9017857142857143,0.018415178571428572,0.0027901785714285715
TRI,image,3,bracket_brown/test/bend_and_parts_mismatch/003.png,1728,1515,1466,67,18,1448,195,0,0,0,0,0.8767361111111112,0.8483796296296297,0.03877314814814815,0.010416666666666666
TRI,image,4,bracket_brown/test/bend_and_parts_mismatch/004.png,2176,1983,1915,91,23,1892,170,0,0,0,0,0.9113051470588235,0.8800551470588235,0.04181985294117647,0.010569852941176471
TRI,image,5,bracket_brown/test/bend_and_parts_mismatch/005.png,2496,2223,2199,70,46,2153,227,0,0,0,0,0.890625,0.8810096153846154,0.028044871794871796,0.01842948717948718
TRI,image,6,bracket_brown/test/bend_and_parts_mismatch/006.png,1920,1810,1730,87,7,1723,103,0,0,0,0,0.9427083333333334,0.9010416666666666,0.0453125,0.0036458333333333334
TRI,image,7,bracket_brown/test/bend_and_parts_mismatch/007.png,2240,2020,1976,56,12,1964,208,0,0,0,0,0.9017857142857143,0.8821428571428571,0.025,0.005357142857142857
TRI,image,8,bracket_brown/test/bend_and_parts_mismatch/008.png,2688,2342,2303,93,54,2249,292,0,0,0,0,0.8712797619047619,0.8567708333333334,0.03459821428571429,0.020089285714285716
TRI,image,9,bracket_brown/test/bend_and_parts_mismatch/009.png,1984,1729,1727,15,13,1714,242,0,0,0,0,0.8714717741935484,0.8704637096774194,0.007560483870967742,0.00655241935483871
TRI,image,10,bracket_brown/test/bend_and_parts_mismatch/010.png,2048,1887,1899,26,38,1861,123,0,0,0,0,0.92138671875,0.92724609375,0.0126953125,0.0185546875
TRI,image,11,bracket_brown/test/bend_and_parts_mismatch/011.png,2112,1998,1969,51,22,1947,92,0,0,0,0,0.9460227272727273,0.9322916666666666,0.024147727272727272,0.010416666666666666
TRI,image,12,bracket_brown/test/bend_and_parts_mismatch/012.png,2048,1880,1865,46,31,1834,137,0,0,0,0,0.91796875,0.91064453125,0.0224609375,0.01513671875
TRI,image,13,bracket_brown/test/bend_and_parts_mismatch/013.png,1920,1837,1807,55,25,1782,58,0,0,0,0,0.9567708333333333,0.9411458333333333,0.028645833333333332,0.013020833333333334
TRI,image,14,bracket_brown/test/bend_and_parts_mismatch/014.png,2624,2279,2259,84,64,2195,281,0,0,0,0,0.8685213414634146,0.8608993902439024,0.03201219512195122,0.024390243902439025
TRI,image,15,bracket_brown/test/bend_and_parts_mismatch/015.png,2176,1904,1838,112,46,1792,226,0,0,0,0,0.875,0.8446691176470589,0.051470588235294115,0.021139705882352942
TRI,image,16,bracket_brown/test/bend_and_parts_mismatch/016.png,1856,1771,1693,80,2,1691,83,0,0,0,0,0.9542025862068966,0.912176724137931,0.04310344827586207,0.0010775862068965517
TRI,image,17,bracket_brown/test/good/000.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,18,bracket_brown/test/good/001.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,19,bracket_brown/test/good/002.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,20,bracket_brown/test/good/003.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,21,bracket_brown/test/good/004.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,22,bracket_brown/test/good/005.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,23,bracket_brown/test/good/006.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,24,bracket_brown/test/good/007.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,25,bracket_brown/test/good/008.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,26,bracket_brown/test/good/009.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,27,bracket_brown/test/good/010.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,28,bracket_brown/test/good/011.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,29,bracket_brown/test/good/012.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,30,bracket_brown/test/good/013.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,31,bracket_brown/test/good/014.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,32,bracket_brown/test/good/015.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,33,bracket_brown/test/good/016.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,34,bracket_brown/test/good/017.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,35,bracket_brown/test/good/018.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,36,bracket_brown/test/good/019.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,37,bracket_brown/test/good/020.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,38,bracket_brown/test/good/021.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,39,bracket_brown/test/good/022.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,40,bracket_brown/test/good/023.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,41,bracket_brown/test/good/024.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,42,bracket_brown/test/good/025.png,0,0,0,0,0,0,0,0,0,0,0,,,,
TRI,image,43,bracket_brown/test/parts_mismatch/000.png,256,253,250,3,0,250,3,0,0,0,0,0.98828125,0.9765625,0.01171875,0.0
TRI,image,44,bracket_brown/test/parts_mismatch/001.png,384,370,363,7,0,363,14,0,0,0,0,0.9635416666666666,0.9453125,0.018229166666666668,0.0
TRI,image,45,bracket_brown/test/parts_mismatch/002.png,128,126,126,0,0,126,2,0,0,0,0,0.984375,0.984375,0.0,0.0
TRI,image,46,bracket_brown/test/parts_mismatch/003.png,256,252,252,1,1,251,3,0,0,0,0,0.984375,0.984375,0.00390625,0.00390625
TRI,image,47,bracket_brown/test/parts_mismatch/004.png,320,298,302,2,6,296,16,0,0,0,0,0.93125,0.94375,0.00625,0.01875
TRI,image,48,bracket_brown/test/parts_mismatch/005.png,256,222,222,3,3,219,31,0,0,0,0,0.8671875,0.8671875,0.01171875,0.01171875
TRI,image,49,bracket_brown/test/parts_mismatch/006.png,256,234,237,1,4,233,18,0,0,0,0,0.9140625,0.92578125,0.00390625,0.015625
TRI,image,50,bracket_brown/test/parts_mismatch/007.png,384,348,337,16,5,332,31,0,0,0,0,0.90625,0.8776041666666666,0.041666666666666664,0.013020833333333334
TRI,image,51,bracket_brown/test/parts_mismatch/008.png,256,246,241,6,1,240,9,0,0,0,0,0.9609375,0.94140625,0.0234375,0.00390625
TRI,image,52,bracket_brown/test/parts_mismatch/009.png,512,452,442,16,6,436,54,0,0,0,0,0.8828125,0.86328125,0.03125,0.01171875
TRI,image,53,bracket_brown/test/parts_mismatch/010.png,640,565,532,43,10,522,65,0,0,0,0,0.8828125,0.83125,0.0671875,0.015625
TRI,image,54,bracket_brown/test/parts_mismatch/011.png,320,320,320,0,0,320,0,0,0,0,0,1.0,1.0,0.0,0.0
TRI,image,55,bracket_brown/test/parts_mismatch/012.png,576,514,520,6,12,508,50,0,0,0,0,0.8923611111111112,0.9027777777777778,0.010416666666666666,0.020833333333333332
TRI,image,56,bracket_brown/test/parts_mismatch/013.png,576,551,556,3,8,548,17,0,0,0,0,0.9565972222222222,0.9652777777777778,0.005208333333333333,0.013888888888888888
TRI,image,57,bracket_brown/test/parts_mismatch/014.png,512,510,508,2,0,508,2,0,0,0,0,0.99609375,0.9921875,0.00390625,0.0
TRI,image,58,bracket_brown/test/parts_mismatch/015.png,640,623,602,23,2,600,15,0,0,0,0,0.9734375,0.940625,0.0359375,0.003125
TRI,image,59,bracket_brown/test/parts_mismatch/016.png,768,741,737,8,4,733,23,0,0,0,0,0.96484375,0.9596354166666666,0.010416666666666666,0.005208333333333333
TRI,image,60,bracket_brown/test/parts_mismatch/017.png,576,546,546,3,3,543,27,0,0,0,0,0.9479166666666666,0.9479166666666666,0.005208333333333333,0.005208333333333333
TRI,image,61,bracket_brown/test/parts_mismatch/018.png,832,788,782,16,10,772,34,0,0,0,0,0.9471153846153846,0.9399038461538461,0.019230769230769232,0.01201923076923077
TRI,image,62,bracket_brown/test/parts_mismatch/019.png,704,667,661,12,6,655,31,0,0,0,0,0.9474431818181818,0.9389204545454546,0.017045454545454544,0.008522727272727272
TRI,image,63,bracket_brown/test/parts_mismatch/020.png,768,750,731,23,4,727,14,0,0,0,0,0.9765625,0.9518229166666666,0.029947916666666668,0.005208333333333333
TRI,image,64,bracket_brown/test/parts_mismatch/021.png,704,695,697,0,2,695,7,0,0,0,0,0.9872159090909091,0.9900568181818182,0.0,0.002840909090909091
TRI,image,65,bracket_brown/test/parts_mismatch/022.png,704,601,608,25,32,576,71,0,0,0,0,0.8536931818181818,0.8636363636363636,0.03551136363636364,0.045454545454545456
TRI,image,66,bracket_brown/test/parts_mismatch/023.png,192,174,168,8,2,166,16,0,0,0,0,0.90625,0.875,0.041666666666666664,0.010416666666666666
TRI,image,67,bracket_brown/test/parts_mismatch/024.png,320,283,270,14,1,269,36,0,0,0,0,0.884375,0.84375,0.04375,0.003125
TRI,image,68,bracket_brown/test/parts_mismatch/025.png,256,256,256,0,0,256,0,0,0,0,0,1.0,1.0,0.0,0.0
TRI,image,69,bracket_brown/test/parts_mismatch/026.png,640,620,609,18,7,602,13,0,0,0,0,0.96875,0.9515625,0.028125,0.0109375
TRI,image,70,bracket_brown/test/parts_mismatch/027.png,576,529,536,8,15,521,32,0,0,0,0,0.9184027777777778,0.9305555555555556,0.013888888888888888,0.026041666666666668
TRI,image,71,bracket_brown/test/parts_mismatch/028.png,512,440,422,23,5,417,67,0,0,0,0,0.859375,0.82421875,0.044921875,0.009765625
TRI,image,72,bracket_brown/test/parts_mismatch/029.png,320,309,311,1,3,308,8,0,0,0,0,0.965625,0.971875,0.003125,0.009375
TRI,image,73,bracket_brown/test/parts_mismatch/030.png,448,412,404,9,1,403,35,0,0,0,0,0.9196428571428571,0.9017857142857143,0.020089285714285716,0.002232142857142857
TRI,image,74,bracket_brown/test/parts_mismatch/031.png,640,584,591,8,15,576,41,0,0,0,0,0.9125,0.9234375,0.0125,0.0234375
TRI,image,75,bracket_brown/test/parts_mismatch/032.png,640,567,577,7,17,560,56,0,0,0,0,0.8859375,0.9015625,0.0109375,0.0265625
TRI,image,76,bracket_brown/test/parts_mismatch/033.png,640,551,559,10,18,541,71,0,0,0,0,0.8609375,0.8734375,0.015625,0.028125
TRI,aggregate,-1,__ALL__,52416,47973,47302,1345,674,46628,3769,0,0,0,0,0.9152358058608059,0.9024343711843712,0.025660103785103784,0.012858669108669108
BAL,image,0,bracket_brown/test/bend_and_parts_mismatch/000.png,2176,1995,1995,24,24,1971,157,0,0,0,0,0.9168198529411765,0.9168198529411765,0.011029411764705883,0.011029411764705883
BAL,image,1,bracket_brown/test/bend_and_parts_mismatch/001.png,1920,1765,1775,26,36,1739,119,0,0,0,0,0.9192708333333334,0.9244791666666666,0.013541666666666667,0.01875
BAL,image,2,bracket_brown/test/bend_and_parts_mismatch/002.png,1792,1646,1623,32,9,1614,137,0,0,0,0,0.9185267857142857,0.9056919642857143,0.017857142857142856,0.005022321428571429
BAL,image,3,bracket_brown/test/bend_and_parts_mismatch/003.png,1728,1544,1502,78,36,1466,148,0,0,0,0,0.8935185185185185,0.8692129629629629,0.04513888888888889,0.020833333333333332
BAL,image,4,bracket_brown/test/bend_and_parts_mismatch/004.png,2176,2005,1957,69,21,1936,150,0,0,0,0,0.9214154411764706,0.8993566176470589,0.03170955882352941,0.009650735294117647
BAL,image,5,bracket_brown/test/bend_and_parts_mismatch/005.png,2496,2246,2221,60,35,2186,215,0,0,0,0,0.8998397435897436,0.889823717948718,0.02403846153846154,0.014022435897435898
BAL,image,6,bracket_brown/test/bend_and_parts_mismatch/006.png,1920,1821,1740,88,7,1733,92,0,0,0,0,0.9484375,0.90625,0.04583333333333333,0.0036458333333333334
BAL,image,7,bracket_brown/test/bend_and_parts_mismatch/007.png,2240,2045,1977,75,7,1970,188,0,0,0,0,0.9129464285714286,0.8825892857142857,0.033482142857142856,0.003125
BAL,image,8,bracket_brown/test/bend_and_parts_mismatch/008.png,2688,2364,2344,74,54,2290,270,0,0,0,0,0.8794642857142857,0.8720238095238095,0.027529761904761904,0.020089285714285716
BAL,image,9,bracket_brown/test/bend_and_parts_mismatch/009.png,1984,1731,1745,15,29,1716,224,0,0,0,0,0.8724798387096774,0.8795362903225806,0.007560483870967742,0.014616935483870967
BAL,image,10,bracket_brown/test/bend_and_parts_mismatch/010.png,2048,1901,1907,35,41,1866,106,0,0,0,0,0.92822265625,0.93115234375,0.01708984375,0.02001953125
BAL,image,11,bracket_brown/test/bend_and_parts_mismatch/011.png,2112,2015,1974,61,20,1954,77,0,0,0,0,0.9540719696969697,0.9346590909090909,0.028882575757575756,0.00946969696969697
BAL,image,12,bracket_brown/test/bend_and_parts_mismatch/012.png,2048,1886,1882,46,42,1840,120,0,0,0,0,0.9208984375,0.9189453125,0.0224609375,0.0205078125
BAL,image,13,bracket_brown/test/bend_and_parts_mismatch/013.png,1920,1850,1819,59,28,1791,42,0,0,0,0,0.9635416666666666,0.9473958333333333,0.030729166666666665,0.014583333333333334
BAL,image,14,bracket_brown/test/bend_and_parts_mismatch/014.png,2624,2325,2278,101,54,2224,245,0,0,0,0,0.8860518292682927,0.868140243902439,0.038490853658536585,0.020579268292682928
BAL,image,15,bracket_brown/test/bend_and_parts_mismatch/015.png,2176,1968,1853,147,32,1821,176,0,0,0,0,0.9044117647058824,0.8515625,0.06755514705882353,0.014705882352941176
BAL,image,16,bracket_brown/test/bend_and_parts_mismatch/016.png,1856,1776,1698,82,4,1694,76,0,0,0,0,0.9568965517241379,0.9148706896551724,0.04418103448275862,0.0021551724137931034
