dataset,seed,shot,method,category,pixel_ap,pixel_auroc,image_ap,image_auroc
mpdd,0,4,A1_J,bracket_white,0.09536222826166875,0.9965490304092047,0.7945923184318668,0.8244444444444444
mpdd,0,4,A1_J,connector,0.37503962004635366,0.9752973022264854,0.800256192220478,0.8976190476190476
mpdd,0,4,A1_J,metal_plate,0.8849814647253496,0.9796567623026333,1.0,1.0
mpdd,0,4,A1_J,tubes,0.7550403659377068,0.9903581521894629,0.9851831501360326,0.9633152173913043
mpdd,0,4,TRI_J,bracket_black,0.18591378992778515,0.9728498390701945,0.8682690959547191,0.7799202127659575
mpdd,0,4,TRI_J,bracket_brown,0.038366650726052824,0.9176322787696743,0.7325954121585071,0.5829562594268477
mpdd,0,4,TRI_J,bracket_white,0.10491556625583404,0.9965014350915455,0.8094238008282693,0.8155555555555556
mpdd,0,4,TRI_J,connector,0.3102877860096317,0.9718279145881837,0.6917680427463035,0.8333333333333334
mpdd,0,4,TRI_J,metal_plate,0.8863870133148003,0.9786380518711423,1.0,1.0
mpdd,0,4,TRI_J,tubes,0.7129874959557203,0.9871075279762809,0.9858964509652252,0.967391304347826
mpdd,0,4,BAL_J,bracket_black,0.18655439188319298,0.9738353342355099,0.8592664381163516,0.7706117021276596
mpdd,0,4,BAL_J,bracket_brown,0.03550997714847616,0.9200532864740225,0.7345802416048117,0.5987933634992458
mpdd,0,4,BAL_J,bracket_white,0.09710997157201838,0.9970574967508469,0.823692517782304,0.8366666666666667
mpdd,0,4,BAL_J,connector,0.32075358461232323,0.973564740306963,0.6884581127136845,0.830952380952381
mpdd,0,4,BAL_J,metal_plate,0.906832428829521,0.9838051281573712,1.0,1.0
mpdd,0,4,BAL_J,tubes,0.722006557684439,0.9882100223495746,0.9860884351185483,0.9664855072463768
mpdd,0,4,DUP_J,bracket_black,0.18031146029254,0.9726148052976493,0.8785451388047631,0.805186170212766
mpdd,0,4,DUP_J,bracket_brown,0.03664035882459447,0.8986660692649044,0.6975675639472828,0.5558069381598794
mpdd,0,4,DUP_J,bracket_white,0.0956388400102652,0.9959780102214962,0.7775293136935915,0.8033333333333333
mpdd,0,4,DUP_J,connector,0.3660087227016149,0.9744181106351936,0.8233362599118903,0.9166666666666666
mpdd,0,4,DUP_J,metal_plate,0.8579556962270177,0.9726824943407508,1.0,1.0
mpdd,0,4,DUP_J,tubes,0.7440802058878806,0.9894196576007471,0.9832079924498316,0.9583333333333334
mpdd,0,4,DUP_BAL_J,bracket_black,0.18559149428133032,0.9740838470124177,0.8699851276988307,0.7972074468085106
mpdd,0,4,DUP_BAL_J,bracket_brown,0.03395186319759828,0.9060588703151438,0.7250777918550068,0.5731523378582202
mpdd,0,4,DUP_BAL_J,bracket_white,0.09536222826166875,0.9965490304092047,0.7945923184318668,0.8244444444444444
mpdd,0,4,DUP_BAL_J,connector,0.37503962004635366,0.9752973022264854,0.800256192220478,0.8976190476190476
mpdd,0,4,DUP_BAL_J,metal_plate,0.8849814647253496,0.9796567623026333,1.0,1.0
mpdd,0,4,DUP_BAL_J,tubes,0.7550403659377068,0.9903581521894629,0.9851831501360326,0.9633152173913043
mpdd,0,4,DUP_EXPECTED_J,bracket_black,0.18031146029254,0.9726148052976493,0.8785451388047631,0.805186170212766
mpdd,0,4,DUP_EXPECTED_J,bracket_brown,0.03664035882459447,0.8986660692649044,0.6975675639472828,0.5558069381598794
mpdd,0,4,DUP_EXPECTED_J,bracket_white,0.0956388400102652,0.9959780102214962,0.7775293136935915,0.8033333333333333
mpdd,0,4,DUP_EXPECTED_J,connector,0.3660087227016149,0.9744181106351936,0.8233362599118903,0.9166666666666666
mpdd,0,4,DUP_EXPECTED_J,metal_plate,0.8579556962270177,0.9726824943407508,1.0,1.0
mpdd,0,4,DUP_EXPECTED_J,tubes,0.7440802058878806,0.9894196576007471,0.9832079924498316,0.9583333333333334
mpdd,0,4,A1_L,bracket_black,0.16876473816622964,0.9784101660348511,0.8697620503258984,0.7945478723404256
mpdd,0,4,A1_L,bracket_brown,0.037463468085848675,0.914203250918452,0.7320996198772782,0.5769230769230769
mpdd,0,4,A1_L,bracket_white,0.10594663284797728,0.996420090366819,0.8127483581504462,0.8266666666666667
mpdd,0,4,A1_L,connector,0.3957200486352001,0.9798334981620831,0.8225327252112966,0.9142857142857143
mpdd,0,4,A1_L,metal_plate,0.8850119272345895,0.9811469332938653,1.0,1.0
mpdd,0,4,A1_L,tubes,0.7607111532109615,0.9919332808372955,0.9865898147601456,0.9664855072463768
mpdd,0,4,DUP_L,bracket_black,0.16921873383650332,0.9759600259584573,0.8739744961333379,0.8025265957446809
