dataset,category,seed,shot,revision,status,new_method_conditions,control_conditions,load_s,score_s,sources
mpdd,tubes,0,4,study,completed,5,4,7.01,2.61,B=a85c96514c79e389;C=05764503a41771b7;D=d0afb928118bebc1
mpdd,tubes,1,1,study,completed,5,4,6.9,2.07,B=0681070cd635721f;C=171405e8b86cd516;D=d0afb928118bebc1
mpdd,tubes,1,4,study,completed,5,4,6.92,2.68,B=0681070cd635721f;C=171405e8b86cd516;D=d0afb928118bebc1
btad,01,0,1,corrected,completed,5,4,5.11,1.48,B=9162d9a64f7ddd1c;C=5352a4faea6d710e;D=deb64b2dc69475db
btad,01,0,1,study,completed,5,4,5.0,1.49,B=9162d9a64f7ddd1c;C=5352a4faea6d710e;D=deb64b2dc69475db
btad,01,0,4,corrected,completed,5,4,5.16,1.89,B=9162d9a64f7ddd1c;C=5352a4faea6d710e;D=deb64b2dc69475db
btad,01,0,4,study,completed,5,4,5.02,1.91,B=9162d9a64f7ddd1c;C=5352a4faea6d710e;D=deb64b2dc69475db
btad,01,1,1,corrected,completed,5,4,5.15,1.55,B=da5ada0e317614f2;C=9e01a869369cb999;D=deb64b2dc69475db
btad,01,1,1,study,completed,5,4,5.03,1.5,B=da5ada0e317614f2;C=9e01a869369cb999;D=deb64b2dc69475db
btad,01,1,4,corrected,completed,5,4,5.12,1.88,B=da5ada0e317614f2;C=9e01a869369cb999;D=deb64b2dc69475db
btad,01,1,4,study,completed,5,4,4.95,1.89,B=da5ada0e317614f2;C=9e01a869369cb999;D=deb64b2dc69475db
btad,02,0,1,corrected,completed,5,4,15.41,4.85,B=bbde77ffae3d3a44;C=d4d379f34df9ab05;D=774fcccc1f6526a7
btad,02,0,1,study,completed,5,4,15.44,5.89,B=bbde77ffae3d3a44;C=d4d379f34df9ab05;D=774fcccc1f6526a7
btad,02,0,4,corrected,completed,5,4,17.68,6.48,B=bbde77ffae3d3a44;C=d4d379f34df9ab05;D=774fcccc1f6526a7
btad,02,0,4,study,completed,5,4,17.96,6.57,B=bbde77ffae3d3a44;C=d4d379f34df9ab05;D=774fcccc1f6526a7
btad,02,1,1,corrected,completed,5,4,18.05,5.13,B=a3395a94c19f2f6e;C=602b14a91fe5a625;D=774fcccc1f6526a7
btad,02,1,1,study,completed,5,4,17.53,5.33,B=a3395a94c19f2f6e;C=602b14a91fe5a625;D=774fcccc1f6526a7
btad,02,1,4,corrected,completed,5,4,18.0,6.91,B=a3395a94c19f2f6e;C=602b14a91fe5a625;D=774fcccc1f6526a7
btad,02,1,4,study,completed,5,4,17.63,6.5,B=a3395a94c19f2f6e;C=602b14a91fe5a625;D=774fcccc1f6526a7
btad,03,0,1,corrected,completed,5,4,41.59,14.29,B=492766401d4d84aa;C=04dec83e8affc93b;D=86c6609a71fdfafb
btad,03,0,1,study,completed,5,4,40.77,16.52,B=492766401d4d84aa;C=04dec83e8affc93b;D=86c6609a71fdfafb
btad,03,0,4,corrected,completed,5,4,39.54,20.48,B=492766401d4d84aa;C=04dec83e8affc93b;D=86c6609a71fdfafb
btad,03,0,4,study,completed,5,4,41.23,23.44,B=492766401d4d84aa;C=04dec83e8affc93b;D=86c6609a71fdfafb
btad,03,1,1,corrected,completed,5,4,46.86,20.31,B=a2ad983c657633ad;C=a15ad3c65fab1ce0;D=86c6609a71fdfafb
btad,03,1,1,study,completed,5,4,47.85,19.57,B=a2ad983c657633ad;C=a15ad3c65fab1ce0;D=86c6609a71fdfafb
btad,03,1,4,corrected,completed,5,4,40.37,23.33,B=a2ad983c657633ad;C=a15ad3c65fab1ce0;D=86c6609a71fdfafb
btad,03,1,4,study,completed,5,4,43.16,23.72,B=a2ad983c657633ad;C=a15ad3c65fab1ce0;D=86c6609a71fdfafb
