dataset,revision,seed,shot,category,method,stride,pixel_ap,pixel_auroc
btad,corrected,0,4,03,TRI_D_J,1,0.7643129595306117,0.9959208780716189
btad,corrected,0,4,03,TRI_D_L,1,0.7712081678707208,0.996740931012534
btad,corrected,0,4,03,BAL_D_J,1,0.736480530232645,0.9959678280109359
btad,corrected,0,4,03,BAL_D_L,1,0.7573249707229196,0.9968874099025142
btad,study,0,4,03,D,1,0.4617926532639769,0.9859677817480786
btad,study,0,4,03,A1_J,1,0.759811785989091,0.9974877066357316
btad,study,0,4,03,A1_L,1,0.7753421651453007,0.9978772292405318
btad,study,0,4,03,DUP_J,1,0.7602952481726769,0.9973165696278982
btad,study,0,4,03,DUP_L,1,0.768487682464783,0.9976335811779853
btad,study,0,4,03,TRI_D_J,1,0.7742782318162392,0.9968742594730686
btad,study,0,4,03,TRI_D_L,1,0.7791320903708875,0.9974519695682039
btad,study,0,4,03,BAL_D_J,1,0.7472940570425777,0.9967571592143144
btad,study,0,4,03,BAL_D_L,1,0.7645029602808517,0.9973993647766517
btad,corrected,1,1,01,D,1,0.25852751148908326,0.9228069758331415
btad,corrected,1,1,01,A1_J,1,0.609488621448652,0.9673321227578935
btad,corrected,1,1,01,A1_L,1,0.6126901194793594,0.9686101069815425
btad,corrected,1,1,01,DUP_J,1,0.6006168306062707,0.9654553891615768
btad,corrected,1,1,01,DUP_L,1,0.6032323796551804,0.9665040355619332
btad,corrected,1,1,01,TRI_D_J,1,0.5626670113594288,0.9633606068419267
btad,corrected,1,1,01,TRI_D_L,1,0.5700508025508018,0.9655485901951018
btad,corrected,1,1,01,BAL_D_J,1,0.5740815423932364,0.9651507490992237
btad,corrected,1,1,01,BAL_D_L,1,0.5819817857704583,0.9675022133156596
btad,study,1,1,01,D,1,0.25852751148908326,0.9228069758331415
btad,study,1,1,01,A1_J,1,0.609488618503533,0.9673321226850354
btad,study,1,1,01,A1_L,1,0.6126901104776228,0.9686101050387167
btad,study,1,1,01,DUP_J,1,0.6006168259918392,0.9654553891723407
btad,study,1,1,01,DUP_L,1,0.603232375947043,0.9665040343666447
btad,study,1,1,01,TRI_D_J,1,0.5626670032633491,0.9633606058697909
btad,study,1,1,01,TRI_D_L,1,0.5700507981405243,0.9655485891578194
btad,study,1,1,01,BAL_D_J,1,0.574081531108369,0.9651507467983735
btad,study,1,1,01,BAL_D_L,1,0.5819817734042766,0.967502211668282
btad,corrected,1,1,02,D,1,0.6660129969819988,0.9618404189347419
btad,corrected,1,1,02,A1_J,1,0.575389894882808,0.9612127814601151
btad,corrected,1,1,02,A1_L,1,0.584977184644351,0.9618401478906645
btad,corrected,1,1,02,DUP_J,1,0.5593243621948419,0.9600554202449676
btad,corrected,1,1,02,DUP_L,1,0.5664850165796242,0.9605561096915137
btad,corrected,1,1,02,TRI_D_J,1,0.6338782047823962,0.9659889691589519
btad,corrected,1,1,02,TRI_D_L,1,0.6530758830388148,0.9671464239223954
btad,corrected,1,1,02,BAL_D_J,1,0.632955650292439,0.966067001176533
btad,corrected,1,1,02,BAL_D_L,1,0.6502866560098792,0.9672197097902056
btad,study,1,1,02,D,1,0.6660129969819988,0.9618404189347419
btad,study,1,1,02,A1_J,1,0.575389896901647,0.9612127816547413
btad,study,1,1,02,A1_L,1,0.5849771674478969,0.9618401472562959
btad,study,1,1,02,DUP_J,1,0.5593243657892119,0.9600554203914515
btad,study,1,1,02,DUP_L,1,0.5664850064193809,0.9605561093473379
btad,study,1,1,02,TRI_D_J,1,0.6338782053944387,0.9659889690427386
btad,study,1,1,02,TRI_D_L,1,0.6530758711501098,0.9671464236429164
btad,study,1,1,02,BAL_D_J,1,0.6329556484030857,0.9660670008706257
btad,study,1,1,02,BAL_D_L,1,0.6502866396983316,0.9672197090741042
btad,corrected,1,1,03,D,1,0.35884422639220365,0.9756538571177422
btad,corrected,1,1,03,A1_J,1,0.7091174326635382,0.9926881723159068
btad,corrected,1,1,03,A1_L,1,0.7215721686842257,0.9941072047326829
btad,corrected,1,1,03,DUP_J,1,0.7039656463667063,0.9922451497457903
btad,corrected,1,1,03,DUP_L,1,0.7119957793587377,0.9934002679691992
btad,corrected,1,1,03,TRI_D_J,1,0.7320761094103154,0.9926795709118189
btad,corrected,1,1,03,TRI_D_L,1,0.7511584830658806,0.9941348800816576
btad,corrected,1,1,03,BAL_D_J,1,0.7052708891363609,0.9920906034725857
btad,corrected,1,1,03,BAL_D_L,1,0.7230242931056733,0.9937394403126871
btad,study,1,1,03,D,1,0.36668686166071063,0.9783882598579866
btad,study,1,1,03,A1_J,1,0.7171423057248205,0.9934481817557943
btad,study,1,1,03,A1_L,1,0.7292217143239488,0.9945565151575593
btad,study,1,1,03,DUP_J,1,0.7106453285791232,0.9930848055391692
btad,study,1,1,03,DUP_L,1,0.718713714279885,0.9939640556481566
btad,study,1,1,03,TRI_D_J,1,0.7424874432721078,0.9939086383522601
btad,study,1,1,03,TRI_D_L,1,0.7592753112983219,0.9951291523910717
btad,study,1,1,03,BAL_D_J,1,0.7167126130865769,0.9932129811815719
btad,study,1,1,03,BAL_D_L,1,0.7309988807200466,0.9945620632374472
btad,corrected,1,4,01,D,1,0.2943352143189565,0.935874502360894
btad,corrected,1,4,01,A1_J,1,0.618599398578317,0.9706119577775194
btad,corrected,1,4,01,A1_L,1,0.6212849098188946,0.9715667132115168
btad,corrected,1,4,01,DUP_J,1,0.6115439624365032,0.9693561442493213
btad,corrected,1,4,01,DUP_L,1,0.6135643765453648,0.9700943501548106
btad,corrected,1,4,01,TRI_D_J,1,0.5770486767360059,0.9669934837907799
btad,corrected,1,4,01,TRI_D_L,1,0.5831331621368444,0.9693771893664583
btad,corrected,1,4,01,BAL_D_J,1,0.5876862870953761,0.9683529385945301
btad,corrected,1,4,01,BAL_D_L,1,0.5932421745014554,0.9706422991060225
btad,study,1,4,01,D,1,0.2943352143189565,0.935874502360894
btad,study,1,4,01,A1_J,1,0.6185994013606946,0.9706119574166836
btad,study,1,4,01,A1_L,1,0.6212849044694719,0.9715667124041347
btad,study,1,4,01,DUP_J,1,0.6115439622565899,0.9693561441540517
btad,study,1,4,01,DUP_L,1,0.6135643738351655,0.9700943496691443
btad,study,1,4,01,TRI_D_J,1,0.5770486735269689,0.966993483075615
btad,study,1,4,01,TRI_D_L,1,0.5831331612530515,0.9693771890868347
btad,study,1,4,01,BAL_D_J,1,0.5876862824863649,0.9683529376048825
btad,study,1,4,01,BAL_D_L,1,0.5932421697855429,0.9706422985229177
btad,corrected,1,4,02,D,1,0.6922926641183148,0.9630609242756223
btad,corrected,1,4,02,A1_J,1,0.5704459593151245,0.9610312338666421
btad,corrected,1,4,02,A1_L,1,0.5782618497995439,0.9614911107981942
btad,corrected,1,4,02,DUP_J,1,0.5497991339383775,0.9596498652467583
btad,corrected,1,4,02,DUP_L,1,0.5569815722490284,0.9601225665577219
btad,corrected,1,4,02,TRI_D_J,1,0.6444023675338992,0.9663078501828706
btad,corrected,1,4,02,TRI_D_L,1,0.6598062375074554,0.9673157878086167
btad,corrected,1,4,02,BAL_D_J,1,0.643794752340874,0.9665464267804298
btad,corrected,1,4,02,BAL_D_L,1,0.6579511997125697,0.9674941157512053
btad,study,1,4,02,D,1,0.6922926641183148,0.9630609242756223
btad,study,1,4,02,A1_J,1,0.5704459688627002,0.9610312343721034
btad,study,1,4,02,A1_L,1,0.578261847647407,0.9614911106514604
btad,study,1,4,02,DUP_J,1,0.549799141073853,0.9596498657097046
btad,study,1,4,02,DUP_L,1,0.5569815701422123,0.960122566454752
btad,study,1,4,02,TRI_D_J,1,0.6444023702847468,0.9663078502771294
btad,study,1,4,02,TRI_D_L,1,0.6598062387399464,0.9673157878055647
btad,study,1,4,02,BAL_D_J,1,0.643794755338643,0.9665464269597367
btad,study,1,4,02,BAL_D_L,1,0.657951199580506,0.9674941157296457
btad,corrected,1,4,03,D,1,0.44402797363742896,0.9807102114480694
btad,corrected,1,4,03,A1_J,1,0.7498405443004491,0.9959793487171066
btad,corrected,1,4,03,A1_L,1,0.7605804883467495,0.9967255084350164
btad,corrected,1,4,03,DUP_J,1,0.7460203134200004,0.9956526468423234
btad,corrected,1,4,03,DUP_L,1,0.7514969821793225,0.99623951271254
btad,corrected,1,4,03,TRI_D_J,1,0.7605666782576475,0.9949657025891367
btad,corrected,1,4,03,TRI_D_L,1,0.7758115642481318,0.995951827079055
btad,corrected,1,4,03,BAL_D_J,1,0.7359725054063143,0.9947687146217165
btad,corrected,1,4,03,BAL_D_L,1,0.7566478178228784,0.9958868500802962
btad,study,1,4,03,D,1,0.4517321504232267,0.983231511003048
btad,study,1,4,03,A1_J,1,0.7583662276143103,0.9964269046925792
btad,study,1,4,03,A1_L,1,0.7672073482398739,0.9969977645884056
btad,study,1,4,03,DUP_J,1,0.7536776986644234,0.9961806120040689
btad,study,1,4,03,DUP_L,1,0.7572826022531619,0.9966146569048853
btad,study,1,4,03,TRI_D_J,1,0.770799125657145,0.9960304792272631
btad,study,1,4,03,TRI_D_L,1,0.7833827539811667,0.9968228811305202
btad,study,1,4,03,BAL_D_J,1,0.7475136000004768,0.9956985063759359
btad,study,1,4,03,BAL_D_L,1,0.7644043276492993,0.996582306277336
mpdd,study,0,1,bracket_black,D,1,0.008341925682662286,0.9226836212718378
mpdd,study,0,1,bracket_black,A1_J,1,0.009200778315573841,0.9398500863037647
mpdd,study,0,1,bracket_black,A1_L,1,0.008446911156605192,0.9348922508491103
mpdd,study,0,1,bracket_black,DUP_J,1,0.011523842932811576,0.9399846382899449
mpdd,study,0,1,bracket_black,DUP_L,1,0.010881779232924261,0.9363432910989249
mpdd,study,0,1,bracket_black,TRI_D_J,1,0.007975414126605443,0.9371681017421084
mpdd,study,0,1,bracket_black,TRI_D_L,1,0.008016694466375941,0.9347295437763344
mpdd,study,0,1,bracket_black,BAL_D_J,1,0.007135963771937022,0.9358708559946073
mpdd,study,0,1,bracket_black,BAL_D_L,1,0.006638886572174718,0.9314188710348733
mpdd,study,0,1,bracket_brown,D,1,0.06213012175958537,0.9453477095594436
mpdd,study,0,1,bracket_brown,A1_J,1,0.035062108017007036,0.9094877616386319
mpdd,study,0,1,bracket_brown,A1_L,1,0.03902680629849465,0.9192647290487211
mpdd,study,0,1,bracket_brown,DUP_J,1,0.03629785278232325,0.9041086842407781
mpdd,study,0,1,bracket_brown,DUP_L,1,0.039025339835295166,0.9107069062013714
mpdd,study,0,1,bracket_brown,TRI_D_J,1,0.05259138793328908,0.9321608153784979
mpdd,study,0,1,bracket_brown,TRI_D_L,1,0.05481162541572844,0.9385721425164701
mpdd,study,0,1,bracket_brown,BAL_D_J,1,0.046348760754967196,0.9317877775967291
mpdd,study,0,1,bracket_brown,BAL_D_L,1,0.05051218120956186,0.9395779245115831
mpdd,study,0,1,bracket_white,D,1,0.031051733826481742,0.9788685762857116
mpdd,study,0,1,bracket_white,A1_J,1,0.1234493013330976,0.9926844706643493
mpdd,study,0,1,bracket_white,A1_L,1,0.13848831590811614,0.992526539648794
mpdd,study,0,1,bracket_white,DUP_J,1,0.11204336155346932,0.9917931760212773
mpdd,study,0,1,bracket_white,DUP_L,1,0.12572088749657145,0.9916895497452537
mpdd,study,0,1,bracket_white,TRI_D_J,1,0.14591259535517145,0.9917868605942439
mpdd,study,0,1,bracket_white,TRI_D_L,1,0.1679985045742614,0.9921623193856701
mpdd,study,0,1,bracket_white,BAL_D_J,1,0.14726298814014366,0.9926636747931555
mpdd,study,0,1,bracket_white,BAL_D_L,1,0.16444014253441777,0.9928192133511677
mpdd,study,0,1,connector,D,1,0.09394700468418438,0.9501317296747338
mpdd,study,0,1,connector,A1_J,1,0.1248289494180512,0.9488183637413632
mpdd,study,0,1,connector,A1_L,1,0.12970024117197404,0.9572167012296179
mpdd,study,0,1,connector,DUP_J,1,0.10171131473382755,0.945546464889857
mpdd,study,0,1,connector,DUP_L,1,0.10554176740135582,0.952052746973828
mpdd,study,0,1,connector,TRI_D_J,1,0.11517473025873036,0.9551672063959955
mpdd,study,0,1,connector,TRI_D_L,1,0.11576165497279393,0.9637135661589221
mpdd,study,0,1,connector,BAL_D_J,1,0.12889155614770204,0.9579687413059421
mpdd,study,0,1,connector,BAL_D_L,1,0.12285478813396794,0.9664944914420638
mpdd,study,0,1,metal_plate,D,1,0.9364289560817496,0.9891268520709012
mpdd,study,0,1,metal_plate,A1_J,1,0.8688198637603608,0.9761441559235132
mpdd,study,0,1,metal_plate,A1_L,1,0.8663309205541491,0.9774313189067114
mpdd,study,0,1,metal_plate,DUP_J,1,0.8297978727883601,0.9683916715245218
mpdd,study,0,1,metal_plate,DUP_L,1,0.8259343894731966,0.9691315746492104
mpdd,study,0,1,metal_plate,TRI_D_J,1,0.9277568619288208,0.9893041787674792
mpdd,study,0,1,metal_plate,TRI_D_L,1,0.936171961223691,0.9911429429031442
mpdd,study,0,1,metal_plate,BAL_D_J,1,0.9371705963822813,0.9908147321469816
mpdd,study,0,1,metal_plate,BAL_D_L,1,0.9433078787289995,0.9923100879826026
mpdd,study,0,1,tubes,D,1,0.6032182466808065,0.9790230676575603
mpdd,study,0,1,tubes,A1_J,1,0.7250988570926181,0.9856625003351854
mpdd,study,0,1,tubes,A1_L,1,0.7340476674678365,0.9879381136139758
mpdd,study,0,1,tubes,DUP_J,1,0.7143863193339606,0.9847689898097137
mpdd,study,0,1,tubes,DUP_L,1,0.7178834321042136,0.9861219846238486
mpdd,study,0,1,tubes,TRI_D_J,1,0.755306956378017,0.9899881973128806
mpdd,study,0,1,tubes,TRI_D_L,1,0.7831698906615082,0.9923241981117734
mpdd,study,0,1,tubes,BAL_D_J,1,0.76120370235494,0.9903500909561842
mpdd,study,0,1,tubes,BAL_D_L,1,0.789023980632467,0.9929703167090632
mpdd,study,0,4,bracket_black,D,1,0.05118332351368924,0.9667873923332593
mpdd,study,0,4,bracket_black,A1_J,1,0.1574557749499092,0.971117120678196
mpdd,study,0,4,bracket_black,A1_L,1,0.14932063682429736,0.9759455430787565
mpdd,study,0,4,bracket_black,DUP_J,1,0.15283623850938413,0.9694936019394902
mpdd,study,0,4,bracket_black,DUP_L,1,0.14781496383896434,0.9730818267192041
mpdd,study,0,4,bracket_black,TRI_D_J,1,0.16391692407136765,0.9785792088815792
mpdd,study,0,4,bracket_black,TRI_D_L,1,0.1593007563959843,0.9825593476260146
mpdd,study,0,4,bracket_black,BAL_D_J,1,0.15630030298397163,0.9770954158223056
mpdd,study,0,4,bracket_black,BAL_D_L,1,0.14996862995831878,0.9818280450156875
mpdd,study,0,4,bracket_brown,D,1,0.07377135309177585,0.952657225554986
mpdd,study,0,4,bracket_brown,A1_J,1,0.03423983579761841,0.9058210674391125
mpdd,study,0,4,bracket_brown,A1_L,1,0.037382499786100205,0.9137675890840019
mpdd,study,0,4,bracket_brown,DUP_J,1,0.03669463175221604,0.898131566024569
mpdd,study,0,4,bracket_brown,DUP_L,1,0.0390412777224721,0.9034444873466513
mpdd,study,0,4,bracket_brown,TRI_D_J,1,0.05316876600279675,0.9318986560726378
mpdd,study,0,4,bracket_brown,TRI_D_L,1,0.0572623661187328,0.9414567331058135
mpdd,study,0,4,bracket_brown,BAL_D_J,1,0.04669100540506363,0.9315326893503129
mpdd,study,0,4,bracket_brown,BAL_D_L,1,0.051522833609604385,0.9423337103097944
mpdd,study,0,4,bracket_white,D,1,0.04540451677639552,0.9887486481827992
mpdd,study,0,4,bracket_white,A1_J,1,0.12325959706519365,0.9957640811994886
mpdd,study,0,4,bracket_white,A1_L,1,0.14882778163991417,0.9955441681615257
mpdd,study,0,4,bracket_white,DUP_J,1,0.12248433300404456,0.9951490136486512
mpdd,study,0,4,bracket_white,DUP_L,1,0.13640611770901098,0.995028213543034
mpdd,study,0,4,bracket_white,TRI_D_J,1,0.14416138700035822,0.9958387082513606
mpdd,study,0,4,bracket_white,TRI_D_L,1,0.17719508088734987,0.9958062056686479
mpdd,study,0,4,bracket_white,BAL_D_J,1,0.13685636516393668,0.9963292240769995
mpdd,study,0,4,bracket_white,BAL_D_L,1,0.17067048173070143,0.9961923221682152
mpdd,study,0,4,connector,D,1,0.29303380845325167,0.9804622014909273
mpdd,study,0,4,connector,A1_J,1,0.3697968499712343,0.9749948123230908
mpdd,study,0,4,connector,A1_L,1,0.38869832350637223,0.9796771373969386
mpdd,study,0,4,connector,DUP_J,1,0.3567263906159489,0.9740384433625419
mpdd,study,0,4,connector,DUP_L,1,0.37149417106854016,0.9775665111415904
mpdd,study,0,4,connector,TRI_D_J,1,0.4181851438191636,0.9773080294632411
mpdd,study,0,4,connector,TRI_D_L,1,0.43322906846738907,0.9849359113467647
mpdd,study,0,4,connector,BAL_D_J,1,0.4027014438328551,0.9776889455485258
mpdd,study,0,4,connector,BAL_D_L,1,0.42670408372875707,0.9853336487455232
mpdd,study,0,4,metal_plate,D,1,0.9570998267954138,0.9927003512083645
mpdd,study,0,4,metal_plate,A1_J,1,0.8849936925808681,0.9794018960484834
mpdd,study,0,4,metal_plate,A1_L,1,0.8849954881684106,0.9808920487459223
mpdd,study,0,4,metal_plate,DUP_J,1,0.8577957830791133,0.9722792613454941
mpdd,study,0,4,metal_plate,DUP_L,1,0.8568284625624247,0.9728632266848685
mpdd,study,0,4,metal_plate,TRI_D_J,1,0.9226497082664951,0.9888297810333457
mpdd,study,0,4,metal_plate,TRI_D_L,1,0.9382322491579641,0.9920138589355676
mpdd,study,0,4,metal_plate,BAL_D_J,1,0.9345816402369145,0.9904972395429709
mpdd,study,0,4,metal_plate,BAL_D_L,1,0.9464684982533017,0.9931178044895035
mpdd,study,0,4,tubes,D,1,0.6854494977544741,0.9815709179508463
mpdd,study,0,4,tubes,A1_J,1,0.7522160034595511,0.9898939222625629
mpdd,study,0,4,tubes,A1_L,1,0.758361399196535,0.9915406311862582
mpdd,study,0,4,tubes,DUP_J,1,0.7420955947589001,0.9889868562152149
mpdd,study,0,4,tubes,DUP_L,1,0.7448372578710556,0.9900765971971146
mpdd,study,0,4,tubes,TRI_D_J,1,0.7770195724635296,0.9905837084961238
mpdd,study,0,4,tubes,TRI_D_L,1,0.7989842266136179,0.992932865633071
mpdd,study,0,4,tubes,BAL_D_J,1,0.7813153585007823,0.9912863095309062
mpdd,study,0,4,tubes,BAL_D_L,1,0.8030088055883461,0.9936547207561237
mpdd,study,1,1,bracket_black,D,1,0.06546889730852949,0.9496350444406192
mpdd,study,1,1,bracket_black,A1_J,1,0.11017564673074219,0.9446194668660234
mpdd,study,1,1,bracket_black,A1_L,1,0.11593482201204951,0.9471557431672919
mpdd,study,1,1,bracket_black,DUP_J,1,0.12184352152282146,0.9380450045687823
mpdd,study,1,1,bracket_black,DUP_L,1,0.12539903854112752,0.940235516584721
mpdd,study,1,1,bracket_black,TRI_D_J,1,0.14915186979036021,0.9552779928448436
mpdd,study,1,1,bracket_black,TRI_D_L,1,0.1393540848692666,0.9596506853808932
mpdd,study,1,1,bracket_black,BAL_D_J,1,0.1234653663565363,0.9574336288487078
mpdd,study,1,1,bracket_black,BAL_D_L,1,0.10590985050888146,0.9598266678698314
mpdd,study,1,1,bracket_brown,D,1,0.06383390087792921,0.942786966295235
mpdd,study,1,1,bracket_brown,A1_J,1,0.035556232634534876,0.9059114560887747
mpdd,study,1,1,bracket_brown,A1_L,1,0.03801977306521232,0.9128042931184536
mpdd,study,1,1,bracket_brown,DUP_J,1,0.036407309378832645,0.8993036261624854
mpdd,study,1,1,bracket_brown,DUP_L,1,0.03816587275713616,0.9040979244207855
mpdd,study,1,1,bracket_brown,TRI_D_J,1,0.052593115395734566,0.9277930870841895
mpdd,study,1,1,bracket_brown,TRI_D_L,1,0.05527133858526932,0.9342040982251189
mpdd,study,1,1,bracket_brown,BAL_D_J,1,0.04727831134208321,0.9275015017254468
mpdd,study,1,1,bracket_brown,BAL_D_L,1,0.05014801079054995,0.9353381428197088
mpdd,study,1,1,bracket_white,D,1,0.009654877974980668,0.9817632560305737
mpdd,study,1,1,bracket_white,A1_J,1,0.06131569387300176,0.9890654937398802
mpdd,study,1,1,bracket_white,A1_L,1,0.07602281287520235,0.9901053883830812
mpdd,study,1,1,bracket_white,DUP_J,1,0.06749586298132948,0.9896890051944282
mpdd,study,1,1,bracket_white,DUP_L,1,0.08656316516296454,0.9905568776865356
mpdd,study,1,1,bracket_white,TRI_D_J,1,0.03895790443539897,0.990352072557615
mpdd,study,1,1,bracket_white,TRI_D_L,1,0.07844428537374981,0.9928177252816063
mpdd,study,1,1,bracket_white,BAL_D_J,1,0.034374845144666225,0.9894531276654914
