method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
A1_J__perm_C_within_p05,0.9490617305805743,0.015784041509110818,0.8540321996896596,0.4561170212765957,0.5562302041881662,0.7519999999999999
TRI_J__perm_C_within_p05,0.9465988160069729,0.019512833439345536,0.8450007216463986,0.47473404255319146,0.5733156374381951,0.7519999999999999
TRI_J__perm_S_within_p05,0.9415364567683513,0.017353357084188274,0.8298778518708612,0.45345744680851063,0.5524907926343352,0.7460317460317459
BAL_J__perm_C_within_p05,0.9447452152420446,0.01321435331344135,0.8400917996384777,0.461436170212766,0.5527061992572341,0.7519999999999999
BAL_J__perm_S_within_p05,0.9410137379234742,0.01288839601877791,0.8252229166840953,0.44481382978723405,0.5533882436019297,0.7479674796747967
A1_J__perm_C_within_p06,0.9511548892423082,0.014260639110915236,0.852821391448782,0.45678191489361697,0.5598483272778851,0.7580645161290321
TRI_J__perm_C_within_p06,0.9477633748221841,0.01823785702449075,0.8468168057859639,0.4707446808510638,0.5800325992671456,0.7519999999999999
TRI_J__perm_S_within_p06,0.9383428664185851,0.015266616910056253,0.8148038237367146,0.48470744680851063,0.5632240591072004,0.7603305785123967
BAL_J__perm_C_within_p06,0.9445025167711748,0.012226842953826974,0.836100126538834,0.45345744680851063,0.5563565836573798,0.7519999999999999
BAL_J__perm_S_within_p06,0.9377772065894066,0.01087726125635637,0.810529226082002,0.47140957446808507,0.5516627886269344,0.773109243697479
A1_J__perm_C_within_p07,0.9458671980585888,0.01418275408001845,0.8438880841612196,0.44015957446808507,0.5539588488288336,0.7519999999999999
TRI_J__perm_C_within_p07,0.9430719598207516,0.018422012692398015,0.8357222529396081,0.4773936170212766,0.5805476746811182,0.7519999999999999
TRI_J__perm_S_within_p07,0.9393439456216901,0.027663322443768033,0.8314279344269361,0.4767287234042553,0.5716168787182394,0.7666666666666666
BAL_J__perm_C_within_p07,0.9415776152646702,0.01226174926868772,0.8292102115637174,0.43351063829787234,0.5407228438511085,0.7519999999999999
BAL_J__perm_S_within_p07,0.9406541846332966,0.01608155046001755,0.8307118384501399,0.4414893617021276,0.5434911284236467,0.773109243697479
A1_J__perm_C_within_p08,0.9596684847365045,0.015109301360646856,0.8772814446285735,0.46143617021276595,0.5624556780709747,0.7704918032786886
TRI_J__perm_C_within_p08,0.952770977727592,0.018301528217772478,0.8579536165692808,0.47273936170212766,0.581428292543961,0.7519999999999999
TRI_J__perm_S_within_p08,0.9589898491213895,0.028235925084067463,0.8790041440228537,0.5006648936170213,0.6019064698978254,0.7519999999999999
BAL_J__perm_C_within_p08,0.9559782507946332,0.013562702457462753,0.8699763293642829,0.4587765957446809,0.5584330663535212,0.7603305785123967
BAL_J__perm_S_within_p08,0.9568337261936847,0.016740827436307813,0.8705929357565179,0.47007978723404253,0.5651829132666153,0.7519999999999999
A1_J__perm_C_within_p09,0.9585957240523904,0.014327810484077518,0.8753934705613551,0.47007978723404253,0.5650720783707036,0.7704918032786886
TRI_J__perm_C_within_p09,0.9524588725699001,0.017869425572913482,0.8587752826189423,0.47340425531914887,0.5800271231809575,0.7519999999999999
TRI_J__perm_S_within_p09,0.9588703205701082,0.02184137372203137,0.8762965912456443,0.49534574468085113,0.5844646791596549,0.7519999999999999
BAL_J__perm_C_within_p09,0.9528582432463907,0.0129997016901952,0.8601898741612395,0.45079787234042556,0.5529151730534358,0.7563025210084033
BAL_J__perm_S_within_p09,0.9564827797740512,0.015160684038954842,0.8701336619138976,0.4680851063829787,0.5568525397497949,0.7519999999999999
A1_L,0.9487041295391396,0.014433728233691491,0.8426748976457512,0.45279255319148937,0.5603113531911076,0.7460317460317459
TRI_L,0.9466914968940232,0.018444164487841246,0.8459575402636551,0.4753989361702127,0.5793580740287998,0.7460317460317459
BAL_L,0.9458136215626587,0.012632746575607878,0.83636996461575,0.4541223404255319,0.5580177388137727,0.7460317460317459
A1_lambda_0.25,0.949118625899367,0.014506266565476374,0.8452337652691593,0.4541223404255319,0.5612268483717929,0.7460317460317459
A1_lambda_0.50,0.9494439893724331,0.01457464451068918,0.8473613641305442,0.45478723404255317,0.5610863803803703,0.7460317460317459
A1_lambda_0.75,0.9496770369440837,0.014614715619166793,0.8458588474593739,0.4601063829787234,0.5624731948843869,0.7519999999999999
TRI_lambda_0.25,0.9465803969644875,0.0183502984760945,0.842324706513331,0.47938829787234044,0.5789980376740255,0.7460317460317459
TRI_lambda_0.50,0.9463923020421473,0.018280885701258527,0.8392703715727657,0.4793882978723404,0.5770319633434703,0.7460317460317459
TRI_lambda_0.75,0.9461422614183973,0.018179751745388405,0.8441729804212013,0.48005319148936176,0.5784708086875461,0.7460317460317459
BAL_lambda_0.25,0.9459588179408875,0.01275638232991875,0.8340906931690331,0.4607712765957447,0.5590021321751413,0.7519999999999999
BAL_lambda_0.50,0.9459881780643702,0.012855563433283774,0.8353906359271198,0.46542553191489366,0.5616479202450468,0.7519999999999999
BAL_lambda_0.75,0.945926588860557,0.012947913695261262,0.8369975856592025,0.47140957446808507,0.5604685947217802,0.7519999999999999
